--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.18,31
Assists,0.44,96
Non-Penalty Goals,0.18,38
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.09,72
Red Cards,0.00,56
,,
xG,0.32,78
npxG,0.32,84
xA,0.24,79
npxG+xA,0.56,84
Goals,0.18,31
Shots Total,2.45,68
Shots on target,0.79,59
Shots on target %,32.1%,34
Goals/Shot,0.07,23
Goals/Shot on target,0.22,27
Average Shot Distance,16.00,71
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.32,78
npxG,0.32,84
npxG/Sh,0.13,75
Goals - xG,-0.15,1
Non-Penalty Goals - npxG,-0.15,1
Passes Completed,29.27,53
Passes Attempted,36.72,49
Pass Completion %,79.7%,72
Total Passing Distance,510.38,55
Progressive Passing Distance,126.02,55
,,
Passes Completed (Short),12.62,32
Passes Attempted (Short),14.20,24
Pass Completion % (Short),88.9%,84
,,
Passes Completed (Medium),12.53,76
Passes Attempted (Medium),15.16,76
Pass Completion % (Medium),82.7%,68
,,
Passes Completed (Long),2.89,54
Passes Attempted (Long),4.47,43
Pass Completion % (Long),64.7%,79
Assists,0.44,96
xA,0.24,79
Key Passes,1.84,68
Passes into Final Third,1.40,34
Passes into Penalty Area,2.10,87
Crosses into Penalty Area,0.09,10
Progressive Passes,4.38,77
Passes Attempted,36.72,49
,,
Live-ball passes,35.23,53
Dead-ball passes,1.49,38
Passes from Free Kicks,0.53,53
Through Balls,0.18,72
Passes Under Pressure,6.22,31
Switches,1.40,64
Crosses,2.63,78
Corner Kicks,0.96,55
,,
Inswinging Corner Kicks,0.26,50
Outswinging Corner Kicks,0.35,62
Straight Corner Kicks,0.00,25
,,
Ground passes,29.45,60
Low Passes,2.02,1
High Passes,5.26,44
,,
Passes Attempted (Left),29.88,84
Passes Attempted (Right),5.78,21
Passes Attempted (Head),0.61,13
Throw-Ins taken,0.00,1
Passes Attempted (Other),0.09,11
,,
Passes Completed,29.27,53
Passes Offside,0.09,84
Passes Out of Bounds,0.53,62
Passes Intercepted,0.96,95
Passes Blocked,1.49,50
Shot-Creating Actions,3.33,53
,,
SCA (PassLive),2.54,72
SCA (PassDead),0.26,52
SCA (Drib),0.09,10
SCA (Sh),0.26,79
SCA (Fld),0.18,51
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.61,87
,,
GCA (PassLive),0.44,86
GCA (PassDead),0.09,86
GCA (Drib),0.09,86
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.05,24
Tackles Won,0.79,42
Tackles (Def 3rd),0.35,34
Tackles (Mid 3rd),0.53,39
Tackles (Att 3rd),0.18,18
,,
Dribblers Tackled,0.09,1
Dribbles Contested,1.93,80
% of dribblers tackled,4.5%,1
Dribbled Past,1.84,4
,,
Pressures,20.94,84
Successful Pressures,5.08,65
Successful Pressure %,24.3%,12
Pressures (Def 3rd),5.61,92
Pressures (Mid 3rd),8.33,64
Pressures (Att 3rd),7.01,82
,,
Blocks,0.96,29
Shots Blocked,0.00,6
Shots Saved,0.00,49
Passes Blocked,0.96,39
,,
Interceptions,0.70,25
Tkl+Int,1.75,16
Clearances,0.35,44
Errors,0.00,57
Touches,50.65,50
Touches (Def Pen),0.79,46
Touches (Def 3rd),5.70,41
Touches (Mid 3rd),21.03,38
Touches (Att 3rd),28.57,74
Touches (Att Pen),5.96,88
Touches (Live-Ball),49.43,55
,,
Dribbles Completed,2.72,92
Dribbles Attempted,5.17,92
Successful Dribble %,52.5%,54
Players Dribbled Past,2.80,89
Nutmegs,0.18,57
,,
Carries,41.71,72
Total Carrying Distance,237.31,77
Progressive Carrying Distance,155.11,87
Progressive Carries,8.59,88
Carries into Final Third,2.45,75
Carries into Penalty Area,1.84,88
Miscontrols,1.93,60
Dispossessed,1.93,49
,,
Pass Targets,48.64,53
Passes Received,40.93,65
Passes Received %,84.1%,84
Progressive Passes Rec,6.84,64
Yellow Cards,0.09,72
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.96,70
Fouls Drawn,2.63,87
Offsides,0.35,36
Crosses,2.63,78
,,
Interceptions,0.70,25
Tackles Won,0.79,42
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,4.64,7
,,
Aerials won,0.61,44
Aerials lost,0.96,75
% of Aerials Won,38.9%,69
