--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.12,74
Assists,0.08,57
Non-Penalty Goals,0.12,77
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.20,58
Red Cards,0.00,61
,,
xG,0.05,35
npxG,0.05,37
xA,0.12,78
npxG+xA,0.17,60
Goals,0.12,74
Shots Total,1.44,83
Shots on target,0.48,86
Shots on target %,33.3%,75
Goals/Shot,0.08,62
Goals/Shot on target,0.25,54
Average Shot Distance,25.30,8
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.05,35
npxG,0.05,37
npxG/Sh,0.04,12
Goals - xG,+0.07,90
Non-Penalty Goals - npxG,+0.07,91
Passes Completed,40.52,49
Passes Attempted,51.61,57
Pass Completion %,78.5%,22
Total Passing Distance,843.39,61
Progressive Passing Distance,257.35,79
,,
Passes Completed (Short),15.05,32
Passes Attempted (Short),18.30,42
Pass Completion % (Short),82.3%,8
,,
Passes Completed (Medium),17.10,49
Passes Attempted (Medium),20.42,56
Pass Completion % (Medium),83.7%,26
,,
Passes Completed (Long),7.49,78
Passes Attempted (Long),11.09,78
Pass Completion % (Long),67.5%,44
Assists,0.08,57
xA,0.12,78
Key Passes,1.20,73
Passes into Final Third,5.12,77
Passes into Penalty Area,0.60,41
Crosses into Penalty Area,0.12,61
Progressive Passes,5.56,86
Passes Attempted,51.61,57
,,
Live-ball passes,47.84,53
Dead-ball passes,3.76,82
Passes from Free Kicks,2.12,79
Through Balls,0.08,53
Passes Under Pressure,8.97,69
Switches,3.20,88
Crosses,0.72,61
Corner Kicks,0.92,78
,,
Inswinging Corner Kicks,0.32,78
Outswinging Corner Kicks,0.28,76
Straight Corner Kicks,0.24,98
,,
Ground passes,36.15,49
Low Passes,5.61,62
High Passes,9.85,76
,,
Passes Attempted (Left),8.69,68
Passes Attempted (Right),38.43,55
Passes Attempted (Head),2.60,75
Throw-Ins taken,0.24,67
Passes Attempted (Other),0.32,76
,,
Passes Completed,40.52,49
Passes Offside,0.08,80
Passes Out of Bounds,1.20,7
Passes Intercepted,1.96,15
Passes Blocked,0.96,51
Shot-Creating Actions,2.68,76
,,
SCA (PassLive),1.76,67
SCA (PassDead),0.40,81
SCA (Drib),0.04,46
SCA (Sh),0.16,83
SCA (Fld),0.12,72
SCA (Def),0.20,98
,,
Goal-Creating Actions,0.16,42
,,
GCA (PassLive),0.12,46
GCA (PassDead),0.04,85
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.72,23
Tackles Won,1.16,30
Tackles (Def 3rd),0.68,26
Tackles (Mid 3rd),0.80,24
Tackles (Att 3rd),0.24,44
,,
Dribblers Tackled,0.40,8
Dribbles Contested,1.80,42
% of dribblers tackled,22.2%,3
Dribbled Past,1.40,36
,,
Pressures,19.34,61
Successful Pressures,4.68,22
Successful Pressure %,24.2%,5
Pressures (Def 3rd),6.29,59
Pressures (Mid 3rd),10.73,70
Pressures (Att 3rd),2.32,30
,,
Blocks,1.40,34
Shots Blocked,0.36,66
Shots Saved,0.00,45
Passes Blocked,1.04,29
,,
Interceptions,1.28,21
Tkl+Int,3.00,18
Clearances,2.12,88
Errors,0.00,67
Touches,62.42,55
Touches (Def Pen),3.08,71
Touches (Def 3rd),15.73,61
Touches (Mid 3rd),39.11,64
Touches (Att 3rd),11.61,37
Touches (Att Pen),0.56,16
Touches (Live-Ball),58.93,51
,,
Dribbles Completed,0.96,66
Dribbles Attempted,1.52,66
Successful Dribble %,63.2%,52
Players Dribbled Past,1.04,66
Nutmegs,0.12,84
,,
Carries,37.95,46
Total Carrying Distance,171.11,38
Progressive Carrying Distance,97.93,55
Progressive Carries,4.60,72
Carries into Final Third,1.08,49
Carries into Penalty Area,0.04,20
Miscontrols,0.96,43
Dispossessed,1.08,44
,,
Pass Targets,44.48,52
Passes Received,41.32,54
Passes Received %,92.9%,64
Progressive Passes Rec,1.84,55
Yellow Cards,0.20,58
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.16,19
Fouls Drawn,1.36,49
Offsides,0.00,77
Crosses,0.72,61
,,
Interceptions,1.28,21
Tackles Won,1.16,30
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.05,57
,,
Aerials won,1.76,72
Aerials lost,1.04,60
% of Aerials Won,62.9%,88
