--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.00,10
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.50,1
Red Cards,0.00,60
,,
xG,0.00,1
npxG,0.00,1
xA,0.04,15
npxG+xA,0.04,3
Goals,0.00,20
Shots Total,0.20,6
Shots on target,0.00,2
Shots on target %,0.0%,2
Goals/Shot,0.00,20
Average Shot Distance,29.30,1
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.00,1
npxG,0.00,1
npxG/Sh,0.01,1
Goals - xG,0.00,58
Non-Penalty Goals - npxG,0.00,58
Passes Completed,31.95,16
Passes Attempted,40.78,8
Pass Completion %,78.3%,56
Total Passing Distance,565.30,13
Progressive Passing Distance,175.73,5
,,
Passes Completed (Short),14.79,23
Passes Attempted (Short),16.77,19
Pass Completion % (Short),88.2%,43
,,
Passes Completed (Medium),13.20,18
Passes Attempted (Medium),15.68,9
Pass Completion % (Medium),84.2%,70
,,
Passes Completed (Long),3.08,23
Passes Attempted (Long),5.76,16
Pass Completion % (Long),53.4%,54
Assists,0.00,10
xA,0.04,15
Key Passes,0.20,1
Passes into Final Third,0.89,1
Passes into Penalty Area,0.20,1
Crosses into Penalty Area,0.00,1
Progressive Passes,1.59,1
Passes Attempted,40.78,8
,,
Live-ball passes,34.83,20
Dead-ball passes,5.95,2
Passes from Free Kicks,0.40,10
Through Balls,0.10,83
Passes Under Pressure,5.76,38
Switches,1.19,60
Crosses,0.30,1
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,25.60,34
Low Passes,5.85,1
High Passes,9.33,32
,,
Passes Attempted (Left),2.78,9
Passes Attempted (Right),30.36,59
Passes Attempted (Head),1.59,34
Throw-Ins taken,5.56,5
Passes Attempted (Other),0.00,3
,,
Passes Completed,31.95,16
Passes Offside,0.10,71
Passes Out of Bounds,0.50,90
Passes Intercepted,1.39,83
Passes Blocked,1.98,28
Shot-Creating Actions,1.19,15
,,
SCA (PassLive),0.60,2
SCA (PassDead),0.10,50
SCA (Drib),0.00,15
SCA (Sh),0.00,15
SCA (Fld),0.20,95
SCA (Def),0.30,99
,,
Goal-Creating Actions,0.30,81
,,
GCA (PassLive),0.10,34
GCA (PassDead),0.10,95
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.10,99
Tackles,3.08,93
Tackles Won,1.89,92
Tackles (Def 3rd),1.79,89
Tackles (Mid 3rd),1.09,95
Tackles (Att 3rd),0.20,35
,,
Dribblers Tackled,1.59,95
Dribbles Contested,3.57,98
% of dribblers tackled,44.4%,35
Dribbled Past,1.98,2
,,
Pressures,18.65,94
Successful Pressures,5.76,94
Successful Pressure %,30.9%,49
Pressures (Def 3rd),6.65,75
Pressures (Mid 3rd),10.22,99
Pressures (Att 3rd),1.79,26
,,
Blocks,1.89,53
Shots Blocked,0.30,53
Shots Saved,0.00,41
Passes Blocked,1.59,55
,,
Interceptions,1.89,57
Tkl+Int,4.96,82
Clearances,2.08,57
Errors,0.10,3
Touches,51.30,6
Touches (Def Pen),3.57,59
Touches (Def 3rd),17.76,33
Touches (Mid 3rd),28.08,43
Touches (Att 3rd),7.94,1
Touches (Att Pen),0.10,1
Touches (Live-Ball),45.35,17
,,
Dribbles Completed,0.89,63
Dribbles Attempted,1.59,59
Successful Dribble %,56.3%,64
Players Dribbled Past,1.09,70
Nutmegs,0.20,89
,,
Carries,28.38,12
Total Carrying Distance,99.53,1
Progressive Carrying Distance,42.87,1
Progressive Carries,1.59,1
Carries into Final Third,0.79,7
Carries into Penalty Area,0.00,1
Miscontrols,0.89,49
Dispossessed,1.19,20
,,
Pass Targets,29.37,8
Passes Received,26.99,11
Passes Received %,91.9%,62
Progressive Passes Rec,0.89,9
Yellow Cards,0.50,1
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.98,2
Fouls Drawn,0.89,40
Offsides,0.00,89
Crosses,0.30,1
,,
Interceptions,1.89,57
Tackles Won,1.89,92
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,8.53,65
,,
Aerials won,0.89,32
Aerials lost,1.59,13
% of Aerials Won,36.0%,10
