--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.18,5
Assists,0.14,63
Non-Penalty Goals,0.18,12
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.14,49
Red Cards,0.00,55
,,
xG,0.19,1
npxG,0.19,4
xA,0.10,41
npxG+xA,0.29,4
Goals,0.18,5
Shots Total,1.46,1
Shots on target,0.73,20
Shots on target %,50.0%,97
Goals/Shot,0.13,44
Goals/Shot on target,0.25,19
Average Shot Distance,11.90,91
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.19,1
npxG,0.19,4
npxG/Sh,0.13,45
Goals - xG,-0.01,46
Non-Penalty Goals - npxG,-0.01,48
Passes Completed,16.49,49
Passes Attempted,21.61,40
Pass Completion %,76.3%,82
Total Passing Distance,219.02,35
Progressive Passing Distance,36.59,26
,,
Passes Completed (Short),10.10,63
Passes Attempted (Short),12.34,54
Pass Completion % (Short),81.9%,74
,,
Passes Completed (Medium),4.25,31
Passes Attempted (Medium),5.57,22
Pass Completion % (Medium),76.2%,73
,,
Passes Completed (Long),0.73,19
Passes Attempted (Long),1.23,16
Pass Completion % (Long),59.3%,52
Assists,0.14,63
xA,0.10,41
Key Passes,0.78,26
Passes into Final Third,0.73,25
Passes into Penalty Area,0.64,46
Crosses into Penalty Area,0.05,24
Progressive Passes,1.28,34
Passes Attempted,21.61,40
,,
Live-ball passes,19.74,33
Dead-ball passes,1.87,69
Passes from Free Kicks,0.09,73
Through Balls,0.00,11
Passes Under Pressure,5.30,23
Switches,0.14,11
Crosses,0.59,40
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,13.25,38
Low Passes,5.57,80
High Passes,2.79,30
,,
Passes Attempted (Left),1.64,18
Passes Attempted (Right),15.85,62
Passes Attempted (Head),1.51,69
Throw-Ins taken,0.23,76
Passes Attempted (Other),0.41,41
,,
Passes Completed,16.49,49
Passes Offside,0.00,94
Passes Out of Bounds,0.18,92
Passes Intercepted,1.10,61
Passes Blocked,1.01,53
Shot-Creating Actions,1.32,3
,,
SCA (PassLive),1.14,13
SCA (PassDead),0.00,36
SCA (Drib),0.00,3
SCA (Sh),0.09,8
SCA (Fld),0.00,1
SCA (Def),0.09,72
,,
Goal-Creating Actions,0.23,31
,,
GCA (PassLive),0.14,34
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.05,59
GCA (Fld),0.00,19
GCA (Def),0.05,92
Tackles,1.46,96
Tackles Won,0.96,95
Tackles (Def 3rd),0.41,94
Tackles (Mid 3rd),0.64,89
Tackles (Att 3rd),0.41,92
,,
Dribblers Tackled,0.27,83
Dribbles Contested,1.19,92
% of dribblers tackled,23.1%,42
Dribbled Past,0.91,7
,,
Pressures,15.90,60
Successful Pressures,4.57,70
Successful Pressure %,28.7%,71
Pressures (Def 3rd),2.24,85
Pressures (Mid 3rd),6.94,65
Pressures (Att 3rd),6.72,43
,,
Blocks,0.73,46
Shots Blocked,0.09,38
Shots Saved,0.00,48
Passes Blocked,0.64,55
,,
Interceptions,0.69,89
Tkl+Int,2.15,97
Clearances,1.10,89
Errors,0.00,53
Touches,30.52,19
Touches (Def Pen),1.23,84
Touches (Def 3rd),4.29,90
Touches (Mid 3rd),14.30,24
Touches (Att 3rd),12.65,6
Touches (Att Pen),2.97,1
Touches (Live-Ball),28.74,17
,,
Dribbles Completed,0.14,1
Dribbles Attempted,0.37,1
Successful Dribble %,37.5%,13
Players Dribbled Past,0.18,1
Nutmegs,0.00,10
,,
Carries,15.03,10
Total Carrying Distance,51.94,7
Progressive Carrying Distance,21.97,6
Progressive Carries,1.10,5
Carries into Final Third,0.32,5
Carries into Penalty Area,0.05,1
Miscontrols,1.32,98
Dispossessed,0.82,96
,,
Pass Targets,33.40,1
Passes Received,20.51,9
Passes Received %,61.4%,62
Progressive Passes Rec,5.21,5
Yellow Cards,0.14,49
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.23,54
Fouls Drawn,1.32,38
Offsides,0.32,84
Crosses,0.59,40
,,
Interceptions,0.69,89
Tackles Won,0.96,95
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.47,26
,,
Aerials won,2.60,65
Aerials lost,4.61,23
% of Aerials Won,36.1%,38
