--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.16,93
Assists,0.08,51
Non-Penalty Goals,0.16,93
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.32,13
Red Cards,0.00,60
,,
xG,0.07,81
npxG,0.07,82
xA,0.12,71
npxG+xA,0.19,77
Goals,0.16,93
Shots Total,1.11,88
Shots on target,0.39,90
Shots on target %,35.7%,76
Goals/Shot,0.14,85
Goals/Shot on target,0.40,78
Average Shot Distance,18.40,61
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.07,81
npxG,0.07,82
npxG/Sh,0.06,47
Goals - xG,+0.09,95
Non-Penalty Goals - npxG,+0.09,96
Passes Completed,44.13,63
Passes Attempted,57.55,67
Pass Completion %,76.7%,49
Total Passing Distance,735.32,56
Progressive Passing Distance,264.32,40
,,
Passes Completed (Short),23.05,77
Passes Attempted (Short),25.18,76
Pass Completion % (Short),91.5%,84
,,
Passes Completed (Medium),16.26,48
Passes Attempted (Medium),20.29,47
Pass Completion % (Medium),80.2%,43
,,
Passes Completed (Long),4.34,55
Passes Attempted (Long),9.32,67
Pass Completion % (Long),46.6%,29
Assists,0.08,51
xA,0.12,71
Key Passes,0.95,60
Passes into Final Third,2.45,45
Passes into Penalty Area,1.42,81
Crosses into Penalty Area,0.55,67
Progressive Passes,3.79,56
Passes Attempted,57.55,67
,,
Live-ball passes,48.16,70
Dead-ball passes,9.39,45
Passes from Free Kicks,0.71,34
Through Balls,0.16,96
Passes Under Pressure,6.71,68
Switches,0.95,43
Crosses,3.79,94
Corner Kicks,0.16,70
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,34.11,63
Low Passes,11.76,66
High Passes,11.68,56
,,
Passes Attempted (Left),3.08,12
Passes Attempted (Right),42.24,86
Passes Attempted (Head),2.13,66
Throw-Ins taken,8.53,51
Passes Attempted (Other),0.16,60
,,
Passes Completed,44.13,63
Passes Offside,0.08,80
Passes Out of Bounds,1.11,25
Passes Intercepted,2.68,6
Passes Blocked,1.89,36
Shot-Creating Actions,2.05,67
,,
SCA (PassLive),1.34,49
SCA (PassDead),0.00,6
SCA (Drib),0.24,97
SCA (Sh),0.08,75
SCA (Fld),0.16,90
SCA (Def),0.24,99
,,
Goal-Creating Actions,0.24,68
,,
GCA (PassLive),0.16,59
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.08,99
GCA (Def),0.00,46
Tackles,2.53,74
Tackles Won,1.66,85
Tackles (Def 3rd),1.82,90
Tackles (Mid 3rd),0.47,21
Tackles (Att 3rd),0.24,48
,,
Dribblers Tackled,0.87,49
Dribbles Contested,1.89,57
% of dribblers tackled,45.8%,41
Dribbled Past,1.03,36
,,
Pressures,12.47,44
Successful Pressures,3.95,52
Successful Pressure %,31.6%,58
Pressures (Def 3rd),4.50,24
Pressures (Mid 3rd),4.50,40
Pressures (Att 3rd),3.47,88
,,
Blocks,1.66,33
Shots Blocked,0.16,18
Shots Saved,0.00,41
Passes Blocked,1.50,45
,,
Interceptions,3.16,98
Tkl+Int,5.68,96
Clearances,1.82,42
Errors,0.00,70
Touches,71.92,78
Touches (Def Pen),2.21,10
Touches (Def 3rd),17.92,35
Touches (Mid 3rd),34.58,77
Touches (Att 3rd),25.50,88
Touches (Att Pen),2.61,85
Touches (Live-Ball),62.76,83
,,
Dribbles Completed,1.26,83
Dribbles Attempted,2.53,87
Successful Dribble %,50.0%,44
Players Dribbled Past,1.34,81
Nutmegs,0.16,81
,,
Carries,47.37,84
Total Carrying Distance,263.37,90
Progressive Carrying Distance,166.82,94
Progressive Carries,8.68,98
Carries into Final Third,2.45,95
Carries into Penalty Area,0.71,90
Miscontrols,1.34,17
Dispossessed,2.05,1
,,
Pass Targets,47.13,73
Passes Received,43.42,75
Passes Received %,92.1%,64
Progressive Passes Rec,3.39,85
Yellow Cards,0.32,13
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.42,28
Fouls Drawn,1.89,91
Offsides,0.24,8
Crosses,3.79,94
,,
Interceptions,3.16,98
Tackles Won,1.66,85
Penalty Kicks Won,0.08,99
Penalty Kicks Conceded,0.08,2
Own Goals,0.00,57
Ball Recoveries,9.32,84
,,
Aerials won,2.21,93
Aerials lost,1.03,63
% of Aerials Won,68.3%,97
