--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,29
Assists,0.14,80
Non-Penalty Goals,0.04,31
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.14,76
Red Cards,0.04,15
,,
xG,0.07,53
npxG,0.07,56
xA,0.10,70
npxG+xA,0.17,60
Goals,0.04,29
Shots Total,1.21,67
Shots on target,0.29,55
Shots on target %,23.5%,36
Goals/Shot,0.03,29
Goals/Shot on target,0.13,31
Average Shot Distance,24.00,16
Shots from free kicks,0.07,80
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.07,53
npxG,0.07,56
npxG/Sh,0.06,39
Goals - xG,-0.04,23
Non-Penalty Goals - npxG,-0.04,23
Passes Completed,36.84,37
Passes Attempted,47.88,44
Pass Completion %,76.9%,15
Total Passing Distance,687.45,34
Progressive Passing Distance,187.32,42
,,
Passes Completed (Short),15.51,38
Passes Attempted (Short),18.54,45
Pass Completion % (Short),83.6%,12
,,
Passes Completed (Medium),15.76,40
Passes Attempted (Medium),19.15,45
Pass Completion % (Medium),82.3%,18
,,
Passes Completed (Long),4.72,36
Passes Attempted (Long),8.25,53
Pass Completion % (Long),57.1%,14
Assists,0.14,80
xA,0.10,70
Key Passes,0.79,43
Passes into Final Third,4.68,69
Passes into Penalty Area,1.07,77
Crosses into Penalty Area,0.07,43
Progressive Passes,5.14,79
Passes Attempted,47.88,44
,,
Live-ball passes,47.05,49
Dead-ball passes,0.82,14
Passes from Free Kicks,0.75,26
Through Balls,0.25,90
Passes Under Pressure,8.79,65
Switches,1.14,38
Crosses,0.39,38
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,35.19,47
Low Passes,4.72,33
High Passes,7.97,55
,,
Passes Attempted (Left),7.36,57
Passes Attempted (Right),37.34,52
Passes Attempted (Head),2.18,61
Throw-Ins taken,0.07,24
Passes Attempted (Other),0.36,81
,,
Passes Completed,36.84,37
Passes Offside,0.46,1
Passes Out of Bounds,0.82,32
Passes Intercepted,2.61,2
Passes Blocked,0.93,54
Shot-Creating Actions,1.72,38
,,
SCA (PassLive),1.46,48
SCA (PassDead),0.00,23
SCA (Drib),0.07,65
SCA (Sh),0.04,25
SCA (Fld),0.07,55
SCA (Def),0.07,58
,,
Goal-Creating Actions,0.36,82
,,
GCA (PassLive),0.32,91
GCA (PassDead),0.00,39
GCA (Drib),0.04,90
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.79,76
Tackles Won,1.97,83
Tackles (Def 3rd),0.86,42
Tackles (Mid 3rd),1.57,92
Tackles (Att 3rd),0.36,77
,,
Dribblers Tackled,1.07,86
Dribbles Contested,2.22,64
% of dribblers tackled,48.4%,91
Dribbled Past,1.14,56
,,
Pressures,19.90,64
Successful Pressures,6.47,72
Successful Pressure %,32.5%,73
Pressures (Def 3rd),4.57,21
Pressures (Mid 3rd),12.51,88
Pressures (Att 3rd),2.82,48
,,
Blocks,1.43,39
Shots Blocked,0.25,42
Shots Saved,0.00,45
Passes Blocked,1.18,41
,,
Interceptions,1.75,54
Tkl+Int,4.54,69
Clearances,0.82,22
Errors,0.04,24
Touches,59.06,43
Touches (Def Pen),1.97,30
Touches (Def 3rd),11.47,23
Touches (Mid 3rd),39.87,70
Touches (Att 3rd),12.65,49
Touches (Att Pen),0.82,32
Touches (Live-Ball),58.34,48
,,
Dribbles Completed,1.32,90
Dribbles Attempted,2.14,88
Successful Dribble %,61.7%,48
Players Dribbled Past,1.46,90
Nutmegs,0.36,99
,,
Carries,38.37,48
Total Carrying Distance,196.44,57
Progressive Carrying Distance,112.22,71
Progressive Carries,5.00,78
Carries into Final Third,1.64,76
Carries into Penalty Area,0.11,45
Miscontrols,1.32,20
Dispossessed,1.68,12
,,
Pass Targets,44.30,52
Passes Received,41.05,54
Passes Received %,92.7%,60
Progressive Passes Rec,2.64,74
Yellow Cards,0.14,76
Red Cards,0.04,15
Second Yellow Card,0.00,58
Fouls Committed,1.57,57
Fouls Drawn,0.96,22
Offsides,0.04,45
Crosses,0.39,38
,,
Interceptions,1.75,54
Tackles Won,1.97,83
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.04,12
Own Goals,0.00,53
Ball Recoveries,9.29,41
,,
Aerials won,0.71,26
Aerials lost,0.61,94
% of Aerials Won,54.1%,66
