--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.38,15
Red Cards,0.10,1
,,
xG,0.02,6
npxG,0.02,6
xA,0.02,8
npxG+xA,0.04,3
Goals,0.00,11
Shots Total,0.58,16
Shots on target,0.29,57
Shots on target %,50.0%,99
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,28.50,1
Shots from free kicks,0.10,85
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.02,6
npxG,0.02,6
npxG/Sh,0.03,4
Goals - xG,-0.02,38
Non-Penalty Goals - npxG,-0.02,38
Passes Completed,40.29,48
Passes Attempted,47.31,42
Pass Completion %,85.2%,69
Total Passing Distance,710.19,39
Progressive Passing Distance,142.12,18
,,
Passes Completed (Short),17.98,56
Passes Attempted (Short),20.96,60
Pass Completion % (Short),85.8%,24
,,
Passes Completed (Medium),17.02,49
Passes Attempted (Medium),19.23,45
Pass Completion % (Medium),88.5%,57
,,
Passes Completed (Long),4.13,26
Passes Attempted (Long),5.58,19
Pass Completion % (Long),74.1%,70
Assists,0.00,11
xA,0.02,8
Key Passes,0.67,35
Passes into Final Third,2.50,18
Passes into Penalty Area,0.58,39
Crosses into Penalty Area,0.00,8
Progressive Passes,3.08,26
Passes Attempted,47.31,42
,,
Live-ball passes,45.87,44
Dead-ball passes,1.44,42
Passes from Free Kicks,1.06,46
Through Balls,0.00,11
Passes Under Pressure,5.96,11
Switches,0.96,29
Crosses,0.10,8
Corner Kicks,0.19,65
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,37.69,56
Low Passes,3.94,13
High Passes,5.67,20
,,
Passes Attempted (Left),4.23,23
Passes Attempted (Right),40.58,60
Passes Attempted (Head),1.25,19
Throw-Ins taken,0.19,60
Passes Attempted (Other),0.48,94
,,
Passes Completed,40.29,48
Passes Offside,0.29,12
Passes Out of Bounds,1.25,5
Passes Intercepted,0.87,93
Passes Blocked,0.48,96
Shot-Creating Actions,1.44,25
,,
SCA (PassLive),1.15,30
SCA (PassDead),0.10,67
SCA (Drib),0.10,74
SCA (Sh),0.00,9
SCA (Fld),0.10,64
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.00,3
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.79,76
Tackles Won,1.54,58
Tackles (Def 3rd),1.06,63
Tackles (Mid 3rd),1.63,94
Tackles (Att 3rd),0.10,7
,,
Dribblers Tackled,0.48,14
Dribbles Contested,2.21,64
% of dribblers tackled,21.7%,2
Dribbled Past,1.73,15
,,
Pressures,15.00,14
Successful Pressures,5.00,31
Successful Pressure %,33.3%,81
Pressures (Def 3rd),5.10,30
Pressures (Mid 3rd),8.37,30
Pressures (Att 3rd),1.54,7
,,
Blocks,1.63,54
Shots Blocked,0.29,52
Shots Saved,0.00,45
Passes Blocked,1.35,60
,,
Interceptions,2.40,87
Tkl+Int,5.19,86
Clearances,1.25,52
Errors,0.10,1
Touches,58.94,43
Touches (Def Pen),2.31,45
Touches (Def 3rd),16.92,71
Touches (Mid 3rd),38.17,60
Touches (Att 3rd),7.50,11
Touches (Att Pen),0.10,1
Touches (Live-Ball),57.88,46
,,
Dribbles Completed,0.48,24
Dribbles Attempted,0.77,27
Successful Dribble %,62.5%,51
Players Dribbled Past,0.58,31
Nutmegs,0.00,17
,,
Carries,39.23,50
Total Carrying Distance,174.62,40
Progressive Carrying Distance,76.54,32
Progressive Carries,2.60,24
Carries into Final Third,0.67,15
Carries into Penalty Area,0.00,7
Miscontrols,0.48,90
Dispossessed,1.06,45
,,
Pass Targets,40.87,40
Passes Received,38.85,47
Passes Received %,95.1%,83
Progressive Passes Rec,1.35,34
Yellow Cards,0.38,15
Red Cards,0.10,1
Second Yellow Card,0.10,1
Fouls Committed,1.63,53
Fouls Drawn,2.12,81
Offsides,0.00,77
Crosses,0.10,8
,,
Interceptions,2.40,87
Tackles Won,1.54,58
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.62,46
,,
Aerials won,0.58,15
Aerials lost,0.87,75
% of Aerials Won,40.0%,19
