Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference
Max Aarons,ENG,DF,Norwich City,22-127,2000,31,29,2611,29.0,0,1,0,0,0,7,0,0.0,0.03,0.03,0.0,0.03,0.7,0.7,1.2,1.9,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/774cf58b/
Che Adams,SCO,FW,Southampton,25-302,1996,28,23,2002,22.2,7,3,7,0,0,0,0,0.31,0.13,0.45,0.31,0.45,6.9,6.9,2.7,9.6,0.31,0.12,0.43,0.31,0.43,https://fbref.com/en/players/f2bf1b0f/
Rayan Aït Nouri,FRA,DF,Wolves,20-339,2001,20,17,1558,17.3,0,2,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,0.6,0.6,1.2,1.8,0.03,0.07,0.1,0.03,0.1,https://fbref.com/en/players/9b398aea/
Kristoffer Ajer,NOR,DF,Brentford,24-024,1998,22,21,1847,20.5,1,3,1,0,0,4,0,0.05,0.15,0.19,0.05,0.19,0.8,0.8,1.4,2.2,0.04,0.07,0.11,0.04,0.11,https://fbref.com/en/players/a8c0acb7/
Nathan Aké,NED,DF,Manchester City,27-082,1995,13,10,893,9.9,2,0,2,0,0,0,0,0.2,0.0,0.2,0.2,0.2,1.2,1.2,0.5,1.7,0.12,0.05,0.17,0.12,0.17,https://fbref.com/en/players/eaeca114/
Marc Albrighton,ENG,FWDF,Leicester City,32-174,1989,16,11,1087,12.1,1,1,1,0,0,3,0,0.08,0.08,0.17,0.08,0.17,0.5,0.5,1.3,1.8,0.04,0.11,0.15,0.04,0.15,https://fbref.com/en/players/b827d5b3/
Thiago Alcántara,ESP,MF,Liverpool,31-030,1991,24,16,1489,16.5,1,3,1,0,0,2,0,0.06,0.18,0.24,0.06,0.24,1.8,1.8,2.0,3.9,0.11,0.12,0.23,0.11,0.23,https://fbref.com/en/players/77e84962/
Trent Alexander-Arnold,ENG,DF,Liverpool,23-216,1998,31,31,2763,30.7,2,12,2,0,0,2,0,0.07,0.39,0.46,0.07,0.46,2.5,2.5,10.5,13.1,0.08,0.34,0.43,0.08,0.43,https://fbref.com/en/players/cd1acf9d/
Alisson,BRA,GK,Liverpool,29-221,1992,34,34,3060,34.0,0,1,0,0,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/7a2e46a8/
Allan,BRA,MF,Everton,31-123,1991,27,25,2173,24.1,0,2,0,0,0,7,1,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04,https://fbref.com/en/players/cc700722/
Dele Alli,ENG,MF,Everton,26-030,1996,9,0,227,2.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.03,0.1,0.13,0.03,0.13,https://fbref.com/en/players/cea4ee8f/
Dele Alli,ENG,MFFW,Tottenham,26-030,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.0,0.14,0.0,0.0,1.5,0.7,0.8,1.5,0.2,0.11,0.31,0.1,0.21,https://fbref.com/en/players/cea4ee8f/
Miguel Almirón,PAR,MFFW,Newcastle Utd,28-090,1994,28,17,1553,17.3,1,0,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,2.0,2.0,0.6,2.6,0.11,0.04,0.15,0.11,0.15,https://fbref.com/en/players/862a1c15/
Marcos Alonso,ESP,DF,Chelsea,31-134,1990,26,23,1987,22.1,3,4,3,0,0,8,0,0.14,0.18,0.32,0.14,0.32,3.2,3.2,4.3,7.5,0.14,0.19,0.34,0.14,0.34,https://fbref.com/en/players/f4290206/
Steven Alzate,COL,MF,Brighton,23-245,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/ad1f61f3/
