--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.06,44
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.23,48
Red Cards,0.00,61
,,
xG,0.07,51
npxG,0.07,54
xA,0.04,26
npxG+xA,0.11,33
Goals,0.00,11
Shots Total,1.15,62
Shots on target,0.23,41
Shots on target %,20.0%,26
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,18.80,66
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.07,51
npxG,0.07,54
npxG/Sh,0.06,39
Goals - xG,-0.07,8
Non-Penalty Goals - npxG,-0.07,8
Passes Completed,47.74,69
Passes Attempted,54.60,64
Pass Completion %,87.4%,81
Total Passing Distance,751.60,46
Progressive Passing Distance,159.59,26
,,
Passes Completed (Short),26.12,89
Passes Attempted (Short),28.60,89
Pass Completion % (Short),91.3%,79
,,
Passes Completed (Medium),17.47,53
Passes Attempted (Medium),19.14,44
Pass Completion % (Medium),91.3%,84
,,
Passes Completed (Long),3.00,10
Passes Attempted (Long),4.50,9
Pass Completion % (Long),66.7%,42
Assists,0.06,44
xA,0.04,26
Key Passes,0.46,17
Passes into Final Third,3.52,42
Passes into Penalty Area,1.04,76
Crosses into Penalty Area,0.00,8
Progressive Passes,3.40,37
Passes Attempted,54.60,64
,,
Live-ball passes,53.91,69
Dead-ball passes,0.69,10
Passes from Free Kicks,0.63,21
Through Balls,0.06,41
Passes Under Pressure,9.46,75
Switches,0.58,10
Crosses,0.46,47
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,42.55,70
Low Passes,6.98,88
High Passes,5.07,12
,,
Passes Attempted (Left),13.72,83
Passes Attempted (Right),37.99,53
Passes Attempted (Head),1.67,40
Throw-Ins taken,0.06,18
Passes Attempted (Other),0.35,79
,,
Passes Completed,47.74,69
Passes Offside,0.00,98
Passes Out of Bounds,1.04,14
Passes Intercepted,1.67,31
Passes Blocked,1.04,42
Shot-Creating Actions,1.56,30
,,
SCA (PassLive),1.33,40
SCA (PassDead),0.00,23
SCA (Drib),0.06,56
SCA (Sh),0.00,9
SCA (Fld),0.12,71
SCA (Def),0.06,43
,,
Goal-Creating Actions,0.17,47
,,
GCA (PassLive),0.17,61
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.19,48
Tackles Won,1.27,39
Tackles (Def 3rd),1.10,66
Tackles (Mid 3rd),0.86,30
Tackles (Att 3rd),0.23,41
,,
Dribblers Tackled,0.63,35
Dribbles Contested,2.08,58
% of dribblers tackled,30.6%,22
Dribbled Past,1.44,31
,,
Pressures,17.47,38
Successful Pressures,6.00,61
Successful Pressure %,34.3%,86
Pressures (Def 3rd),6.52,62
Pressures (Mid 3rd),7.67,17
Pressures (Att 3rd),3.29,63
,,
Blocks,1.50,46
Shots Blocked,0.46,83
Shots Saved,0.00,45
Passes Blocked,1.04,29
,,
Interceptions,1.56,36
Tkl+Int,3.75,40
Clearances,0.86,24
Errors,0.00,67
Touches,64.40,61
Touches (Def Pen),2.54,54
Touches (Def 3rd),16.32,66
Touches (Mid 3rd),35.75,48
Touches (Att 3rd),16.37,72
Touches (Att Pen),2.19,84
Touches (Live-Ball),63.94,68
,,
Dribbles Completed,1.10,75
Dribbles Attempted,1.73,76
Successful Dribble %,63.3%,52
Players Dribbled Past,1.15,73
Nutmegs,0.00,17
,,
Carries,46.35,72
Total Carrying Distance,187.67,51
Progressive Carrying Distance,84.23,42
Progressive Carries,3.98,56
Carries into Final Third,1.15,53
Carries into Penalty Area,0.29,78
Miscontrols,1.21,27
Dispossessed,1.15,38
,,
Pass Targets,49.87,67
Passes Received,45.66,68
Passes Received %,91.6%,48
Progressive Passes Rec,3.81,89
Yellow Cards,0.23,48
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,0.81,95
Fouls Drawn,1.33,47
Offsides,0.00,77
Crosses,0.46,47
,,
Interceptions,1.56,36
Tackles Won,1.27,39
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.72,74
,,
Aerials won,0.81,32
Aerials lost,0.75,85
% of Aerials Won,51.9%,61
