--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.16,26
Assists,0.16,44
Non-Penalty Goals,0.16,33
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.19,33
Red Cards,0.00,56
,,
xG,0.16,26
npxG,0.16,32
xA,0.19,56
npxG+xA,0.35,37
Goals,0.16,26
Shots Total,2.05,48
Shots on target,0.83,62
Shots on target %,40.6%,76
Goals/Shot,0.08,30
Goals/Shot on target,0.19,19
Average Shot Distance,19.00,33
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.16,26
npxG,0.16,32
npxG/Sh,0.08,25
Goals - xG,0.00,44
Non-Penalty Goals - npxG,0.00,45
Passes Completed,17.56,8
Passes Attempted,24.33,7
Pass Completion %,72.2%,30
Total Passing Distance,292.56,9
Progressive Passing Distance,68.30,5
,,
Passes Completed (Short),9.05,9
Passes Attempted (Short),10.91,7
Pass Completion % (Short),82.9%,29
,,
Passes Completed (Medium),6.36,13
Passes Attempted (Medium),8.41,11
Pass Completion % (Medium),75.6%,32
,,
Passes Completed (Long),1.64,18
Passes Attempted (Long),3.05,18
Pass Completion % (Long),53.7%,47
Assists,0.16,44
xA,0.19,56
Key Passes,1.64,59
Passes into Final Third,1.44,35
Passes into Penalty Area,1.03,26
Crosses into Penalty Area,0.29,51
Progressive Passes,1.80,10
Passes Attempted,24.33,7
,,
Live-ball passes,23.53,8
Dead-ball passes,0.80,20
Passes from Free Kicks,0.03,7
Through Balls,0.19,78
Passes Under Pressure,5.58,18
Switches,0.93,41
Crosses,2.21,64
Corner Kicks,0.00,6
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,26
,,
Ground passes,18.36,15
Low Passes,3.21,8
High Passes,2.76,7
,,
Passes Attempted (Left),2.57,7
Passes Attempted (Right),20.54,40
Passes Attempted (Head),0.55,9
Throw-Ins taken,0.16,9
Passes Attempted (Other),0.06,9
,,
Passes Completed,17.56,8
Passes Offside,0.19,46
Passes Out of Bounds,0.67,48
Passes Intercepted,0.96,95
Passes Blocked,1.70,29
Shot-Creating Actions,3.66,66
,,
SCA (PassLive),2.38,65
SCA (PassDead),0.06,34
SCA (Drib),0.74,99
SCA (Sh),0.16,46
SCA (Fld),0.22,64
SCA (Def),0.10,69
,,
Goal-Creating Actions,0.29,28
,,
GCA (PassLive),0.22,42
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.03,52
GCA (Fld),0.03,59
GCA (Def),0.00,40
Tackles,0.29,1
Tackles Won,0.19,1
Tackles (Def 3rd),0.13,2
Tackles (Mid 3rd),0.06,1
Tackles (Att 3rd),0.10,4
,,
Dribblers Tackled,0.06,1
Dribbles Contested,0.58,2
% of dribblers tackled,11.1%,1
Dribbled Past,0.51,94
,,
Pressures,8.22,1
Successful Pressures,2.15,1
Successful Pressure %,26.2%,31
Pressures (Def 3rd),1.67,5
Pressures (Mid 3rd),3.50,1
Pressures (Att 3rd),3.05,2
,,
Blocks,0.55,6
Shots Blocked,0.03,16
Shots Saved,0.00,49
Passes Blocked,0.51,6
,,
Interceptions,0.67,21
Tkl+Int,0.96,1
Clearances,0.06,4
Errors,0.00,57
Touches,39.22,11
Touches (Def Pen),0.32,9
Touches (Def 3rd),3.53,5
Touches (Mid 3rd),19.13,27
Touches (Att 3rd),22.82,39
Touches (Att Pen),4.20,54
Touches (Live-Ball),38.42,13
,,
Dribbles Completed,4.49,99
Dribbles Attempted,7.38,99
Successful Dribble %,60.9%,87
Players Dribbled Past,4.81,99
Nutmegs,0.13,40
,,
Carries,37.33,49
Total Carrying Distance,258.54,87
Progressive Carrying Distance,164.50,90
Progressive Carries,7.90,84
Carries into Final Third,2.66,85
Carries into Penalty Area,1.70,85
Miscontrols,2.73,16
Dispossessed,3.82,1
,,
Pass Targets,41.79,24
Passes Received,30.24,25
Passes Received %,72.4%,22
Progressive Passes Rec,4.43,16
Yellow Cards,0.19,33
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.77,83
Fouls Drawn,2.28,78
Offsides,0.42,27
Crosses,2.21,64
,,
Interceptions,0.67,21
Tackles Won,0.19,1
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,5.75,42
,,
Aerials won,0.61,43
Aerials lost,0.96,76
% of Aerials Won,38.8%,69
