--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,53
Assists,0.04,79
Non-Penalty Goals,0.04,53
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.09,89
Red Cards,0.00,64
,,
xG,0.03,24
npxG,0.03,24
xA,0.05,93
npxG+xA,0.07,62
Goals,0.04,53
Shots Total,0.34,30
Shots on target,0.09,32
Shots on target %,25.0%,47
Goals/Shot,0.13,71
Goals/Shot on target,0.50,70
Average Shot Distance,21.60,6
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.03,24
npxG,0.03,24
npxG/Sh,0.07,31
Goals - xG,+0.02,73
Non-Penalty Goals - npxG,+0.02,73
Passes Completed,72.96,97
Passes Attempted,79.23,97
Pass Completion %,92.1%,93
Total Passing Distance,1460.82,93
Progressive Passing Distance,432.96,91
,,
Passes Completed (Short),24.29,97
Passes Attempted (Short),25.58,97
Pass Completion % (Short),95.0%,95
,,
Passes Completed (Medium),36.87,95
Passes Attempted (Medium),39.14,95
Pass Completion % (Medium),94.2%,81
,,
Passes Completed (Long),11.03,85
Passes Attempted (Long),13.30,71
Pass Completion % (Long),82.9%,93
Assists,0.04,79
xA,0.05,93
Key Passes,0.30,83
Passes into Final Third,6.48,98
Passes into Penalty Area,0.47,91
Crosses into Penalty Area,0.04,72
Progressive Passes,4.51,92
Passes Attempted,79.23,97
,,
Live-ball passes,76.70,97
Dead-ball passes,2.53,63
Passes from Free Kicks,1.50,48
Through Balls,0.04,71
Passes Under Pressure,9.31,98
Switches,1.12,31
Crosses,0.13,56
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,66.35,97
Low Passes,5.11,78
High Passes,7.77,30
,,
Passes Attempted (Left),5.24,29
Passes Attempted (Right),68.58,99
Passes Attempted (Head),2.66,54
Throw-Ins taken,0.99,80
Passes Attempted (Other),0.21,70
,,
Passes Completed,72.96,97
Passes Offside,0.00,97
Passes Out of Bounds,0.64,72
Passes Intercepted,1.03,38
Passes Blocked,0.43,62
Shot-Creating Actions,0.60,57
,,
SCA (PassLive),0.52,62
SCA (PassDead),0.00,32
SCA (Drib),0.04,94
SCA (Sh),0.04,55
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.04,44
,,
GCA (PassLive),0.04,56
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.20,26
Tackles Won,0.82,39
Tackles (Def 3rd),0.60,14
Tackles (Mid 3rd),0.39,32
Tackles (Att 3rd),0.21,94
,,
Dribblers Tackled,0.56,40
Dribbles Contested,0.90,28
% of dribblers tackled,61.9%,82
Dribbled Past,0.34,80
,,
Pressures,8.45,41
Successful Pressures,2.92,38
Successful Pressure %,34.5%,32
Pressures (Def 3rd),4.42,35
Pressures (Mid 3rd),3.30,46
Pressures (Att 3rd),0.73,78
,,
Blocks,1.59,38
Shots Blocked,0.47,11
Shots Saved,0.00,32
Passes Blocked,1.12,75
,,
Interceptions,2.88,90
Tkl+Int,4.08,64
Clearances,4.46,58
Errors,0.04,38
Touches,88.76,97
Touches (Def Pen),8.45,41
Touches (Def 3rd),37.30,74
Touches (Mid 3rd),51.29,97
Touches (Att 3rd),5.49,85
Touches (Att Pen),0.43,12
Touches (Live-Ball),86.44,97
,,
Dribbles Completed,0.30,73
Dribbles Attempted,0.30,54
Successful Dribble %,100.0%,94
Players Dribbled Past,0.30,70
Nutmegs,0.00,37
,,
Carries,62.53,97
Total Carrying Distance,285.41,86
Progressive Carrying Distance,159.23,85
Progressive Carries,4.85,91
Carries into Final Third,1.20,92
Carries into Penalty Area,0.00,31
Miscontrols,0.21,56
Dispossessed,0.13,74
,,
Pass Targets,66.39,96
Passes Received,65.41,96
Passes Received %,98.5%,75
Progressive Passes Rec,0.26,70
Yellow Cards,0.09,89
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.90,62
Fouls Drawn,0.56,48
Offsides,0.00,79
Crosses,0.13,56
,,
Interceptions,2.88,90
Tackles Won,0.82,39
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,9.83,67
,,
Aerials won,3.18,72
Aerials lost,1.85,25
% of Aerials Won,63.2%,48
