--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.11,1
Assists,0.00,5
Non-Penalty Goals,0.00,1
Penalty Kicks Made,0.11,81
Penalty Kicks Attempted,0.11,70
Yellow Cards,0.45,1
Red Cards,0.00,55
,,
xG,0.20,1
npxG,0.11,1
xA,0.18,78
npxG+xA,0.29,4
Goals,0.11,1
Shots Total,1.67,2
Shots on target,0.56,5
Shots on target %,33.3%,26
Goals/Shot,0.00,1
Goals/Shot on target,0.00,1
Average Shot Distance,16.00,25
Shots from free kicks,0.00,30
Penalty Kicks Made,0.11,81
Penalty Kicks Attempted,0.11,70
,,
xG,0.20,1
npxG,0.11,1
npxG/Sh,0.07,1
Goals - xG,-0.09,19
Non-Penalty Goals - npxG,-0.11,14
Passes Completed,14.48,33
Passes Attempted,22.17,43
Pass Completion %,65.3%,17
Total Passing Distance,209.07,29
Progressive Passing Distance,59.81,72
,,
Passes Completed (Short),8.80,42
Passes Attempted (Short),11.70,44
Pass Completion % (Short),75.2%,27
,,
Passes Completed (Medium),4.12,26
Passes Attempted (Medium),6.57,40
Pass Completion % (Medium),62.7%,14
,,
Passes Completed (Long),1.00,40
Passes Attempted (Long),2.01,57
Pass Completion % (Long),50.0%,23
Assists,0.00,5
xA,0.18,78
Key Passes,1.11,62
Passes into Final Third,2.01,92
Passes into Penalty Area,0.56,38
Crosses into Penalty Area,0.22,82
Progressive Passes,2.12,77
Passes Attempted,22.17,43
,,
Live-ball passes,21.83,52
Dead-ball passes,0.33,3
Passes from Free Kicks,0.00,20
Through Balls,0.00,11
Passes Under Pressure,10.02,93
Switches,0.45,56
Crosses,0.45,24
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,12.59,32
Low Passes,5.12,69
High Passes,4.46,66
,,
Passes Attempted (Left),3.12,51
Passes Attempted (Right),12.59,39
Passes Attempted (Head),2.01,80
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.33,29
,,
Passes Completed,14.48,33
Passes Offside,0.67,1
Passes Out of Bounds,1.11,2
Passes Intercepted,0.67,95
Passes Blocked,0.89,63
Shot-Creating Actions,2.34,57
,,
SCA (PassLive),1.67,57
SCA (PassDead),0.00,36
SCA (Drib),0.00,3
SCA (Sh),0.22,54
SCA (Fld),0.33,82
SCA (Def),0.11,85
,,
Goal-Creating Actions,0.11,4
,,
GCA (PassLive),0.11,23
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.00,18
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,1.45,96
Tackles Won,1.11,99
Tackles (Def 3rd),0.45,94
Tackles (Mid 3rd),0.67,93
Tackles (Att 3rd),0.33,80
,,
Dribblers Tackled,0.22,73
Dribbles Contested,0.67,56
% of dribblers tackled,33.3%,70
Dribbled Past,0.45,54
,,
Pressures,17.49,74
Successful Pressures,3.90,48
Successful Pressure %,22.3%,6
Pressures (Def 3rd),1.78,79
Pressures (Mid 3rd),9.36,92
Pressures (Att 3rd),6.35,34
,,
Blocks,0.67,35
Shots Blocked,0.11,46
Shots Saved,0.11,99
Passes Blocked,0.56,41
,,
Interceptions,0.67,89
Tkl+Int,2.12,96
Clearances,0.45,33
Errors,0.00,53
Touches,34.64,45
Touches (Def Pen),0.67,34
Touches (Def 3rd),3.34,66
Touches (Mid 3rd),18.27,64
Touches (Att 3rd),14.93,20
Touches (Att Pen),3.56,4
Touches (Live-Ball),34.20,50
,,
Dribbles Completed,0.45,15
Dribbles Attempted,0.89,12
Successful Dribble %,50.0%,58
Players Dribbled Past,0.45,12
Nutmegs,0.00,10
,,
Carries,20.50,40
Total Carrying Distance,64.60,14
Progressive Carrying Distance,32.30,22
Progressive Carries,2.01,26
Carries into Final Third,0.67,29
Carries into Penalty Area,0.33,18
Miscontrols,3.68,12
Dispossessed,2.12,31
,,
Pass Targets,46.34,56
Passes Received,24.73,34
Passes Received %,53.4%,21
Progressive Passes Rec,5.79,18
Yellow Cards,0.45,1
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.67,4
Fouls Drawn,1.56,53
Offsides,1.00,12
Crosses,0.45,24
,,
Interceptions,0.67,89
Tackles Won,1.11,99
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.11,1
Own Goals,0.00,52
Ball Recoveries,5.12,88
,,
Aerials won,4.57,88
Aerials lost,8.47,1
% of Aerials Won,35.0%,36
