--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.17,60
Red Cards,0.00,64
,,
xG,0.03,33
npxG,0.03,33
xA,0.00,5
npxG+xA,0.03,19
Goals,0.00,16
Shots Total,0.35,31
Shots on target,0.17,69
Shots on target %,50.0%,95
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,7.00,95
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.03,33
npxG,0.03,33
npxG/Sh,0.09,53
Goals - xG,-0.03,13
Non-Penalty Goals - npxG,-0.03,13
Passes Completed,34.86,23
Passes Attempted,40.06,17
Pass Completion %,87.0%,62
Total Passing Distance,757.63,25
Progressive Passing Distance,202.02,7
,,
Passes Completed (Short),8.84,22
Passes Attempted (Short),9.71,18
Pass Completion % (Short),91.1%,52
,,
Passes Completed (Medium),18.38,26
Passes Attempted (Medium),20.29,26
Pass Completion % (Medium),90.6%,36
,,
Passes Completed (Long),6.94,35
Passes Attempted (Long),9.36,20
Pass Completion % (Long),74.1%,71
Assists,0.00,31
xA,0.00,5
Key Passes,0.00,2
Passes into Final Third,0.52,1
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,1.21,5
Passes Attempted,40.06,17
,,
Live-ball passes,39.02,21
Dead-ball passes,1.04,6
Passes from Free Kicks,1.04,14
Through Balls,0.00,27
Passes Under Pressure,3.82,6
Switches,1.21,37
Crosses,0.17,66
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,31.39,31
Low Passes,3.82,36
High Passes,4.86,2
,,
Passes Attempted (Left),3.12,8
Passes Attempted (Right),33.64,51
Passes Attempted (Head),2.60,51
Throw-Ins taken,0.00,1
Passes Attempted (Other),0.17,55
,,
Passes Completed,34.86,23
Passes Offside,0.00,97
Passes Out of Bounds,0.69,67
Passes Intercepted,0.69,73
Passes Blocked,0.17,97
Shot-Creating Actions,0.35,20
,,
SCA (PassLive),0.35,33
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.39,35
Tackles Won,1.04,57
Tackles (Def 3rd),1.04,51
Tackles (Mid 3rd),0.35,24
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.35,15
Dribbles Contested,0.87,26
% of dribblers tackled,40.0%,9
Dribbled Past,0.52,53
,,
Pressures,8.50,42
Successful Pressures,2.43,20
Successful Pressure %,28.6%,2
Pressures (Def 3rd),3.99,25
Pressures (Mid 3rd),3.64,61
Pressures (Att 3rd),0.87,84
,,
Blocks,1.04,4
Shots Blocked,0.87,64
Shots Saved,0.00,32
Passes Blocked,0.17,1
,,
Interceptions,1.56,18
Tkl+Int,2.95,23
Clearances,2.25,2
Errors,0.17,1
Touches,46.47,5
Touches (Def Pen),7.28,22
Touches (Def 3rd),28.61,21
Touches (Mid 3rd),19.60,8
Touches (Att 3rd),1.21,7
Touches (Att Pen),0.52,21
Touches (Live-Ball),45.43,7
,,
Dribbles Completed,0.00,3
Dribbles Attempted,0.00,1
Players Dribbled Past,0.00,3
Nutmegs,0.00,37
,,
Carries,27.40,18
Total Carrying Distance,159.88,28
Progressive Carrying Distance,73.35,23
Progressive Carries,0.69,4
Carries into Final Third,0.00,2
Carries into Penalty Area,0.00,31
Miscontrols,0.35,25
Dispossessed,0.00,98
,,
Pass Targets,31.56,26
Passes Received,30.35,24
Passes Received %,96.2%,12
Progressive Passes Rec,0.17,53
Yellow Cards,0.17,60
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.87,67
Fouls Drawn,0.52,43
Offsides,0.00,79
Crosses,0.17,66
,,
Interceptions,1.56,18
Tackles Won,1.04,57
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,7.63,16
,,
Aerials won,2.08,28
Aerials lost,2.08,17
% of Aerials Won,50.0%,8
