--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.10,69
Assists,0.38,99
Non-Penalty Goals,0.10,71
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.10,90
Red Cards,0.00,61
,,
xG,0.13,81
npxG,0.13,85
xA,0.35,99
npxG+xA,0.48,99
Goals,0.10,69
Shots Total,2.11,97
Shots on target,0.77,98
Shots on target %,36.4%,84
Goals/Shot,0.05,39
Goals/Shot on target,0.13,31
Average Shot Distance,23.20,24
Shots from free kicks,0.48,99
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.13,81
npxG,0.13,85
npxG/Sh,0.07,54
Goals - xG,-0.04,22
Non-Penalty Goals - npxG,-0.04,22
Passes Completed,45.24,64
Passes Attempted,60.77,79
Pass Completion %,74.4%,8
Total Passing Distance,1044.06,84
Progressive Passing Distance,374.28,97
,,
Passes Completed (Short),15.34,37
Passes Attempted (Short),17.73,38
Pass Completion % (Short),86.5%,31
,,
Passes Completed (Medium),16.39,45
Passes Attempted (Medium),20.03,53
Pass Completion % (Medium),81.8%,15
,,
Passes Completed (Long),12.84,98
Passes Attempted (Long),21.09,99
Pass Completion % (Long),60.9%,24
Assists,0.38,99
xA,0.35,99
Key Passes,3.07,99
Passes into Final Third,7.19,97
Passes into Penalty Area,1.73,96
Crosses into Penalty Area,0.77,99
Progressive Passes,6.23,93
Passes Attempted,60.77,79
,,
Live-ball passes,50.13,60
Dead-ball passes,10.64,99
Passes from Free Kicks,4.12,97
Through Balls,0.29,93
Passes Under Pressure,6.33,15
Switches,4.79,99
Crosses,2.88,99
Corner Kicks,5.27,99
,,
Inswinging Corner Kicks,2.11,99
Outswinging Corner Kicks,1.92,98
Straight Corner Kicks,0.58,99
,,
Ground passes,35.94,48
Low Passes,6.23,78
High Passes,18.59,99
,,
Passes Attempted (Left),15.91,84
Passes Attempted (Right),42.46,65
Passes Attempted (Head),1.82,46
Throw-Ins taken,0.38,80
Passes Attempted (Other),0.10,9
,,
Passes Completed,45.24,64
Passes Offside,0.29,12
Passes Out of Bounds,0.86,27
Passes Intercepted,1.15,77
Passes Blocked,1.25,22
Shot-Creating Actions,5.08,99
,,
SCA (PassLive),2.49,92
SCA (PassDead),2.30,99
SCA (Drib),0.00,15
SCA (Sh),0.10,61
SCA (Fld),0.19,89
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.67,99
,,
GCA (PassLive),0.29,86
GCA (PassDead),0.29,99
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.10,99
GCA (Def),0.00,43
Tackles,1.73,23
Tackles Won,0.96,16
Tackles (Def 3rd),0.67,24
Tackles (Mid 3rd),0.77,21
Tackles (Att 3rd),0.29,59
,,
Dribblers Tackled,0.86,71
Dribbles Contested,1.25,7
% of dribblers tackled,69.2%,99
Dribbled Past,0.38,99
,,
Pressures,14.38,11
Successful Pressures,3.07,1
Successful Pressure %,21.3%,1
Pressures (Def 3rd),3.64,7
Pressures (Mid 3rd),8.24,27
Pressures (Att 3rd),2.49,35
,,
Blocks,1.25,23
Shots Blocked,0.10,7
Shots Saved,0.00,45
Passes Blocked,1.15,39
,,
Interceptions,0.96,7
Tkl+Int,2.68,10
Clearances,1.05,37
Errors,0.00,67
Touches,71.21,79
Touches (Def Pen),1.92,28
Touches (Def 3rd),13.71,42
Touches (Mid 3rd),37.86,58
Touches (Att 3rd),23.67,91
Touches (Att Pen),1.34,60
Touches (Live-Ball),60.19,56
,,
Dribbles Completed,0.67,49
Dribbles Attempted,1.63,71
Successful Dribble %,41.2%,3
Players Dribbled Past,0.67,43
Nutmegs,0.10,76
,,
Carries,42.36,62
Total Carrying Distance,213.26,65
Progressive Carrying Distance,123.64,80
Progressive Carries,5.08,79
Carries into Final Third,1.63,75
Carries into Penalty Area,0.29,78
Miscontrols,1.05,38
Dispossessed,0.96,53
,,
Pass Targets,52.43,72
Passes Received,46.10,69
Passes Received %,87.9%,24
Progressive Passes Rec,2.20,64
Yellow Cards,0.10,90
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,0.58,99
Fouls Drawn,0.38,1
Offsides,0.00,77
Crosses,2.88,99
,,
Interceptions,0.96,7
Tackles Won,0.96,16
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,8.15,19
,,
Aerials won,0.58,15
Aerials lost,0.86,75
% of Aerials Won,40.0%,19
