--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.00,99
Red Cards,0.00,64
,,
xG,0.05,57
npxG,0.05,57
xA,0.00,5
npxG+xA,0.06,45
Goals,0.00,16
Shots Total,0.53,56
Shots on target,0.00,5
Shots on target %,0.0%,5
Goals/Shot,0.00,16
Average Shot Distance,8.80,79
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.05,57
npxG,0.05,57
npxG/Sh,0.10,60
Goals - xG,-0.05,4
Non-Penalty Goals - npxG,-0.05,4
Passes Completed,27.16,5
Passes Attempted,34.40,4
Pass Completion %,78.9%,13
Total Passing Distance,623.44,5
Progressive Passing Distance,198.18,7
,,
Passes Completed (Short),4.83,1
Passes Attempted (Short),6.34,2
Pass Completion % (Short),76.2%,1
,,
Passes Completed (Medium),16.60,16
Passes Attempted (Medium),18.78,19
Pass Completion % (Medium),88.4%,21
,,
Passes Completed (Long),5.36,11
Passes Attempted (Long),8.60,12
Pass Completion % (Long),62.3%,22
Assists,0.00,31
xA,0.00,5
Key Passes,0.08,18
Passes into Final Third,1.21,6
Passes into Penalty Area,0.15,49
Crosses into Penalty Area,0.08,86
Progressive Passes,1.89,24
Passes Attempted,34.40,4
,,
Live-ball passes,33.72,7
Dead-ball passes,0.68,1
Passes from Free Kicks,0.38,1
Through Balls,0.00,27
Passes Under Pressure,5.05,39
Switches,0.30,1
Crosses,0.08,40
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,21.35,5
Low Passes,4.07,45
High Passes,8.98,46
,,
Passes Attempted (Left),2.26,4
Passes Attempted (Right),26.86,35
Passes Attempted (Head),2.41,40
Throw-Ins taken,0.30,57
Passes Attempted (Other),0.08,19
,,
Passes Completed,27.16,5
Passes Offside,0.00,97
Passes Out of Bounds,0.91,41
Passes Intercepted,0.60,81
Passes Blocked,0.30,84
Shot-Creating Actions,0.38,25
,,
SCA (PassLive),0.30,26
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.08,76
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,0.75,5
Tackles Won,0.45,6
Tackles (Def 3rd),0.53,6
Tackles (Mid 3rd),0.23,10
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.23,3
Dribbles Contested,0.38,1
% of dribblers tackled,60.0%,78
Dribbled Past,0.15,99
,,
Pressures,6.26,14
Successful Pressures,2.64,27
Successful Pressure %,42.2%,94
Pressures (Def 3rd),4.30,31
Pressures (Mid 3rd),1.81,5
Pressures (Att 3rd),0.15,6
,,
Blocks,2.49,96
Shots Blocked,1.28,94
Shots Saved,0.00,32
Passes Blocked,1.21,83
,,
Interceptions,1.96,42
Tkl+Int,2.72,18
Clearances,4.38,54
Errors,0.15,1
Touches,44.66,3
Touches (Def Pen),8.30,39
Touches (Def 3rd),28.14,20
Touches (Mid 3rd),17.05,2
Touches (Att 3rd),1.43,12
Touches (Att Pen),0.83,50
Touches (Live-Ball),43.98,5
,,
Dribbles Completed,0.00,3
Dribbles Attempted,0.08,10
Successful Dribble %,0.0%,3
Players Dribbled Past,0.08,17
Nutmegs,0.00,37
,,
Carries,23.46,7
Total Carrying Distance,110.37,4
Progressive Carrying Distance,45.57,3
Progressive Carries,0.98,11
Carries into Final Third,0.00,2
Carries into Penalty Area,0.00,31
Miscontrols,0.00,99
Dispossessed,0.30,29
,,
Pass Targets,24.44,5
Passes Received,24.14,6
Passes Received %,98.8%,90
Progressive Passes Rec,0.15,47
Yellow Cards,0.00,99
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.45,95
Fouls Drawn,0.30,14
Offsides,0.00,79
Crosses,0.08,40
,,
Interceptions,1.96,42
Tackles Won,0.45,6
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,8.75,40
,,
Aerials won,3.77,86
Aerials lost,1.28,70
% of Aerials Won,74.6%,94
