--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.09,98
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.18,59
Red Cards,0.09,1
,,
xG,0.07,80
npxG,0.07,80
xA,0.03,78
npxG+xA,0.10,83
Goals,0.00,16
Shots Total,0.62,69
Shots on target,0.09,33
Shots on target %,14.3%,17
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,7.00,95
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.07,80
npxG,0.07,80
npxG/Sh,0.11,67
Goals - xG,-0.07,1
Non-Penalty Goals - npxG,-0.07,1
Passes Completed,24.50,2
Passes Attempted,30.89,1
Pass Completion %,79.3%,14
Total Passing Distance,473.34,1
Progressive Passing Distance,140.41,1
,,
Passes Completed (Short),7.99,13
Passes Attempted (Short),9.14,14
Pass Completion % (Short),87.4%,22
,,
Passes Completed (Medium),13.22,5
Passes Attempted (Medium),15.00,4
Pass Completion % (Medium),88.2%,21
,,
Passes Completed (Long),2.84,1
Passes Attempted (Long),5.86,1
Pass Completion % (Long),48.5%,1
Assists,0.09,98
xA,0.03,78
Key Passes,0.36,88
Passes into Final Third,1.07,4
Passes into Penalty Area,0.09,30
Crosses into Penalty Area,0.09,88
Progressive Passes,1.33,7
Passes Attempted,30.89,1
,,
Live-ball passes,30.18,1
Dead-ball passes,0.71,1
Passes from Free Kicks,0.53,2
Through Balls,0.00,27
Passes Under Pressure,3.28,2
Switches,0.27,1
Crosses,0.27,78
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,21.21,5
Low Passes,3.37,17
High Passes,6.30,11
,,
Passes Attempted (Left),21.92,72
Passes Attempted (Right),5.24,6
Passes Attempted (Head),1.95,18
Throw-Ins taken,0.18,41
Passes Attempted (Other),0.09,24
,,
Passes Completed,24.50,2
Passes Offside,0.27,6
Passes Out of Bounds,0.89,43
Passes Intercepted,0.62,80
Passes Blocked,0.44,60
Shot-Creating Actions,0.44,35
,,
SCA (PassLive),0.36,35
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.09,82
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.09,74
,,
GCA (PassLive),0.09,84
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.51,44
Tackles Won,1.15,66
Tackles (Def 3rd),0.80,29
Tackles (Mid 3rd),0.53,58
Tackles (Att 3rd),0.18,89
,,
Dribblers Tackled,0.80,73
Dribbles Contested,1.33,64
% of dribblers tackled,60.0%,78
Dribbled Past,0.53,51
,,
Pressures,6.75,20
Successful Pressures,2.40,19
Successful Pressure %,35.5%,43
Pressures (Def 3rd),4.70,42
Pressures (Mid 3rd),1.69,3
Pressures (Att 3rd),0.36,36
,,
Blocks,1.24,8
Shots Blocked,0.89,67
Shots Saved,0.00,32
Passes Blocked,0.36,1
,,
Interceptions,1.33,7
Tkl+Int,2.84,21
Clearances,4.44,57
Errors,0.00,83
Touches,39.85,1
Touches (Def Pen),6.92,18
Touches (Def 3rd),23.08,3
Touches (Mid 3rd),15.18,1
Touches (Att 3rd),3.11,63
Touches (Att Pen),1.95,99
Touches (Live-Ball),39.23,1
,,
Dribbles Completed,0.27,67
Dribbles Attempted,0.36,62
Successful Dribble %,75.0%,64
Players Dribbled Past,0.27,65
Nutmegs,0.00,37
,,
Carries,22.10,4
Total Carrying Distance,102.16,2
Progressive Carrying Distance,45.00,2
Progressive Carries,1.15,16
Carries into Final Third,0.36,49
Carries into Penalty Area,0.00,31
Miscontrols,0.36,23
Dispossessed,0.00,98
,,
Pass Targets,23.52,4
Passes Received,22.28,4
Passes Received %,94.7%,3
Progressive Passes Rec,0.36,84
Yellow Cards,0.18,59
Red Cards,0.09,1
Second Yellow Card,0.00,57
Fouls Committed,0.53,90
Fouls Drawn,0.62,54
Offsides,0.09,13
Crosses,0.27,78
,,
Interceptions,1.33,7
Tackles Won,1.15,66
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.09,5
Own Goals,0.00,60
Ball Recoveries,7.63,17
,,
Aerials won,3.02,66
Aerials lost,1.33,65
% of Aerials Won,69.4%,79
