--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.14,2
Assists,0.14,65
Non-Penalty Goals,0.14,7
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.25,18
Red Cards,0.04,9
,,
xG,0.21,1
npxG,0.21,7
xA,0.09,28
npxG+xA,0.30,6
Goals,0.14,2
Shots Total,2.02,17
Shots on target,0.58,6
Shots on target %,28.6%,9
Goals/Shot,0.07,9
Goals/Shot on target,0.25,19
Average Shot Distance,15.60,31
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.21,1
npxG,0.21,7
npxG/Sh,0.11,22
Goals - xG,-0.07,23
Non-Penalty Goals - npxG,-0.07,23
Passes Completed,12.71,20
Passes Attempted,19.50,22
Pass Completion %,65.2%,17
Total Passing Distance,188.20,18
Progressive Passing Distance,50.67,61
,,
Passes Completed (Short),6.90,15
Passes Attempted (Short),9.03,12
Pass Completion % (Short),76.4%,33
,,
Passes Completed (Medium),4.30,32
Passes Attempted (Medium),6.43,39
Pass Completion % (Medium),66.9%,22
,,
Passes Completed (Long),0.83,28
Passes Attempted (Long),2.06,59
Pass Completion % (Long),40.4%,2
Assists,0.14,65
xA,0.09,28
Key Passes,0.87,38
Passes into Final Third,0.65,23
Passes into Penalty Area,0.72,53
Crosses into Penalty Area,0.04,18
Progressive Passes,1.77,67
Passes Attempted,19.50,22
,,
Live-ball passes,18.35,28
Dead-ball passes,1.16,36
Passes from Free Kicks,0.04,48
Through Balls,0.00,11
Passes Under Pressure,3.97,3
Switches,0.43,54
Crosses,1.77,90
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,13.18,38
Low Passes,3.14,11
High Passes,3.18,37
,,
Passes Attempted (Left),3.68,58
Passes Attempted (Right),14.41,51
Passes Attempted (Head),0.69,16
Throw-Ins taken,0.25,80
Passes Attempted (Other),0.11,1
,,
Passes Completed,12.71,20
Passes Offside,0.07,64
Passes Out of Bounds,0.58,29
Passes Intercepted,1.16,53
Passes Blocked,1.30,23
Shot-Creating Actions,2.02,32
,,
SCA (PassLive),1.37,34
SCA (PassDead),0.00,36
SCA (Drib),0.11,38
SCA (Sh),0.25,69
SCA (Fld),0.25,74
SCA (Def),0.04,34
,,
Goal-Creating Actions,0.18,16
,,
GCA (PassLive),0.11,23
GCA (PassDead),0.00,46
GCA (Drib),0.04,61
GCA (Sh),0.00,18
GCA (Fld),0.04,56
GCA (Def),0.00,40
Tackles,1.41,94
Tackles Won,0.76,85
Tackles (Def 3rd),0.43,94
Tackles (Mid 3rd),0.61,87
Tackles (Att 3rd),0.36,84
,,
Dribblers Tackled,0.43,96
Dribbles Contested,1.01,87
% of dribblers tackled,42.9%,90
Dribbled Past,0.58,31
,,
Pressures,22.07,95
Successful Pressures,5.67,93
Successful Pressure %,25.7%,36
Pressures (Def 3rd),3.32,97
Pressures (Mid 3rd),8.45,86
Pressures (Att 3rd),10.29,93
,,
Blocks,0.94,67
Shots Blocked,0.07,28
Shots Saved,0.00,48
Passes Blocked,0.87,74
,,
Interceptions,0.69,90
Tkl+Int,2.09,95
Clearances,0.47,35
Errors,0.00,53
Touches,30.30,17
Touches (Def Pen),0.83,50
Touches (Def 3rd),3.39,66
Touches (Mid 3rd),11.67,4
Touches (Att 3rd),17.48,45
Touches (Att Pen),4.88,38
Touches (Live-Ball),29.18,21
,,
Dribbles Completed,0.65,36
Dribbles Attempted,1.70,49
Successful Dribble %,38.3%,15
Players Dribbled Past,0.76,36
Nutmegs,0.00,10
,,
Carries,20.44,40
Total Carrying Distance,134.49,80
Progressive Carrying Distance,83.86,83
Progressive Carries,4.77,85
Carries into Final Third,1.05,59
Carries into Penalty Area,1.19,85
Miscontrols,1.91,91
Dispossessed,1.44,69
,,
Pass Targets,36.69,6
Passes Received,20.19,9
Passes Received %,55.0%,35
Progressive Passes Rec,6.61,39
Yellow Cards,0.25,18
Red Cards,0.04,9
Second Yellow Card,0.00,53
Fouls Committed,1.37,45
Fouls Drawn,1.63,54
Offsides,0.54,51
Crosses,1.77,90
,,
Interceptions,0.69,90
Tackles Won,0.76,85
Penalty Kicks Won,0.04,61
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.88,85
,,
Aerials won,0.58,9
Aerials lost,1.91,79
% of Aerials Won,23.2%,10
