--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.12,16
Assists,0.18,50
Non-Penalty Goals,0.12,20
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.12,59
Red Cards,0.00,56
,,
xG,0.12,8
npxG,0.12,10
xA,0.23,78
npxG+xA,0.35,38
Goals,0.12,16
Shots Total,2.12,53
Shots on target,0.91,69
Shots on target %,42.9%,84
Goals/Shot,0.06,19
Goals/Shot on target,0.13,12
Average Shot Distance,21.70,8
Shots from free kicks,0.06,60
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.12,8
npxG,0.12,10
npxG/Sh,0.06,7
Goals - xG,+0.01,48
Non-Penalty Goals - npxG,+0.01,49
Passes Completed,28.20,49
Passes Attempted,38.57,54
Pass Completion %,73.1%,36
Total Passing Distance,469.41,49
Progressive Passing Distance,147.80,66
,,
Passes Completed (Short),14.74,50
Passes Attempted (Short),17.95,53
Pass Completion % (Short),82.1%,26
,,
Passes Completed (Medium),9.04,44
Passes Attempted (Medium),12.07,49
Pass Completion % (Medium),74.9%,28
,,
Passes Completed (Long),3.27,63
Passes Attempted (Long),5.70,60
Pass Completion % (Long),57.4%,62
Assists,0.18,50
xA,0.23,78
Key Passes,2.12,80
Passes into Final Third,1.94,57
Passes into Penalty Area,2.18,91
Crosses into Penalty Area,0.61,87
Progressive Passes,4.67,82
Passes Attempted,38.57,54
,,
Live-ball passes,36.27,56
Dead-ball passes,2.30,51
Passes from Free Kicks,0.18,31
Through Balls,0.30,89
Passes Under Pressure,7.76,68
Switches,1.46,65
Crosses,2.06,53
Corner Kicks,1.09,58
,,
Inswinging Corner Kicks,0.12,39
Outswinging Corner Kicks,0.61,71
Straight Corner Kicks,0.18,92
,,
Ground passes,25.47,43
Low Passes,6.00,81
High Passes,7.10,67
,,
Passes Attempted (Left),4.67,35
Passes Attempted (Right),31.42,72
Passes Attempted (Head),0.97,50
Throw-Ins taken,0.61,69
Passes Attempted (Other),0.79,99
,,
Passes Completed,28.20,49
Passes Offside,0.06,88
Passes Out of Bounds,0.49,67
Passes Intercepted,2.85,4
Passes Blocked,1.58,38
Shot-Creating Actions,3.76,70
,,
SCA (PassLive),2.91,87
SCA (PassDead),0.00,13
SCA (Drib),0.24,54
SCA (Sh),0.30,87
SCA (Fld),0.24,71
SCA (Def),0.06,48
,,
Goal-Creating Actions,0.24,22
,,
GCA (PassLive),0.18,29
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.06,84
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.15,32
Tackles Won,0.55,15
Tackles (Def 3rd),0.55,60
Tackles (Mid 3rd),0.36,19
Tackles (Att 3rd),0.24,35
,,
Dribblers Tackled,0.49,58
Dribbles Contested,1.27,43
% of dribblers tackled,38.1%,80
Dribbled Past,0.79,69
,,
Pressures,14.98,34
Successful Pressures,4.06,31
Successful Pressure %,27.1%,45
Pressures (Def 3rd),2.97,34
Pressures (Mid 3rd),6.13,29
Pressures (Att 3rd),5.88,57
,,
Blocks,0.79,17
Shots Blocked,0.12,71
Shots Saved,0.00,49
Passes Blocked,0.67,15
,,
Interceptions,0.36,1
Tkl+Int,1.52,8
Clearances,0.00,1
Errors,0.00,57
Touches,50.88,50
Touches (Def Pen),0.12,1
Touches (Def 3rd),6.43,50
Touches (Mid 3rd),23.65,53
Touches (Att 3rd),25.84,57
Touches (Att Pen),3.46,37
Touches (Live-Ball),48.70,50
,,
Dribbles Completed,2.00,72
Dribbles Attempted,4.06,75
Successful Dribble %,49.3%,40
Players Dribbled Past,2.06,66
Nutmegs,0.24,72
,,
Carries,39.78,65
Total Carrying Distance,226.58,66
Progressive Carrying Distance,144.82,82
Progressive Carries,7.16,71
Carries into Final Third,2.97,91
Carries into Penalty Area,1.46,75
Miscontrols,2.06,53
Dispossessed,2.00,46
,,
Pass Targets,53.07,72
Passes Received,39.66,60
Passes Received %,74.7%,34
Progressive Passes Rec,5.88,43
Yellow Cards,0.12,59
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.67,88
Fouls Drawn,1.82,59
Offsides,0.18,68
Crosses,2.06,53
,,
Interceptions,0.36,1
Tackles Won,0.55,15
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,5.46,34
,,
Aerials won,0.12,2
Aerials lost,1.52,42
% of Aerials Won,7.4%,1
