--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,63
Assists,0.09,60
Non-Penalty Goals,0.09,65
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.24,42
Red Cards,0.00,61
,,
xG,0.05,36
npxG,0.05,38
xA,0.06,40
npxG+xA,0.11,34
Goals,0.09,63
Shots Total,0.84,36
Shots on target,0.29,56
Shots on target %,34.2%,77
Goals/Shot,0.11,75
Goals/Shot on target,0.31,64
Average Shot Distance,21.60,39
Shots from free kicks,0.04,74
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.05,36
npxG,0.05,38
npxG/Sh,0.06,39
Goals - xG,+0.04,80
Non-Penalty Goals - npxG,+0.04,81
Passes Completed,54.29,84
Passes Attempted,59.94,77
Pass Completion %,90.6%,94
Total Passing Distance,1094.07,88
Progressive Passing Distance,264.04,82
,,
Passes Completed (Short),20.83,75
Passes Attempted (Short),22.26,70
Pass Completion % (Short),93.6%,94
,,
Passes Completed (Medium),24.07,86
Passes Attempted (Medium),25.75,82
Pass Completion % (Medium),93.5%,94
,,
Passes Completed (Long),8.81,87
Passes Attempted (Long),10.82,75
Pass Completion % (Long),81.4%,90
Assists,0.09,60
xA,0.06,40
Key Passes,0.73,38
Passes into Final Third,6.60,92
Passes into Penalty Area,0.82,63
Crosses into Penalty Area,0.24,86
Progressive Passes,4.26,61
Passes Attempted,59.94,77
,,
Live-ball passes,59.01,82
Dead-ball passes,0.93,20
Passes from Free Kicks,0.66,24
Through Balls,0.02,21
Passes Under Pressure,8.72,64
Switches,2.34,73
Crosses,0.93,72
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,48.57,83
Low Passes,4.09,17
High Passes,7.29,45
,,
Passes Attempted (Left),8.72,69
Passes Attempted (Right),47.62,75
Passes Attempted (Head),2.36,70
Throw-Ins taken,0.27,70
Passes Attempted (Other),0.04,3
,,
Passes Completed,54.29,84
Passes Offside,0.18,45
Passes Out of Bounds,0.55,75
Passes Intercepted,0.77,97
Passes Blocked,0.60,90
Shot-Creating Actions,1.77,41
,,
SCA (PassLive),1.48,50
SCA (PassDead),0.02,47
SCA (Drib),0.07,63
SCA (Sh),0.09,57
SCA (Fld),0.02,21
SCA (Def),0.09,70
,,
Goal-Creating Actions,0.22,60
,,
GCA (PassLive),0.20,69
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.02,85
Tackles,2.30,53
Tackles Won,1.48,56
Tackles (Def 3rd),1.19,78
Tackles (Mid 3rd),0.97,41
Tackles (Att 3rd),0.13,15
,,
Dribblers Tackled,0.84,68
Dribbles Contested,1.81,42
% of dribblers tackled,46.3%,87
Dribbled Past,0.97,74
,,
Pressures,14.05,9
Successful Pressures,4.35,14
Successful Pressure %,31.0%,56
Pressures (Def 3rd),5.92,52
Pressures (Mid 3rd),6.82,10
Pressures (Att 3rd),1.30,2
,,
Blocks,1.72,63
Shots Blocked,0.71,97
Shots Saved,0.02,91
Passes Blocked,1.02,27
,,
Interceptions,2.76,95
Tkl+Int,5.06,84
Clearances,1.46,64
Errors,0.02,34
Touches,70.28,77
Touches (Def Pen),4.15,92
Touches (Def 3rd),19.88,88
Touches (Mid 3rd),44.83,83
Touches (Att 3rd),12.32,43
Touches (Att Pen),1.39,61
Touches (Live-Ball),69.33,80
,,
Dribbles Completed,1.08,74
Dribbles Attempted,1.70,75
Successful Dribble %,63.6%,55
Players Dribbled Past,1.17,75
Nutmegs,0.07,65
,,
Carries,49.76,80
Total Carrying Distance,350.77,98
Progressive Carrying Distance,174.70,97
Progressive Carries,6.63,91
Carries into Final Third,2.36,93
Carries into Penalty Area,0.33,81
Miscontrols,0.60,80
Dispossessed,0.77,71
,,
Pass Targets,51.42,70
Passes Received,49.32,75
Passes Received %,95.9%,93
Progressive Passes Rec,0.99,21
Yellow Cards,0.24,42
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.04,88
Fouls Drawn,0.53,4
Offsides,0.00,77
Crosses,0.93,72
,,
Interceptions,2.76,95
Tackles Won,1.48,56
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.09,60
,,
Aerials won,1.33,57
Aerials lost,0.84,77
% of Aerials Won,61.2%,84
