--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.12,91
Assists,0.00,31
Non-Penalty Goals,0.12,91
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.27,29
Red Cards,0.00,64
,,
xG,0.05,59
npxG,0.05,60
xA,0.00,17
npxG+xA,0.05,39
Goals,0.12,91
Shots Total,0.38,36
Shots on target,0.12,43
Shots on target %,30.0%,61
Goals/Shot,0.30,97
Goals/Shot on target,1.00,91
Average Shot Distance,8.90,77
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.05,59
npxG,0.05,60
npxG/Sh,0.14,84
Goals - xG,+0.06,96
Non-Penalty Goals - npxG,+0.06,96
Passes Completed,42.62,48
Passes Attempted,51.69,50
Pass Completion %,82.4%,28
Total Passing Distance,947.42,51
Progressive Passing Distance,280.50,36
,,
Passes Completed (Short),9.65,30
Passes Attempted (Short),11.04,30
Pass Completion % (Short),87.5%,23
,,
Passes Completed (Medium),25.08,62
Passes Attempted (Medium),27.62,65
Pass Completion % (Medium),90.8%,38
,,
Passes Completed (Long),7.42,45
Passes Attempted (Long),11.73,50
Pass Completion % (Long),63.3%,26
Assists,0.00,31
xA,0.00,17
Key Passes,0.08,18
Passes into Final Third,2.65,52
Passes into Penalty Area,0.19,60
Crosses into Penalty Area,0.00,29
Progressive Passes,2.69,56
Passes Attempted,51.69,50
,,
Live-ball passes,49.96,53
Dead-ball passes,1.73,27
Passes from Free Kicks,1.35,35
Through Balls,0.08,87
Passes Under Pressure,7.46,90
Switches,1.46,55
Crosses,0.08,40
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,36.73,49
Low Passes,5.42,83
High Passes,9.54,58
,,
Passes Attempted (Left),11.92,65
Passes Attempted (Right),35.58,57
Passes Attempted (Head),2.50,44
Throw-Ins taken,0.35,60
Passes Attempted (Other),0.31,87
,,
Passes Completed,42.62,48
Passes Offside,0.08,67
Passes Out of Bounds,1.35,6
Passes Intercepted,1.42,10
Passes Blocked,0.92,11
Shot-Creating Actions,0.23,6
,,
SCA (PassLive),0.23,14
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.15,82
Tackles Won,1.35,82
Tackles (Def 3rd),1.46,85
Tackles (Mid 3rd),0.62,68
Tackles (Att 3rd),0.08,58
,,
Dribblers Tackled,1.15,95
Dribbles Contested,2.04,92
% of dribblers tackled,56.6%,65
Dribbled Past,0.88,12
,,
Pressures,13.88,94
Successful Pressures,5.38,95
Successful Pressure %,38.8%,78
Pressures (Def 3rd),8.00,96
Pressures (Mid 3rd),5.38,90
Pressures (Att 3rd),0.50,55
,,
Blocks,2.35,93
Shots Blocked,0.73,44
Shots Saved,0.00,32
Passes Blocked,1.62,97
,,
Interceptions,2.35,71
Tkl+Int,4.50,78
Clearances,4.00,44
Errors,0.04,41
Touches,63.27,52
Touches (Def Pen),10.08,70
Touches (Def 3rd),38.35,80
Touches (Mid 3rd),28.04,46
Touches (Att 3rd),1.92,29
Touches (Att Pen),0.50,19
Touches (Live-Ball),61.65,54
,,
Dribbles Completed,0.35,81
Dribbles Attempted,0.42,71
Successful Dribble %,81.8%,79
Players Dribbled Past,0.35,78
Nutmegs,0.04,86
,,
Carries,38.19,53
Total Carrying Distance,279.19,83
Progressive Carrying Distance,177.04,90
Progressive Carries,2.15,47
Carries into Final Third,0.23,32
Carries into Penalty Area,0.00,31
Miscontrols,0.27,39
Dispossessed,0.46,9
,,
Pass Targets,39.65,50
Passes Received,38.58,50
Passes Received %,97.3%,30
Progressive Passes Rec,0.08,22
Yellow Cards,0.27,29
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.12,45
Fouls Drawn,1.04,89
Offsides,0.00,79
Crosses,0.08,40
,,
Interceptions,2.35,71
Tackles Won,1.35,82
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,10.58,78
,,
Aerials won,2.46,45
Aerials lost,2.46,3
% of Aerials Won,50.0%,8
