--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.35,40
Assists,0.14,64
Non-Penalty Goals,0.21,20
Penalty Kicks Made,0.14,88
Penalty Kicks Attempted,0.21,96
Yellow Cards,0.14,47
Red Cards,0.00,55
,,
xG,0.48,74
npxG,0.32,50
xA,0.13,61
npxG+xA,0.45,51
Goals,0.35,40
Shots Total,2.10,22
Shots on target,0.77,26
Shots on target %,36.7%,40
Goals/Shot,0.10,27
Goals/Shot on target,0.27,24
Average Shot Distance,13.10,70
Shots from free kicks,0.00,30
Penalty Kicks Made,0.14,88
Penalty Kicks Attempted,0.21,96
,,
xG,0.48,74
npxG,0.32,50
npxG/Sh,0.15,69
Goals - xG,-0.13,9
Non-Penalty Goals - npxG,-0.11,14
Passes Completed,12.63,18
Passes Attempted,20.48,30
Pass Completion %,61.6%,7
Total Passing Distance,154.26,4
Progressive Passing Distance,32.20,20
,,
Passes Completed (Short),8.07,30
Passes Attempted (Short),12.42,55
Pass Completion % (Short),65.0%,2
,,
Passes Completed (Medium),2.53,1
Passes Attempted (Medium),4.77,8
Pass Completion % (Medium),52.9%,1
,,
Passes Completed (Long),0.63,12
Passes Attempted (Long),0.84,4
Pass Completion % (Long),75.0%,94
Assists,0.14,64
xA,0.13,61
Key Passes,0.84,34
Passes into Final Third,0.70,25
Passes into Penalty Area,0.35,16
Crosses into Penalty Area,0.00,7
Progressive Passes,0.84,10
Passes Attempted,20.48,30
,,
Live-ball passes,19.57,31
Dead-ball passes,0.91,22
Passes from Free Kicks,0.00,20
Through Balls,0.00,11
Passes Under Pressure,9.96,93
Switches,0.00,1
Crosses,0.21,5
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,8.56,4
Low Passes,7.72,96
High Passes,4.21,61
,,
Passes Attempted (Left),1.47,12
Passes Attempted (Right),9.82,23
Passes Attempted (Head),2.24,85
Throw-Ins taken,0.07,34
Passes Attempted (Other),1.54,98
,,
Passes Completed,12.63,18
Passes Offside,0.07,65
Passes Out of Bounds,0.42,52
Passes Intercepted,0.98,69
Passes Blocked,0.98,54
Shot-Creating Actions,2.10,36
,,
SCA (PassLive),1.47,41
SCA (PassDead),0.07,87
SCA (Drib),0.14,46
SCA (Sh),0.07,5
SCA (Fld),0.28,78
SCA (Def),0.07,64
,,
Goal-Creating Actions,0.28,45
,,
GCA (PassLive),0.21,61
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.00,18
GCA (Fld),0.07,82
GCA (Def),0.00,40
Tackles,0.98,75
Tackles Won,0.77,85
Tackles (Def 3rd),0.14,56
Tackles (Mid 3rd),0.35,58
Tackles (Att 3rd),0.49,96
,,
Dribblers Tackled,0.14,47
Dribbles Contested,0.42,24
% of dribblers tackled,33.3%,70
Dribbled Past,0.28,79
,,
Pressures,13.89,36
Successful Pressures,3.44,30
Successful Pressure %,24.7%,28
Pressures (Def 3rd),0.77,20
Pressures (Mid 3rd),6.52,55
Pressures (Att 3rd),6.59,40
,,
Blocks,0.77,53
Shots Blocked,0.21,83
Shots Saved,0.00,48
Passes Blocked,0.56,41
,,
Interceptions,0.42,56
Tkl+Int,1.40,73
Clearances,0.84,72
Errors,0.00,53
Touches,32.48,30
Touches (Def Pen),0.98,64
Touches (Def 3rd),3.02,56
Touches (Mid 3rd),14.10,20
Touches (Att 3rd),16.27,31
Touches (Att Pen),4.14,16
Touches (Live-Ball),31.36,31
,,
Dribbles Completed,0.42,15
Dribbles Attempted,0.70,7
Successful Dribble %,60.0%,92
Players Dribbled Past,0.42,11
Nutmegs,0.07,47
,,
Carries,14.31,7
Total Carrying Distance,60.47,12
Progressive Carrying Distance,17.47,4
Progressive Carries,0.70,1
Carries into Final Third,0.14,1
Carries into Penalty Area,0.07,1
Miscontrols,3.58,15
Dispossessed,1.54,63
,,
Pass Targets,52.54,86
Passes Received,23.64,29
Passes Received %,45.0%,2
Progressive Passes Rec,4.98,4
Yellow Cards,0.14,47
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.47,39
Fouls Drawn,1.54,51
Offsides,0.28,88
Crosses,0.21,5
,,
Interceptions,0.42,56
Tackles Won,0.77,85
Penalty Kicks Won,0.07,83
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.44,25
,,
Aerials won,6.80,95
Aerials lost,7.51,3
% of Aerials Won,47.5%,80
