--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.21,13
Assists,0.11,43
Non-Penalty Goals,0.21,20
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.11,64
Red Cards,0.00,55
,,
xG,0.38,53
npxG,0.38,69
xA,0.15,72
npxG+xA,0.53,70
Goals,0.21,13
Shots Total,2.02,17
Shots on target,0.64,8
Shots on target %,31.6%,20
Goals/Shot,0.11,31
Goals/Shot on target,0.33,41
Average Shot Distance,11.20,98
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.38,53
npxG,0.38,69
npxG/Sh,0.19,97
Goals - xG,-0.17,5
Non-Penalty Goals - npxG,-0.17,5
Passes Completed,21.73,81
Passes Attempted,27.27,73
Pass Completion %,79.7%,93
Total Passing Distance,330.82,80
Progressive Passing Distance,37.60,28
,,
Passes Completed (Short),12.78,85
Passes Attempted (Short),14.80,80
Pass Completion % (Short),86.3%,94
,,
Passes Completed (Medium),6.60,80
Passes Attempted (Medium),8.63,77
Pass Completion % (Medium),76.5%,74
,,
Passes Completed (Long),1.28,60
Passes Attempted (Long),2.34,64
Pass Completion % (Long),54.5%,33
Assists,0.11,43
xA,0.15,72
Key Passes,0.85,36
Passes into Final Third,0.53,13
Passes into Penalty Area,0.21,6
Crosses into Penalty Area,0.00,7
Progressive Passes,1.07,25
Passes Attempted,27.27,73
,,
Live-ball passes,26.52,75
Dead-ball passes,0.75,16
Passes from Free Kicks,0.11,77
Through Balls,0.00,11
Passes Under Pressure,4.47,10
Switches,0.96,85
Crosses,0.32,12
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,19.92,82
Low Passes,3.94,34
High Passes,3.41,46
,,
Passes Attempted (Left),5.33,72
Passes Attempted (Right),18.96,80
Passes Attempted (Head),0.96,39
Throw-Ins taken,0.11,46
Passes Attempted (Other),1.49,97
,,
Passes Completed,21.73,81
Passes Offside,0.00,94
Passes Out of Bounds,0.43,50
Passes Intercepted,0.85,85
Passes Blocked,0.43,98
Shot-Creating Actions,1.17,1
,,
SCA (PassLive),0.85,4
SCA (PassDead),0.00,36
SCA (Drib),0.00,3
SCA (Sh),0.21,52
SCA (Fld),0.11,21
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.21,29
,,
GCA (PassLive),0.11,23
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.11,92
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,0.53,35
Tackles Won,0.32,31
Tackles (Def 3rd),0.00,5
Tackles (Mid 3rd),0.32,55
Tackles (Att 3rd),0.21,42
,,
Dribblers Tackled,0.32,88
Dribbles Contested,0.64,50
% of dribblers tackled,50.0%,95
Dribbled Past,0.32,72
,,
Pressures,12.67,28
Successful Pressures,4.58,71
Successful Pressure %,36.1%,99
Pressures (Def 3rd),1.70,77
Pressures (Mid 3rd),4.47,17
Pressures (Att 3rd),6.50,37
,,
Blocks,1.07,81
Shots Blocked,0.00,4
Shots Saved,0.00,48
Passes Blocked,1.07,91
,,
Interceptions,0.96,99
Tkl+Int,1.49,77
Clearances,0.96,80
Errors,0.00,53
Touches,36.21,53
Touches (Def Pen),1.49,94
Touches (Def 3rd),6.50,99
Touches (Mid 3rd),15.66,37
Touches (Att 3rd),15.12,24
Touches (Att Pen),3.83,10
Touches (Live-Ball),35.57,58
,,
Dribbles Completed,0.43,15
Dribbles Attempted,0.53,3
Successful Dribble %,80.0%,99
Players Dribbled Past,0.43,11
Nutmegs,0.00,10
,,
Carries,19.92,39
Total Carrying Distance,47.93,6
Progressive Carrying Distance,12.99,1
Progressive Carries,1.07,4
Carries into Final Third,0.43,12
Carries into Penalty Area,0.32,18
Miscontrols,1.92,90
Dispossessed,0.53,99
,,
Pass Targets,44.84,47
Passes Received,26.73,54
Passes Received %,59.6%,55
Progressive Passes Rec,5.43,13
Yellow Cards,0.11,64
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.17,60
Fouls Drawn,0.75,7
Offsides,0.64,36
Crosses,0.32,12
,,
Interceptions,0.96,99
Tackles Won,0.32,31
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.15,56
,,
Aerials won,0.85,18
Aerials lost,1.70,85
% of Aerials Won,33.3%,31
