--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.15,81
Assists,0.15,81
Non-Penalty Goals,0.15,85
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.22,52
Red Cards,0.00,61
,,
xG,0.07,55
npxG,0.07,57
xA,0.07,51
npxG+xA,0.15,54
Goals,0.15,81
Shots Total,0.73,26
Shots on target,0.40,76
Shots on target %,55.0%,99
Goals/Shot,0.20,97
Goals/Shot on target,0.36,72
Average Shot Distance,19.60,58
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.07,55
npxG,0.07,57
npxG/Sh,0.10,84
Goals - xG,+0.07,92
Non-Penalty Goals - npxG,+0.07,93
Passes Completed,49.48,73
Passes Attempted,58.16,72
Pass Completion %,85.1%,68
Total Passing Distance,929.06,71
Progressive Passing Distance,228.75,65
,,
Passes Completed (Short),21.30,76
Passes Attempted (Short),24.23,79
Pass Completion % (Short),87.9%,47
,,
Passes Completed (Medium),20.79,73
Passes Attempted (Medium),23.24,73
Pass Completion % (Medium),89.4%,63
,,
Passes Completed (Long),6.62,69
Passes Attempted (Long),8.31,55
Pass Completion % (Long),79.7%,86
Assists,0.15,81
xA,0.07,51
Key Passes,1.02,65
Passes into Final Third,4.87,72
Passes into Penalty Area,0.51,31
Crosses into Penalty Area,0.07,43
Progressive Passes,4.47,67
Passes Attempted,58.16,72
,,
Live-ball passes,56.44,75
Dead-ball passes,1.72,49
Passes from Free Kicks,1.35,58
Through Balls,0.15,75
Passes Under Pressure,9.48,75
Switches,2.01,69
Crosses,0.18,16
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,45.35,77
Low Passes,6.73,84
High Passes,6.08,27
,,
Passes Attempted (Left),38.03,92
Passes Attempted (Right),17.35,16
Passes Attempted (Head),1.65,38
Throw-Ins taken,0.37,78
Passes Attempted (Other),0.29,70
,,
Passes Completed,49.48,73
Passes Offside,0.15,54
Passes Out of Bounds,0.77,40
Passes Intercepted,1.72,28
Passes Blocked,1.61,8
Shot-Creating Actions,2.42,71
,,
SCA (PassLive),1.98,80
SCA (PassDead),0.04,53
SCA (Drib),0.04,41
SCA (Sh),0.04,26
SCA (Fld),0.18,87
SCA (Def),0.15,93
,,
Goal-Creating Actions,0.37,83
,,
GCA (PassLive),0.29,87
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.04,85
GCA (Def),0.04,92
Tackles,2.96,83
Tackles Won,1.72,72
Tackles (Def 3rd),1.24,82
Tackles (Mid 3rd),1.35,80
Tackles (Att 3rd),0.37,79
,,
Dribblers Tackled,0.92,73
Dribbles Contested,3.00,91
% of dribblers tackled,30.5%,21
Dribbled Past,2.09,7
,,
Pressures,24.56,92
Successful Pressures,6.08,63
Successful Pressure %,24.7%,7
Pressures (Def 3rd),8.64,91
Pressures (Mid 3rd),13.21,94
Pressures (Att 3rd),2.71,45
,,
Blocks,2.16,91
Shots Blocked,0.59,92
Shots Saved,0.00,45
Passes Blocked,1.57,78
,,
Interceptions,1.94,66
Tkl+Int,4.90,79
Clearances,1.24,51
Errors,0.00,67
Touches,70.64,78
Touches (Def Pen),3.04,70
Touches (Def 3rd),17.42,74
Touches (Mid 3rd),42.82,76
Touches (Att 3rd),13.29,54
Touches (Att Pen),0.73,28
Touches (Live-Ball),69.25,80
,,
Dribbles Completed,0.66,47
Dribbles Attempted,1.35,57
Successful Dribble %,48.6%,12
Players Dribbled Past,0.70,45
Nutmegs,0.07,68
,,
Carries,45.16,69
Total Carrying Distance,168.32,36
Progressive Carrying Distance,81.36,38
Progressive Carries,3.04,35
Carries into Final Third,0.70,17
Carries into Penalty Area,0.07,36
Miscontrols,1.32,20
Dispossessed,1.28,29
,,
Pass Targets,52.37,72
Passes Received,47.84,71
Passes Received %,91.3%,46
Progressive Passes Rec,1.87,56
Yellow Cards,0.22,52
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.72,43
Fouls Drawn,1.79,71
Offsides,0.00,77
Crosses,0.18,16
,,
Interceptions,1.94,66
Tackles Won,1.72,72
Penalty Kicks Won,0.04,91
Penalty Kicks Conceded,0.00,61
Own Goals,0.04,2
Ball Recoveries,11.31,83
,,
Aerials won,0.62,19
Aerials lost,0.70,88
% of Aerials Won,47.2%,41
