--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.15,98
Assists,0.00,31
Non-Penalty Goals,0.15,98
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.24,36
Red Cards,0.03,24
,,
xG,0.08,86
npxG,0.08,87
xA,0.02,72
npxG+xA,0.10,86
Goals,0.15,98
Shots Total,0.88,92
Shots on target,0.35,97
Shots on target %,40.0%,85
Goals/Shot,0.17,84
Goals/Shot on target,0.42,62
Average Shot Distance,11.00,52
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.08,86
npxG,0.08,87
npxG/Sh,0.09,53
Goals - xG,+0.07,98
Non-Penalty Goals - npxG,+0.07,98
Passes Completed,52.77,72
Passes Attempted,58.82,70
Pass Completion %,89.7%,81
Total Passing Distance,1088.81,68
Progressive Passing Distance,294.77,43
,,
Passes Completed (Short),15.72,74
Passes Attempted (Short),16.60,72
Pass Completion % (Short),94.7%,92
,,
Passes Completed (Medium),29.44,78
Passes Attempted (Medium),30.97,76
Pass Completion % (Medium),95.1%,89
,,
Passes Completed (Long),7.02,36
Passes Attempted (Long),10.28,34
Pass Completion % (Long),68.3%,48
Assists,0.00,31
xA,0.02,72
Key Passes,0.24,69
Passes into Final Third,3.26,69
Passes into Penalty Area,0.03,11
Crosses into Penalty Area,0.00,29
Progressive Passes,2.44,45
Passes Attempted,58.82,70
,,
Live-ball passes,57.09,72
Dead-ball passes,1.73,27
Passes from Free Kicks,1.06,15
Through Balls,0.03,56
Passes Under Pressure,5.23,46
Switches,1.12,31
Crosses,0.12,53
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,48.54,76
Low Passes,4.00,42
High Passes,6.29,11
,,
Passes Attempted (Left),51.36,95
Passes Attempted (Right),4.23,2
Passes Attempted (Head),1.91,15
Throw-Ins taken,0.12,27
Passes Attempted (Other),0.29,86
,,
Passes Completed,52.77,72
Passes Offside,0.18,23
Passes Out of Bounds,0.85,46
Passes Intercepted,0.73,69
Passes Blocked,0.38,71
Shot-Creating Actions,0.65,63
,,
SCA (PassLive),0.59,74
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.03,39
SCA (Fld),0.00,36
SCA (Def),0.03,63
,,
Goal-Creating Actions,0.03,28
,,
GCA (PassLive),0.03,38
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.67,52
Tackles Won,1.09,60
Tackles (Def 3rd),1.15,61
Tackles (Mid 3rd),0.41,36
Tackles (Att 3rd),0.12,75
,,
Dribblers Tackled,0.68,61
Dribbles Contested,1.03,40
% of dribblers tackled,65.7%,91
Dribbled Past,0.35,78
,,
Pressures,6.52,18
Successful Pressures,2.53,22
Successful Pressure %,38.7%,77
Pressures (Def 3rd),3.85,22
Pressures (Mid 3rd),2.26,14
Pressures (Att 3rd),0.41,44
,,
Blocks,1.44,24
Shots Blocked,0.82,60
Shots Saved,0.00,32
Passes Blocked,0.62,14
,,
Interceptions,1.15,3
Tkl+Int,2.82,20
Clearances,3.44,25
Errors,0.09,9
Touches,67.58,66
Touches (Def Pen),10.87,83
Touches (Def 3rd),35.11,60
Touches (Mid 3rd),34.50,74
Touches (Att 3rd),3.14,63
Touches (Att Pen),1.23,85
Touches (Live-Ball),66.05,70
,,
Dribbles Completed,0.09,23
Dribbles Attempted,0.09,12
Successful Dribble %,100.0%,94
Players Dribbled Past,0.09,20
Nutmegs,0.00,37
,,
Carries,47.31,78
Total Carrying Distance,289.30,87
Progressive Carrying Distance,162.11,86
Progressive Carries,4.23,88
Carries into Final Third,0.71,77
Carries into Penalty Area,0.00,31
Miscontrols,0.24,49
Dispossessed,0.09,85
,,
Pass Targets,51.27,77
Passes Received,50.10,77
Passes Received %,97.7%,40
Progressive Passes Rec,0.24,66
Yellow Cards,0.24,36
Red Cards,0.03,24
Second Yellow Card,0.03,13
Fouls Committed,0.71,78
Fouls Drawn,1.26,95
Offsides,0.03,54
Crosses,0.12,53
,,
Interceptions,1.15,3
Tackles Won,1.09,60
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,7.35,14
,,
Aerials won,2.00,23
Aerials lost,1.12,79
% of Aerials Won,64.2%,52
