--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,33
Assists,0.08,55
Non-Penalty Goals,0.04,34
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.39,15
Red Cards,0.04,13
,,
xG,0.05,30
npxG,0.05,32
xA,0.09,62
npxG+xA,0.14,47
Goals,0.04,33
Shots Total,1.04,52
Shots on target,0.19,32
Shots on target %,18.5%,21
Goals/Shot,0.04,34
Goals/Shot on target,0.20,42
Average Shot Distance,22.80,26
Shots from free kicks,0.04,70
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.05,30
npxG,0.05,32
npxG/Sh,0.05,25
Goals - xG,-0.01,48
Non-Penalty Goals - npxG,-0.01,48
Passes Completed,52.06,80
Passes Attempted,59.87,76
Pass Completion %,87.0%,79
Total Passing Distance,969.35,75
Progressive Passing Distance,258.86,79
,,
Passes Completed (Short),22.12,81
Passes Attempted (Short),24.48,81
Pass Completion % (Short),90.4%,71
,,
Passes Completed (Medium),22.39,78
Passes Attempted (Medium),24.79,79
Pass Completion % (Medium),90.3%,75
,,
Passes Completed (Long),6.54,68
Passes Attempted (Long),8.39,56
Pass Completion % (Long),77.9%,82
Assists,0.08,55
xA,0.09,62
Key Passes,1.35,82
Passes into Final Third,6.19,90
Passes into Penalty Area,1.74,96
Crosses into Penalty Area,0.19,81
Progressive Passes,5.61,87
Passes Attempted,59.87,76
,,
Live-ball passes,57.67,78
Dead-ball passes,2.20,60
Passes from Free Kicks,1.39,59
Through Balls,0.12,63
Passes Under Pressure,7.46,36
Switches,2.01,69
Crosses,0.70,60
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,44.83,76
Low Passes,7.74,95
High Passes,7.31,47
,,
Passes Attempted (Left),47.03,97
Passes Attempted (Right),7.85,11
Passes Attempted (Head),2.75,82
Throw-Ins taken,0.70,93
Passes Attempted (Other),0.43,87
,,
Passes Completed,52.06,80
Passes Offside,0.04,93
Passes Out of Bounds,0.35,96
Passes Intercepted,1.74,27
Passes Blocked,1.08,37
Shot-Creating Actions,3.06,87
,,
SCA (PassLive),2.78,95
SCA (PassDead),0.08,64
SCA (Drib),0.08,66
SCA (Sh),0.04,28
SCA (Fld),0.00,11
SCA (Def),0.08,62
,,
Goal-Creating Actions,0.12,28
,,
GCA (PassLive),0.12,43
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.51,12
Tackles Won,0.93,14
Tackles (Def 3rd),0.73,29
Tackles (Mid 3rd),0.54,6
Tackles (Att 3rd),0.23,42
,,
Dribblers Tackled,0.50,17
Dribbles Contested,1.39,13
% of dribblers tackled,36.1%,44
Dribbled Past,0.89,83
,,
Pressures,11.60,2
Successful Pressures,3.25,1
Successful Pressure %,28.0%,29
Pressures (Def 3rd),3.91,9
Pressures (Mid 3rd),4.68,1
Pressures (Att 3rd),3.02,54
,,
Blocks,1.39,34
Shots Blocked,0.31,56
Shots Saved,0.00,45
Passes Blocked,1.08,31
,,
Interceptions,1.20,17
Tkl+Int,2.71,11
Clearances,1.08,39
Errors,0.00,67
Touches,68.34,72
Touches (Def Pen),2.75,62
Touches (Def 3rd),13.34,39
Touches (Mid 3rd),39.45,65
Touches (Att 3rd),19.34,83
Touches (Att Pen),1.74,75
Touches (Live-Ball),66.25,73
,,
Dribbles Completed,0.70,51
Dribbles Attempted,0.97,40
Successful Dribble %,72.0%,86
Players Dribbled Past,0.70,45
Nutmegs,0.12,82
,,
Carries,46.37,72
Total Carrying Distance,215.97,67
Progressive Carrying Distance,108.53,66
Progressive Carries,4.29,62
Carries into Final Third,1.51,72
Carries into Penalty Area,0.15,59
Miscontrols,0.66,73
Dispossessed,0.93,56
,,
Pass Targets,52.95,73
Passes Received,50.16,76
Passes Received %,94.7%,79
Progressive Passes Rec,2.28,67
Yellow Cards,0.39,15
Red Cards,0.04,13
Second Yellow Card,0.00,58
Fouls Committed,1.35,70
Fouls Drawn,0.89,18
Offsides,0.08,23
Crosses,0.70,60
,,
Interceptions,1.20,17
Tackles Won,0.93,14
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.04,11
Own Goals,0.00,53
Ball Recoveries,9.59,45
,,
Aerials won,1.39,60
Aerials lost,1.12,52
% of Aerials Won,55.4%,70
