--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.37,46
Assists,0.15,68
Non-Penalty Goals,0.22,20
Penalty Kicks Made,0.15,91
Penalty Kicks Attempted,0.15,85
Yellow Cards,0.25,20
Red Cards,0.00,55
,,
xG,0.37,47
npxG,0.25,18
xA,0.18,79
npxG+xA,0.43,46
Goals,0.37,46
Shots Total,2.57,54
Shots on target,0.74,23
Shots on target %,28.9%,11
Goals/Shot,0.08,14
Goals/Shot on target,0.29,26
Average Shot Distance,15.10,39
Shots from free kicks,0.00,30
Penalty Kicks Made,0.15,91
Penalty Kicks Attempted,0.15,85
,,
xG,0.37,47
npxG,0.25,18
npxG/Sh,0.10,14
Goals - xG,0.00,51
Non-Penalty Goals - npxG,-0.04,36
Passes Completed,14.17,29
Passes Attempted,24.10,57
Pass Completion %,58.8%,3
Total Passing Distance,207.13,28
Progressive Passing Distance,71.75,81
,,
Passes Completed (Short),8.45,38
Passes Attempted (Short),12.22,52
Pass Completion % (Short),69.1%,7
,,
Passes Completed (Medium),3.96,23
Passes Attempted (Medium),7.24,56
Pass Completion % (Medium),54.7%,5
,,
Passes Completed (Long),1.05,49
Passes Attempted (Long),2.29,62
Pass Completion % (Long),45.9%,13
Assists,0.15,68
xA,0.18,79
Key Passes,1.24,73
Passes into Final Third,1.79,84
Passes into Penalty Area,0.87,66
Crosses into Penalty Area,0.06,36
Progressive Passes,2.38,84
Passes Attempted,24.10,57
,,
Live-ball passes,23.27,61
Dead-ball passes,0.84,20
Passes from Free Kicks,0.15,82
Through Balls,0.40,99
Passes Under Pressure,6.93,59
Switches,0.25,27
Crosses,0.90,63
Corner Kicks,0.06,80
,,
Inswinging Corner Kicks,0.03,80
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,11.91,24
Low Passes,6.50,89
High Passes,5.69,82
,,
Passes Attempted (Left),2.85,48
Passes Attempted (Right),14.88,57
Passes Attempted (Head),1.70,74
Throw-Ins taken,0.28,84
Passes Attempted (Other),1.02,94
,,
Passes Completed,14.17,29
Passes Offside,0.19,17
Passes Out of Bounds,0.62,24
Passes Intercepted,1.52,17
Passes Blocked,1.45,14
Shot-Creating Actions,2.48,65
,,
SCA (PassLive),1.64,54
SCA (PassDead),0.03,76
SCA (Drib),0.12,41
SCA (Sh),0.28,77
SCA (Fld),0.34,83
SCA (Def),0.06,58
,,
Goal-Creating Actions,0.31,51
,,
GCA (PassLive),0.19,51
GCA (PassDead),0.00,46
GCA (Drib),0.03,56
GCA (Sh),0.00,18
GCA (Fld),0.09,90
GCA (Def),0.00,40
Tackles,0.96,72
Tackles Won,0.62,73
Tackles (Def 3rd),0.15,58
Tackles (Mid 3rd),0.50,76
Tackles (Att 3rd),0.31,73
,,
Dribblers Tackled,0.19,62
Dribbles Contested,0.80,70
% of dribblers tackled,23.1%,43
Dribbled Past,0.62,25
,,
Pressures,14.14,39
Successful Pressures,3.47,31
Successful Pressure %,24.5%,26
Pressures (Def 3rd),1.64,70
Pressures (Mid 3rd),5.94,46
Pressures (Att 3rd),6.56,38
,,
Blocks,0.96,68
Shots Blocked,0.09,39
Shots Saved,0.03,98
Passes Blocked,0.87,73
,,
Interceptions,0.65,86
Tkl+Int,1.61,81
Clearances,1.33,95
Errors,0.03,4
Touches,38.64,62
Touches (Def Pen),1.67,98
Touches (Def 3rd),4.86,95
Touches (Mid 3rd),18.16,64
Touches (Att 3rd),17.29,43
Touches (Att Pen),5.23,51
Touches (Live-Ball),37.84,68
,,
Dribbles Completed,0.68,36
Dribbles Attempted,1.52,41
Successful Dribble %,44.9%,34
Players Dribbled Past,0.74,35
Nutmegs,0.15,77
,,
Carries,19.77,37
Total Carrying Distance,73.14,25
Progressive Carrying Distance,36.14,27
Progressive Carries,1.67,15
Carries into Final Third,0.53,16
Carries into Penalty Area,0.31,16
Miscontrols,3.06,32
Dispossessed,1.58,60
,,
Pass Targets,51.76,84
Passes Received,28.06,62
Passes Received %,54.2%,26
Progressive Passes Rec,6.34,34
Yellow Cards,0.25,20
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.89,22
Fouls Drawn,2.60,90
Offsides,0.77,30
Crosses,0.90,63
,,
Interceptions,0.65,86
Tackles Won,0.62,73
Penalty Kicks Won,0.09,92
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.49,68
,,
Aerials won,4.64,88
Aerials lost,4.33,29
% of Aerials Won,51.7%,88
