--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.36,10
Red Cards,0.00,64
,,
xG,0.05,52
npxG,0.05,52
xA,0.00,5
npxG+xA,0.05,32
Goals,0.00,16
Shots Total,0.36,32
Shots on target,0.12,45
Shots on target %,33.3%,71
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,5.40,99
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.05,52
npxG,0.05,52
npxG/Sh,0.13,80
Goals - xG,-0.05,6
Non-Penalty Goals - npxG,-0.05,6
Passes Completed,51.79,70
Passes Attempted,57.02,64
Pass Completion %,90.8%,89
Total Passing Distance,1174.64,77
Progressive Passing Distance,335.12,62
,,
Passes Completed (Short),12.74,55
Passes Attempted (Short),13.45,50
Pass Completion % (Short),94.7%,92
,,
Passes Completed (Medium),29.40,78
Passes Attempted (Medium),30.95,76
Pass Completion % (Medium),95.0%,88
,,
Passes Completed (Long),9.17,68
Passes Attempted (Long),11.55,48
Pass Completion % (Long),79.4%,87
Assists,0.00,31
xA,0.00,5
Key Passes,0.12,35
Passes into Final Third,2.02,27
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,2.26,38
Passes Attempted,57.02,64
,,
Live-ball passes,55.48,69
Dead-ball passes,1.55,21
Passes from Free Kicks,1.55,50
Through Balls,0.00,27
Passes Under Pressure,5.95,65
Switches,2.62,90
Crosses,0.12,53
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,46.31,70
Low Passes,3.21,13
High Passes,7.50,26
,,
Passes Attempted (Left),15.12,69
Passes Attempted (Right),39.17,65
Passes Attempted (Head),1.67,7
Throw-Ins taken,0.00,1
Passes Attempted (Other),0.00,1
,,
Passes Completed,51.79,70
Passes Offside,0.00,97
Passes Out of Bounds,0.71,62
Passes Intercepted,1.19,26
Passes Blocked,0.83,15
Shot-Creating Actions,0.48,41
,,
SCA (PassLive),0.48,57
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.26,85
Tackles Won,1.55,94
Tackles (Def 3rd),1.67,92
Tackles (Mid 3rd),0.48,49
Tackles (Att 3rd),0.12,75
,,
Dribblers Tackled,0.83,76
Dribbles Contested,2.74,99
% of dribblers tackled,30.4%,1
Dribbled Past,1.90,1
,,
Pressures,8.57,43
Successful Pressures,2.86,35
Successful Pressure %,33.3%,24
Pressures (Def 3rd),5.95,71
Pressures (Mid 3rd),2.62,22
Pressures (Att 3rd),0.00,1
,,
Blocks,1.90,69
Shots Blocked,1.31,95
Shots Saved,0.00,32
Passes Blocked,0.60,11
,,
Interceptions,1.90,41
Tkl+Int,4.17,68
Clearances,6.19,96
Errors,0.12,5
Touches,68.81,69
Touches (Def Pen),13.57,98
Touches (Def 3rd),38.69,81
Touches (Mid 3rd),30.95,59
Touches (Att 3rd),1.55,16
Touches (Att Pen),0.71,38
Touches (Live-Ball),67.38,72
,,
Dribbles Completed,0.48,91
Dribbles Attempted,0.60,86
Successful Dribble %,80.0%,75
Players Dribbled Past,0.48,89
Nutmegs,0.00,37
,,
Carries,45.00,72
Total Carrying Distance,222.86,61
Progressive Carrying Distance,106.31,52
Progressive Carries,2.74,65
Carries into Final Third,0.36,49
Carries into Penalty Area,0.00,31
Miscontrols,0.12,86
Dispossessed,0.00,98
,,
Pass Targets,48.21,72
Passes Received,46.79,70
Passes Received %,97.0%,23
Progressive Passes Rec,0.00,3
Yellow Cards,0.36,10
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.95,58
Fouls Drawn,0.12,2
Offsides,0.00,79
Crosses,0.12,53
,,
Interceptions,1.90,41
Tackles Won,1.55,94
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.12,2
Own Goals,0.00,60
Ball Recoveries,7.98,22
,,
Aerials won,3.10,68
Aerials lost,1.43,57
% of Aerials Won,68.4%,76
