--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,47
Assists,0.03,25
Non-Penalty Goals,0.06,50
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.12,84
Red Cards,0.00,61
,,
xG,0.03,14
npxG,0.03,15
xA,0.07,50
npxG+xA,0.11,31
Goals,0.06,47
Shots Total,0.61,18
Shots on target,0.21,35
Shots on target %,35.0%,80
Goals/Shot,0.10,72
Goals/Shot on target,0.29,60
Average Shot Distance,23.70,19
Shots from free kicks,0.12,87
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.03,14
npxG,0.03,15
npxG/Sh,0.05,25
Goals - xG,+0.03,76
Non-Penalty Goals - npxG,+0.03,76
Passes Completed,50.64,76
Passes Attempted,60.09,77
Pass Completion %,84.3%,62
Total Passing Distance,1050.82,84
Progressive Passing Distance,223.64,62
,,
Passes Completed (Short),17.21,52
Passes Attempted (Short),19.45,49
Pass Completion % (Short),88.5%,52
,,
Passes Completed (Medium),23.15,81
Passes Attempted (Medium),25.67,81
Pass Completion % (Medium),90.2%,74
,,
Passes Completed (Long),9.45,90
Passes Attempted (Long),13.21,88
Pass Completion % (Long),71.6%,59
Assists,0.03,25
xA,0.07,50
Key Passes,1.15,71
Passes into Final Third,4.48,65
Passes into Penalty Area,0.61,42
Crosses into Penalty Area,0.09,49
Progressive Passes,4.18,58
Passes Attempted,60.09,77
,,
Live-ball passes,54.76,71
Dead-ball passes,5.33,88
Passes from Free Kicks,2.67,88
Through Balls,0.09,56
Passes Under Pressure,10.21,85
Switches,3.21,89
Crosses,0.97,75
Corner Kicks,2.27,88
,,
Inswinging Corner Kicks,0.39,79
Outswinging Corner Kicks,1.27,95
Straight Corner Kicks,0.12,91
,,
Ground passes,40.70,66
Low Passes,7.33,92
High Passes,12.06,88
,,
Passes Attempted (Left),4.09,21
Passes Attempted (Right),52.42,85
Passes Attempted (Head),2.76,82
Throw-Ins taken,0.18,57
Passes Attempted (Other),0.18,34
,,
Passes Completed,50.64,76
Passes Offside,0.09,76
Passes Out of Bounds,0.64,59
Passes Intercepted,1.30,64
Passes Blocked,1.03,42
Shot-Creating Actions,2.06,55
,,
SCA (PassLive),1.33,40
SCA (PassDead),0.55,84
SCA (Drib),0.03,35
SCA (Sh),0.06,44
SCA (Fld),0.00,11
SCA (Def),0.09,71
,,
Goal-Creating Actions,0.12,30
,,
GCA (PassLive),0.09,32
GCA (PassDead),0.03,81
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.30,54
Tackles Won,1.64,65
Tackles (Def 3rd),1.12,68
Tackles (Mid 3rd),0.88,31
Tackles (Att 3rd),0.30,62
,,
Dribblers Tackled,0.82,63
Dribbles Contested,2.97,90
% of dribblers tackled,27.6%,11
Dribbled Past,2.15,6
,,
Pressures,18.42,50
Successful Pressures,5.64,52
Successful Pressure %,30.6%,52
Pressures (Def 3rd),7.03,72
Pressures (Mid 3rd),9.64,54
Pressures (Att 3rd),1.76,13
,,
Blocks,1.58,51
Shots Blocked,0.24,41
Shots Saved,0.00,45
Passes Blocked,1.33,59
,,
Interceptions,1.45,31
Tkl+Int,3.76,41
Clearances,1.06,38
Errors,0.00,67
Touches,68.45,72
Touches (Def Pen),2.24,41
Touches (Def 3rd),16.67,68
Touches (Mid 3rd),39.58,67
Touches (Att 3rd),15.55,69
Touches (Att Pen),0.33,5
Touches (Live-Ball),63.15,65
,,
Dribbles Completed,0.52,29
Dribbles Attempted,0.76,26
Successful Dribble %,68.0%,76
Players Dribbled Past,0.64,39
Nutmegs,0.00,17
,,
Carries,43.82,66
Total Carrying Distance,192.64,53
Progressive Carrying Distance,98.36,56
Progressive Carries,4.30,63
Carries into Final Third,1.09,50
Carries into Penalty Area,0.09,40
Miscontrols,0.64,75
Dispossessed,0.82,68
,,
Pass Targets,47.76,64
Passes Received,44.79,65
Passes Received %,93.8%,69
Progressive Passes Rec,1.36,35
Yellow Cards,0.12,84
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.48,62
Fouls Drawn,0.70,9
Offsides,0.00,77
Crosses,0.97,75
,,
Interceptions,1.45,31
Tackles Won,1.64,65
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.03,19
Own Goals,0.00,53
Ball Recoveries,10.79,75
,,
Aerials won,0.55,14
Aerials lost,0.82,79
% of Aerials Won,40.0%,19
