--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.40,54
Assists,0.11,46
Non-Penalty Goals,0.40,69
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.15,46
Red Cards,0.00,55
,,
xG,0.44,67
npxG,0.44,81
xA,0.10,44
npxG+xA,0.54,72
Goals,0.40,54
Shots Total,2.97,74
Shots on target,1.23,79
Shots on target %,41.5%,68
Goals/Shot,0.13,44
Goals/Shot on target,0.32,36
Average Shot Distance,12.60,79
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.44,67
npxG,0.44,81
npxG/Sh,0.15,69
Goals - xG,-0.04,31
Non-Penalty Goals - npxG,-0.04,32
Passes Completed,27.69,93
Passes Attempted,33.75,90
Pass Completion %,82.1%,97
Total Passing Distance,375.48,89
Progressive Passing Distance,63.98,78
,,
Passes Completed (Short),17.58,97
Passes Attempted (Short),19.90,96
Pass Completion % (Short),88.3%,97
,,
Passes Completed (Medium),7.03,84
Passes Attempted (Medium),8.88,79
Pass Completion % (Medium),79.2%,81
,,
Passes Completed (Long),1.38,64
Passes Attempted (Long),1.78,47
Pass Completion % (Long),77.6%,95
Assists,0.11,46
xA,0.10,44
Key Passes,1.01,53
Passes into Final Third,1.20,63
Passes into Penalty Area,0.94,74
Crosses into Penalty Area,0.07,42
Progressive Passes,2.28,80
Passes Attempted,33.75,90
,,
Live-ball passes,32.22,92
Dead-ball passes,1.52,52
Passes from Free Kicks,0.00,20
Through Balls,0.04,31
Passes Under Pressure,8.55,86
Switches,0.36,44
Crosses,0.94,67
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,27.08,95
Low Passes,4.02,38
High Passes,2.65,26
,,
Passes Attempted (Left),23.92,95
Passes Attempted (Right),7.14,19
Passes Attempted (Head),0.76,21
Throw-Ins taken,0.18,67
Passes Attempted (Other),0.40,39
,,
Passes Completed,27.69,93
Passes Offside,0.22,12
Passes Out of Bounds,0.25,78
Passes Intercepted,1.41,29
Passes Blocked,1.16,38
Shot-Creating Actions,2.83,81
,,
SCA (PassLive),1.99,80
SCA (PassDead),0.00,36
SCA (Drib),0.15,47
SCA (Sh),0.33,89
SCA (Fld),0.29,78
SCA (Def),0.07,65
,,
Goal-Creating Actions,0.33,54
,,
GCA (PassLive),0.18,49
GCA (PassDead),0.00,46
GCA (Drib),0.04,62
GCA (Sh),0.07,81
GCA (Fld),0.04,57
GCA (Def),0.00,40
Tackles,1.05,78
Tackles Won,0.72,81
Tackles (Def 3rd),0.18,65
Tackles (Mid 3rd),0.58,84
Tackles (Att 3rd),0.29,68
,,
Dribblers Tackled,0.22,71
Dribbles Contested,0.87,78
% of dribblers tackled,25.0%,47
Dribbled Past,0.65,22
,,
Pressures,18.59,86
Successful Pressures,5.04,81
Successful Pressure %,27.1%,49
Pressures (Def 3rd),1.67,72
Pressures (Mid 3rd),6.89,64
Pressures (Att 3rd),10.04,92
,,
Blocks,1.59,97
Shots Blocked,0.04,10
Shots Saved,0.00,48
Passes Blocked,1.56,99
,,
Interceptions,0.47,65
Tkl+Int,1.52,78
Clearances,1.41,97
Errors,0.00,53
Touches,49.08,94
Touches (Def Pen),1.56,96
Touches (Def 3rd),4.17,86
Touches (Mid 3rd),19.65,75
Touches (Att 3rd),27.76,92
Touches (Att Pen),7.50,95
Touches (Live-Ball),47.56,95
,,
Dribbles Completed,1.05,64
Dribbles Attempted,2.07,62
Successful Dribble %,50.9%,61
Players Dribbled Past,1.16,65
Nutmegs,0.15,76
,,
Carries,33.67,91
Total Carrying Distance,169.45,90
Progressive Carrying Distance,86.77,85
Progressive Carries,5.40,90
Carries into Final Third,1.20,70
Carries into Penalty Area,1.56,93
Miscontrols,3.15,27
Dispossessed,2.39,18
,,
Pass Targets,55.42,95
Passes Received,38.28,94
Passes Received %,69.1%,86
Progressive Passes Rec,10.55,95
Yellow Cards,0.15,46
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.03,17
Fouls Drawn,1.45,43
Offsides,0.51,61
Crosses,0.94,67
,,
Interceptions,0.47,65
Tackles Won,0.72,81
Penalty Kicks Won,0.04,61
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.99,47
,,
Aerials won,2.17,56
Aerials lost,2.90,57
% of Aerials Won,42.9%,65
