--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.08,58
Assists,0.12,71
Non-Penalty Goals,0.08,60
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.16,71
Red Cards,0.00,61
,,
xG,0.07,49
npxG,0.07,52
xA,0.13,81
npxG+xA,0.20,72
Goals,0.08,58
Shots Total,1.14,59
Shots on target,0.16,24
Shots on target %,13.8%,10
Goals/Shot,0.07,54
Goals/Shot on target,0.50,86
Average Shot Distance,20.50,46
Shots from free kicks,0.08,81
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.07,49
npxG,0.07,52
npxG/Sh,0.06,39
Goals - xG,+0.01,63
Non-Penalty Goals - npxG,+0.01,64
Passes Completed,41.39,52
Passes Attempted,53.66,62
Pass Completion %,77.1%,16
Total Passing Distance,700.09,37
Progressive Passing Distance,175.65,34
,,
Passes Completed (Short),20.38,72
Passes Attempted (Short),23.44,75
Pass Completion % (Short),87.0%,36
,,
Passes Completed (Medium),16.39,45
Passes Attempted (Medium),20.42,56
Pass Completion % (Medium),80.2%,10
,,
Passes Completed (Long),3.72,22
Passes Attempted (Long),7.45,41
Pass Completion % (Long),50.0%,4
Assists,0.12,71
xA,0.13,81
Key Passes,1.41,84
Passes into Final Third,4.27,59
Passes into Penalty Area,1.10,79
Crosses into Penalty Area,0.16,72
Progressive Passes,4.23,60
Passes Attempted,53.66,62
,,
Live-ball passes,51.55,65
Dead-ball passes,2.12,57
Passes from Free Kicks,0.59,19
Through Balls,0.00,11
Passes Under Pressure,10.35,86
Switches,1.69,60
Crosses,2.16,98
Corner Kicks,1.14,80
,,
Inswinging Corner Kicks,0.90,88
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.04,79
,,
Ground passes,41.00,67
Low Passes,5.53,59
High Passes,7.13,40
,,
Passes Attempted (Left),45.20,96
Passes Attempted (Right),5.37,5
Passes Attempted (Head),1.76,44
Throw-Ins taken,0.35,77
Passes Attempted (Other),0.12,13
,,
Passes Completed,41.39,52
Passes Offside,0.24,25
Passes Out of Bounds,1.18,8
Passes Intercepted,2.16,9
Passes Blocked,1.72,5
Shot-Creating Actions,2.82,80
,,
SCA (PassLive),2.04,82
SCA (PassDead),0.16,71
SCA (Drib),0.16,86
SCA (Sh),0.20,90
SCA (Fld),0.20,90
SCA (Def),0.08,63
,,
Goal-Creating Actions,0.24,63
,,
GCA (PassLive),0.20,68
GCA (PassDead),0.04,85
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.80,27
Tackles Won,1.10,23
Tackles (Def 3rd),0.98,58
Tackles (Mid 3rd),0.59,7
Tackles (Att 3rd),0.24,43
,,
Dribblers Tackled,0.59,29
Dribbles Contested,1.57,25
% of dribblers tackled,37.5%,54
Dribbled Past,0.98,73
,,
Pressures,20.62,71
Successful Pressures,5.14,38
Successful Pressure %,24.9%,9
Pressures (Def 3rd),6.59,63
Pressures (Mid 3rd),8.19,27
Pressures (Att 3rd),5.84,96
,,
Blocks,1.88,76
Shots Blocked,0.31,58
Shots Saved,0.00,45
Passes Blocked,1.57,77
,,
Interceptions,1.10,11
Tkl+Int,2.90,16
Clearances,1.14,43
Errors,0.04,20
Touches,66.05,66
Touches (Def Pen),1.92,28
Touches (Def 3rd),13.41,40
Touches (Mid 3rd),35.36,46
Touches (Att 3rd),22.77,91
Touches (Att Pen),1.80,76
Touches (Live-Ball),64.05,68
,,
Dribbles Completed,1.14,79
Dribbles Attempted,2.00,85
Successful Dribble %,56.9%,32
Players Dribbled Past,1.25,82
Nutmegs,0.04,48
,,
Carries,46.25,72
Total Carrying Distance,283.80,90
Progressive Carrying Distance,160.36,94
Progressive Carries,6.35,88
Carries into Final Third,2.43,94
Carries into Penalty Area,0.27,75
Miscontrols,1.61,10
Dispossessed,2.04,3
,,
Pass Targets,54.45,76
Passes Received,47.67,70
Passes Received %,87.5%,20
Progressive Passes Rec,4.08,91
Yellow Cards,0.16,71
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.18,82
Fouls Drawn,1.65,64
Offsides,0.00,77
Crosses,2.16,98
,,
Interceptions,1.10,11
Tackles Won,1.10,23
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.13,38
,,
Aerials won,1.14,49
Aerials lost,1.06,57
% of Aerials Won,51.8%,61
