--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.04,32
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.17,55
Red Cards,0.00,60
,,
xG,0.01,12
npxG,0.01,13
xA,0.07,39
npxG+xA,0.08,21
Goals,0.00,20
Shots Total,0.29,14
Shots on target,0.00,2
Shots on target %,0.0%,2
Goals/Shot,0.00,20
Average Shot Distance,20.00,49
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.01,12
npxG,0.01,13
npxG/Sh,0.04,20
Goals - xG,-0.01,39
Non-Penalty Goals - npxG,-0.01,39
Passes Completed,46.22,67
Passes Attempted,57.74,68
Pass Completion %,80.1%,68
Total Passing Distance,735.24,56
Progressive Passing Distance,262.50,39
,,
Passes Completed (Short),23.40,78
Passes Attempted (Short),26.13,79
Pass Completion % (Short),89.5%,65
,,
Passes Completed (Medium),19.59,72
Passes Attempted (Medium),23.11,69
Pass Completion % (Medium),84.8%,74
,,
Passes Completed (Long),2.44,6
Passes Attempted (Long),5.72,15
Pass Completion % (Long),42.8%,14
Assists,0.04,32
xA,0.07,39
Key Passes,0.58,16
Passes into Final Third,3.02,67
Passes into Penalty Area,0.66,14
Crosses into Penalty Area,0.08,2
Progressive Passes,3.52,46
Passes Attempted,57.74,68
,,
Live-ball passes,47.13,66
Dead-ball passes,10.60,69
Passes from Free Kicks,0.83,44
Through Balls,0.17,96
Passes Under Pressure,7.70,86
Switches,0.37,4
Crosses,1.12,9
Corner Kicks,0.08,60
,,
Inswinging Corner Kicks,0.04,68
Outswinging Corner Kicks,0.04,66
Straight Corner Kicks,0.00,42
,,
Ground passes,35.87,71
Low Passes,12.55,79
High Passes,9.32,31
,,
Passes Attempted (Left),40.01,84
Passes Attempted (Right),3.77,15
Passes Attempted (Head),3.02,92
Throw-Ins taken,9.69,76
Passes Attempted (Other),0.12,46
,,
Passes Completed,46.22,67
Passes Offside,0.04,94
Passes Out of Bounds,0.83,55
Passes Intercepted,1.82,51
Passes Blocked,1.95,31
Shot-Creating Actions,1.20,16
,,
SCA (PassLive),0.83,9
SCA (PassDead),0.21,72
SCA (Drib),0.00,15
SCA (Sh),0.04,45
SCA (Fld),0.04,35
SCA (Def),0.08,84
,,
Goal-Creating Actions,0.17,46
,,
GCA (PassLive),0.12,45
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.04,96
Tackles,2.36,64
Tackles Won,1.33,64
Tackles (Def 3rd),1.49,74
Tackles (Mid 3rd),0.58,34
Tackles (Att 3rd),0.29,64
,,
Dribblers Tackled,1.08,68
Dribbles Contested,2.49,85
% of dribblers tackled,43.3%,33
Dribbled Past,1.41,11
,,
Pressures,17.77,91
Successful Pressures,5.01,81
Successful Pressure %,28.2%,25
Pressures (Def 3rd),8.95,94
Pressures (Mid 3rd),6.46,84
Pressures (Att 3rd),2.36,54
,,
Blocks,2.49,90
Shots Blocked,0.66,97
Shots Saved,0.04,90
Passes Blocked,1.82,71
,,
Interceptions,1.86,55
Tkl+Int,4.22,61
Clearances,2.07,56
Errors,0.04,22
Touches,69.95,73
Touches (Def Pen),3.81,64
Touches (Def 3rd),22.37,76
Touches (Mid 3rd),34.83,80
Touches (Att 3rd),16.61,36
Touches (Att Pen),1.12,36
Touches (Live-Ball),59.60,70
,,
Dribbles Completed,0.66,44
Dribbles Attempted,1.28,45
Successful Dribble %,51.6%,50
Players Dribbled Past,0.83,51
Nutmegs,0.00,9
,,
Carries,39.55,61
Total Carrying Distance,159.83,28
Progressive Carrying Distance,84.12,23
Progressive Carries,3.02,14
Carries into Final Third,1.37,39
Carries into Penalty Area,0.21,39
Miscontrols,1.20,23
Dispossessed,0.95,33
,,
Pass Targets,43.12,60
Passes Received,40.42,66
Passes Received %,93.8%,85
Progressive Passes Rec,1.62,30
Yellow Cards,0.17,55
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.99,63
Fouls Drawn,0.99,44
Offsides,0.00,89
Crosses,1.12,9
,,
Interceptions,1.86,55
Tackles Won,1.33,64
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,8.82,74
,,
Aerials won,1.37,66
Aerials lost,1.95,5
% of Aerials Won,41.3%,24
