--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.03,45
Assists,0.03,22
Non-Penalty Goals,0.03,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.09,84
Red Cards,0.00,60
,,
xG,0.03,31
npxG,0.03,31
xA,0.12,71
npxG+xA,0.14,61
Goals,0.03,45
Shots Total,0.41,26
Shots on target,0.16,48
Shots on target %,38.5%,82
Goals/Shot,0.08,64
Goals/Shot on target,0.20,49
Average Shot Distance,14.80,87
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.03,31
npxG,0.03,31
npxG/Sh,0.06,47
Goals - xG,+0.01,63
Non-Penalty Goals - npxG,+0.01,63
Passes Completed,36.58,39
Passes Attempted,49.59,41
Pass Completion %,73.8%,29
Total Passing Distance,689.72,45
Progressive Passing Distance,336.11,80
,,
Passes Completed (Short),15.52,27
Passes Attempted (Short),18.03,28
Pass Completion % (Short),86.1%,21
,,
Passes Completed (Medium),16.27,49
Passes Attempted (Medium),20.06,46
Pass Completion % (Medium),81.1%,49
,,
Passes Completed (Long),4.11,49
Passes Attempted (Long),9.31,66
Pass Completion % (Long),44.1%,20
Assists,0.03,22
xA,0.12,71
Key Passes,1.32,81
Passes into Final Third,3.57,84
Passes into Penalty Area,1.16,64
Crosses into Penalty Area,0.38,39
Progressive Passes,4.58,79
Passes Attempted,49.59,41
,,
Live-ball passes,38.09,36
Dead-ball passes,11.50,79
Passes from Free Kicks,1.47,85
Through Balls,0.00,18
Passes Under Pressure,6.21,52
Switches,1.76,81
Crosses,2.23,50
Corner Kicks,1.38,87
,,
Inswinging Corner Kicks,0.69,91
Outswinging Corner Kicks,0.38,85
Straight Corner Kicks,0.25,99
,,
Ground passes,24.67,29
Low Passes,10.31,41
High Passes,14.61,80
,,
Passes Attempted (Left),32.57,74
Passes Attempted (Right),4.26,21
Passes Attempted (Head),2.85,87
Throw-Ins taken,8.65,53
Passes Attempted (Other),0.16,60
,,
Passes Completed,36.58,39
Passes Offside,0.16,53
Passes Out of Bounds,0.50,89
Passes Intercepted,1.85,48
Passes Blocked,1.82,46
Shot-Creating Actions,1.91,62
,,
SCA (PassLive),1.16,35
SCA (PassDead),0.60,88
SCA (Drib),0.00,15
SCA (Sh),0.03,34
SCA (Fld),0.13,85
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.06,15
,,
GCA (PassLive),0.03,7
GCA (PassDead),0.03,76
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.23,54
Tackles Won,1.19,50
Tackles (Def 3rd),1.60,81
Tackles (Mid 3rd),0.56,32
Tackles (Att 3rd),0.06,4
,,
Dribblers Tackled,1.03,63
Dribbles Contested,2.19,75
% of dribblers tackled,47.1%,46
Dribbled Past,1.16,26
,,
Pressures,11.47,33
Successful Pressures,3.13,19
Successful Pressure %,27.3%,19
Pressures (Def 3rd),6.46,71
Pressures (Mid 3rd),3.35,9
Pressures (Att 3rd),1.66,21
,,
Blocks,1.94,57
Shots Blocked,0.44,83
Shots Saved,0.03,84
Passes Blocked,1.50,47
,,
Interceptions,2.19,74
Tkl+Int,4.42,68
Clearances,2.13,59
Errors,0.03,33
Touches,59.66,34
Touches (Def Pen),3.82,65
Touches (Def 3rd),18.78,42
Touches (Mid 3rd),26.02,27
Touches (Att 3rd),16.99,40
Touches (Att Pen),0.94,26
Touches (Live-Ball),48.31,29
,,
Dribbles Completed,0.31,9
Dribbles Attempted,0.66,8
Successful Dribble %,47.6%,33
Players Dribbled Past,0.31,8
Nutmegs,0.09,62
,,
Carries,29.37,18
Total Carrying Distance,105.45,3
Progressive Carrying Distance,55.45,3
Progressive Carries,1.97,1
Carries into Final Third,0.72,5
Carries into Penalty Area,0.09,14
Miscontrols,0.53,88
Dispossessed,0.41,91
,,
Pass Targets,32.51,19
Passes Received,29.69,23
Passes Received %,91.3%,58
Progressive Passes Rec,1.54,26
Yellow Cards,0.09,84
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.94,70
Fouls Drawn,0.82,35
Offsides,0.03,76
Crosses,2.23,50
,,
Interceptions,2.19,74
Tackles Won,1.19,50
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.03,29
Own Goals,0.03,10
Ball Recoveries,8.31,59
,,
Aerials won,1.72,81
Aerials lost,1.29,37
% of Aerials Won,57.3%,75
