--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.05,67
Assists,0.10,60
Non-Penalty Goals,0.05,67
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.15,60
Red Cards,0.05,4
,,
xG,0.03,40
npxG,0.03,40
xA,0.07,38
npxG+xA,0.10,31
Goals,0.05,67
Shots Total,0.51,40
Shots on target,0.10,31
Shots on target %,20.0%,26
Goals/Shot,0.10,72
Goals/Shot on target,0.50,86
Average Shot Distance,20.50,41
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.03,40
npxG,0.03,40
npxG/Sh,0.06,47
Goals - xG,+0.02,73
Non-Penalty Goals - npxG,+0.02,73
Passes Completed,30.37,10
Passes Attempted,44.24,19
Pass Completion %,68.7%,7
Total Passing Distance,608.67,28
Progressive Passing Distance,289.30,56
,,
Passes Completed (Short),14.58,20
Passes Attempted (Short),16.51,16
Pass Completion % (Short),88.3%,44
,,
Passes Completed (Medium),9.95,1
Passes Attempted (Medium),13.61,2
Pass Completion % (Medium),73.1%,6
,,
Passes Completed (Long),5.54,77
Passes Attempted (Long),12.29,88
Pass Completion % (Long),45.0%,23
Assists,0.10,60
xA,0.07,38
Key Passes,0.71,35
Passes into Final Third,3.10,71
Passes into Penalty Area,1.07,57
Crosses into Penalty Area,0.41,47
Progressive Passes,4.06,68
Passes Attempted,44.24,19
,,
Live-ball passes,34.23,16
Dead-ball passes,10.01,56
Passes from Free Kicks,0.86,49
Through Balls,0.10,83
Passes Under Pressure,4.62,10
Switches,1.52,75
Crosses,1.98,42
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,18.03,4
Low Passes,10.31,41
High Passes,15.90,91
,,
Passes Attempted (Left),2.84,9
Passes Attempted (Right),28.75,54
Passes Attempted (Head),2.44,76
Throw-Ins taken,9.14,63
Passes Attempted (Other),0.15,57
,,
Passes Completed,30.37,10
Passes Offside,0.25,20
Passes Out of Bounds,1.02,32
Passes Intercepted,1.42,82
Passes Blocked,1.88,39
Shot-Creating Actions,1.68,47
,,
SCA (PassLive),1.27,46
SCA (PassDead),0.20,71
SCA (Drib),0.00,15
SCA (Sh),0.05,57
SCA (Fld),0.10,77
SCA (Def),0.05,67
,,
Goal-Creating Actions,0.10,25
,,
GCA (PassLive),0.05,15
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.05,94
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.29,59
Tackles Won,1.32,64
Tackles (Def 3rd),1.07,41
Tackles (Mid 3rd),0.86,77
Tackles (Att 3rd),0.36,78
,,
Dribblers Tackled,1.07,66
Dribbles Contested,2.34,82
% of dribblers tackled,45.7%,40
Dribbled Past,1.27,18
,,
Pressures,9.55,12
Successful Pressures,3.10,18
Successful Pressure %,32.4%,67
Pressures (Def 3rd),3.76,11
Pressures (Mid 3rd),3.56,13
Pressures (Att 3rd),2.23,49
,,
Blocks,2.29,79
Shots Blocked,0.66,97
Shots Saved,0.00,41
Passes Blocked,1.63,58
,,
Interceptions,1.73,42
Tkl+Int,4.01,52
Clearances,3.45,98
Errors,0.00,70
Touches,54.70,16
Touches (Def Pen),4.83,94
Touches (Def 3rd),16.66,24
Touches (Mid 3rd),25.24,22
Touches (Att 3rd),15.08,23
Touches (Att Pen),0.56,8
Touches (Live-Ball),44.90,15
,,
Dribbles Completed,0.46,22
Dribbles Attempted,0.76,14
Successful Dribble %,60.0%,77
Players Dribbled Past,0.51,21
Nutmegs,0.00,9
,,
Carries,24.79,3
Total Carrying Distance,103.46,2
Progressive Carrying Distance,61.51,7
Progressive Carries,2.95,13
Carries into Final Third,1.02,15
Carries into Penalty Area,0.20,38
Miscontrols,0.41,96
Dispossessed,0.36,95
,,
Pass Targets,27.22,3
Passes Received,24.68,4
Passes Received %,90.7%,50
Progressive Passes Rec,0.91,9
Yellow Cards,0.15,60
Red Cards,0.05,4
Second Yellow Card,0.00,55
Fouls Committed,0.91,72
Fouls Drawn,0.41,8
Offsides,0.00,89
Crosses,1.98,42
,,
Interceptions,1.73,42
Tackles Won,1.32,64
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,9.24,83
,,
Aerials won,1.57,77
Aerials lost,1.32,31
% of Aerials Won,54.4%,67
