--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.10,85
Assists,0.06,92
Non-Penalty Goals,0.10,85
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.13,75
Red Cards,0.03,20
,,
xG,0.04,40
npxG,0.04,40
xA,0.02,65
npxG+xA,0.06,43
Goals,0.10,85
Shots Total,0.64,73
Shots on target,0.19,74
Shots on target %,30.0%,61
Goals/Shot,0.15,80
Goals/Shot on target,0.50,70
Average Shot Distance,11.90,43
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.04,40
npxG,0.04,40
npxG/Sh,0.06,20
Goals - xG,+0.06,94
Non-Penalty Goals - npxG,+0.06,94
Passes Completed,28.88,7
Passes Attempted,37.20,8
Pass Completion %,77.6%,9
Total Passing Distance,679.16,10
Progressive Passing Distance,227.35,15
,,
Passes Completed (Short),8.51,19
Passes Attempted (Short),10.03,22
Pass Completion % (Short),84.9%,11
,,
Passes Completed (Medium),12.96,4
Passes Attempted (Medium),15.25,4
Pass Completion % (Medium),85.0%,7
,,
Passes Completed (Long),7.12,39
Passes Attempted (Long),11.28,45
Pass Completion % (Long),63.1%,25
Assists,0.06,92
xA,0.02,65
Key Passes,0.13,37
Passes into Final Third,2.45,44
Passes into Penalty Area,0.16,52
Crosses into Penalty Area,0.00,29
Progressive Passes,2.35,42
Passes Attempted,37.20,8
,,
Live-ball passes,36.26,12
Dead-ball passes,0.93,3
Passes from Free Kicks,0.93,9
Through Balls,0.03,61
Passes Under Pressure,5.77,61
Switches,1.45,55
Crosses,0.00,7
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,22.79,7
Low Passes,4.42,59
High Passes,9.99,64
,,
Passes Attempted (Left),6.90,41
Passes Attempted (Right),24.43,31
Passes Attempted (Head),3.35,84
Throw-Ins taken,0.00,1
Passes Attempted (Other),0.06,14
,,
Passes Completed,28.88,7
Passes Offside,0.03,89
Passes Out of Bounds,0.97,34
Passes Intercepted,0.71,70
Passes Blocked,0.35,75
Shot-Creating Actions,0.45,36
,,
SCA (PassLive),0.29,23
SCA (PassDead),0.06,92
SCA (Drib),0.00,42
SCA (Sh),0.10,84
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.03,32
,,
GCA (PassLive),0.03,43
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.58,49
Tackles Won,1.13,63
Tackles (Def 3rd),1.13,59
Tackles (Mid 3rd),0.39,33
Tackles (Att 3rd),0.06,49
,,
Dribblers Tackled,0.81,73
Dribbles Contested,1.39,70
% of dribblers tackled,58.1%,70
Dribbled Past,0.58,43
,,
Pressures,7.35,25
Successful Pressures,3.00,41
Successful Pressure %,40.8%,90
Pressures (Def 3rd),4.22,30
Pressures (Mid 3rd),2.61,22
Pressures (Att 3rd),0.52,57
,,
Blocks,1.64,45
Shots Blocked,1.03,82
Shots Saved,0.00,32
Passes Blocked,0.61,13
,,
Interceptions,2.00,45
Tkl+Int,3.58,45
Clearances,4.80,66
Errors,0.06,20
Touches,47.90,9
Touches (Def Pen),7.80,27
Touches (Def 3rd),25.82,13
Touches (Mid 3rd),22.37,18
Touches (Att 3rd),1.97,30
Touches (Att Pen),0.93,61
Touches (Live-Ball),47.03,13
,,
Dribbles Completed,0.16,42
Dribbles Attempted,0.23,39
Successful Dribble %,71.4%,56
Players Dribbled Past,0.16,40
Nutmegs,0.00,37
,,
Carries,24.14,9
Total Carrying Distance,132.84,10
Progressive Carrying Distance,59.83,10
Progressive Carries,1.55,29
Carries into Final Third,0.23,31
Carries into Penalty Area,0.00,31
Miscontrols,0.23,51
Dispossessed,0.10,84
,,
Pass Targets,26.08,8
Passes Received,25.21,8
Passes Received %,96.7%,18
Progressive Passes Rec,0.19,59
Yellow Cards,0.13,75
Red Cards,0.03,20
Second Yellow Card,0.03,9
Fouls Committed,0.55,88
Fouls Drawn,0.35,21
Offsides,0.03,48
Crosses,0.00,7
,,
Interceptions,2.00,45
Tackles Won,1.13,63
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.06,2
Ball Recoveries,10.35,74
,,
Aerials won,3.90,89
Aerials lost,2.32,8
% of Aerials Won,62.7%,46
