--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.29,27
Assists,0.24,85
Non-Penalty Goals,0.29,40
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.02,27
Yellow Cards,0.24,24
Red Cards,0.02,11
,,
xG,0.34,35
npxG,0.34,54
xA,0.22,89
npxG+xA,0.55,74
Goals,0.29,27
Shots Total,2.34,35
Shots on target,0.77,25
Shots on target %,33.0%,23
Goals/Shot,0.12,36
Goals/Shot on target,0.38,56
Average Shot Distance,14.00,57
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.02,27
,,
xG,0.34,35
npxG,0.34,54
npxG/Sh,0.14,58
Goals - xG,-0.05,27
Non-Penalty Goals - npxG,-0.05,28
Passes Completed,14.18,30
Passes Attempted,21.63,41
Pass Completion %,65.6%,19
Total Passing Distance,228.99,40
Progressive Passing Distance,44.12,45
,,
Passes Completed (Short),7.69,25
Passes Attempted (Short),10.08,22
Pass Completion % (Short),76.3%,32
,,
Passes Completed (Medium),4.44,38
Passes Attempted (Medium),6.53,39
Pass Completion % (Medium),67.9%,26
,,
Passes Completed (Long),1.37,63
Passes Attempted (Long),2.51,68
Pass Completion % (Long),54.8%,34
Assists,0.24,85
xA,0.22,89
Key Passes,1.42,86
Passes into Final Third,0.75,28
Passes into Penalty Area,1.04,84
Crosses into Penalty Area,0.48,99
Progressive Passes,1.28,33
Passes Attempted,21.63,41
,,
Live-ball passes,20.66,44
Dead-ball passes,0.96,24
Passes from Free Kicks,0.07,69
Through Balls,0.17,81
Passes Under Pressure,6.92,58
Switches,0.72,76
Crosses,1.66,87
Corner Kicks,0.02,68
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,12.18,29
Low Passes,5.11,68
High Passes,4.34,64
,,
Passes Attempted (Left),3.11,51
Passes Attempted (Right),14.83,56
Passes Attempted (Head),1.01,41
Throw-Ins taken,0.39,92
Passes Attempted (Other),0.29,22
,,
Passes Completed,14.18,30
Passes Offside,0.17,22
Passes Out of Bounds,0.60,25
Passes Intercepted,1.04,67
Passes Blocked,1.64,6
Shot-Creating Actions,3.13,85
,,
SCA (PassLive),2.10,84
SCA (PassDead),0.00,36
SCA (Drib),0.36,89
SCA (Sh),0.27,74
SCA (Fld),0.24,71
SCA (Def),0.17,95
,,
Goal-Creating Actions,0.53,88
,,
GCA (PassLive),0.29,77
GCA (PassDead),0.00,46
GCA (Drib),0.05,70
GCA (Sh),0.10,89
GCA (Fld),0.05,65
GCA (Def),0.05,93
Tackles,0.77,58
Tackles Won,0.63,74
Tackles (Def 3rd),0.17,61
Tackles (Mid 3rd),0.27,44
Tackles (Att 3rd),0.34,81
,,
Dribblers Tackled,0.17,58
Dribbles Contested,0.65,53
% of dribblers tackled,25.9%,51
Dribbled Past,0.48,49
,,
Pressures,15.26,53
Successful Pressures,4.44,68
Successful Pressure %,29.1%,74
Pressures (Def 3rd),0.92,30
Pressures (Mid 3rd),5.57,36
Pressures (Att 3rd),8.78,78
,,
Blocks,0.75,49
Shots Blocked,0.07,28
Shots Saved,0.00,48
Passes Blocked,0.68,61
,,
Interceptions,0.48,67
Tkl+Int,1.25,58
Clearances,0.43,32
Errors,0.00,53
Touches,36.50,54
Touches (Def Pen),0.60,30
Touches (Def 3rd),2.24,23
Touches (Mid 3rd),14.73,32
Touches (Att 3rd),22.06,82
Touches (Att Pen),5.64,67
Touches (Live-Ball),35.51,57
,,
Dribbles Completed,1.42,82
Dribbles Attempted,2.99,84
Successful Dribble %,47.6%,44
Players Dribbled Past,1.62,84
Nutmegs,0.12,69
,,
Carries,26.09,73
Total Carrying Distance,132.29,76
Progressive Carrying Distance,74.69,79
Progressive Carries,3.91,74
Carries into Final Third,1.18,68
Carries into Penalty Area,0.96,72
Miscontrols,4.07,4
Dispossessed,2.89,8
,,
Pass Targets,50.80,76
Passes Received,27.97,61
Passes Received %,55.1%,36
Progressive Passes Rec,8.49,77
Yellow Cards,0.24,24
Red Cards,0.02,11
Second Yellow Card,0.02,5
Fouls Committed,1.42,43
Fouls Drawn,1.86,70
Offsides,0.43,75
Crosses,1.66,87
,,
Interceptions,0.48,67
Tackles Won,0.63,74
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.05,49
,,
Aerials won,2.65,67
Aerials lost,4.36,27
% of Aerials Won,37.8%,45
