--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.18,32
Assists,0.09,16
Non-Penalty Goals,0.18,39
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.18,40
Red Cards,0.00,56
,,
xG,0.26,59
npxG,0.26,68
xA,0.11,16
npxG+xA,0.37,46
Goals,0.18,32
Shots Total,1.90,42
Shots on target,0.75,54
Shots on target %,39.5%,68
Goals/Shot,0.09,39
Goals/Shot on target,0.24,31
Average Shot Distance,13.70,94
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.26,59
npxG,0.26,68
npxG/Sh,0.15,87
Goals - xG,-0.09,11
Non-Penalty Goals - npxG,-0.09,12
Passes Completed,19.88,17
Passes Attempted,28.16,16
Pass Completion %,70.6%,22
Total Passing Distance,299.93,10
Progressive Passing Distance,71.40,8
,,
Passes Completed (Short),12.03,27
Passes Attempted (Short),14.72,28
Pass Completion % (Short),81.7%,23
,,
Passes Completed (Medium),6.26,13
Passes Attempted (Medium),8.73,14
Pass Completion % (Medium),71.7%,18
,,
Passes Completed (Long),1.15,10
Passes Attempted (Long),2.78,15
Pass Completion % (Long),41.3%,12
Assists,0.09,16
xA,0.11,16
Key Passes,1.28,30
Passes into Final Third,1.67,46
Passes into Penalty Area,0.93,20
Crosses into Penalty Area,0.09,10
Progressive Passes,2.16,18
Passes Attempted,28.16,16
,,
Live-ball passes,27.94,22
Dead-ball passes,0.22,1
Passes from Free Kicks,0.09,16
Through Balls,0.09,44
Passes Under Pressure,7.18,55
Switches,0.26,4
Crosses,1.54,36
Corner Kicks,0.04,16
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,26
,,
Ground passes,18.95,16
Low Passes,4.58,41
High Passes,4.63,33
,,
Passes Attempted (Left),4.36,33
Passes Attempted (Right),20.54,40
Passes Attempted (Head),1.85,91
Throw-Ins taken,0.09,2
Passes Attempted (Other),0.22,44
,,
Passes Completed,19.88,17
Passes Offside,0.09,84
Passes Out of Bounds,0.26,96
Passes Intercepted,1.59,51
Passes Blocked,1.37,63
Shot-Creating Actions,2.29,13
,,
SCA (PassLive),1.81,28
SCA (PassDead),0.00,13
SCA (Drib),0.09,10
SCA (Sh),0.22,68
SCA (Fld),0.13,37
SCA (Def),0.04,34
,,
Goal-Creating Actions,0.22,19
,,
GCA (PassLive),0.13,19
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.09,92
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,2.03,90
Tackles Won,1.45,95
Tackles (Def 3rd),0.62,70
Tackles (Mid 3rd),1.06,95
Tackles (Att 3rd),0.35,61
,,
Dribblers Tackled,0.44,49
Dribbles Contested,1.37,51
% of dribblers tackled,32.3%,60
Dribbled Past,0.93,53
,,
Pressures,21.99,91
Successful Pressures,6.88,98
Successful Pressure %,31.3%,88
Pressures (Def 3rd),6.35,97
Pressures (Mid 3rd),10.36,88
Pressures (Att 3rd),5.29,43
,,
Blocks,1.63,81
Shots Blocked,0.18,84
Shots Saved,0.00,49
Passes Blocked,1.45,81
,,
Interceptions,0.84,42
Tkl+Int,2.86,74
Clearances,1.06,94
Errors,0.00,57
Touches,42.05,17
Touches (Def Pen),1.45,88
Touches (Def 3rd),5.91,43
Touches (Mid 3rd),18.60,22
Touches (Att 3rd),20.94,25
Touches (Att Pen),4.14,51
Touches (Live-Ball),41.83,22
,,
Dribbles Completed,0.79,9
Dribbles Attempted,1.63,9
Successful Dribble %,48.6%,34
Players Dribbled Past,1.01,16
Nutmegs,0.18,57
,,
Carries,27.72,8
Total Carrying Distance,166.56,18
Progressive Carrying Distance,87.75,18
Progressive Carries,4.94,22
Carries into Final Third,1.94,52
Carries into Penalty Area,0.57,25
Miscontrols,1.94,60
Dispossessed,2.29,31
,,
Pass Targets,37.02,7
Passes Received,27.33,12
Passes Received %,73.8%,30
Progressive Passes Rec,5.02,25
Yellow Cards,0.18,40
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.67,25
Fouls Drawn,1.23,23
Offsides,0.04,96
Crosses,1.54,36
,,
Interceptions,0.84,42
Tackles Won,1.45,95
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,7.36,85
,,
Aerials won,1.54,90
Aerials lost,2.69,8
% of Aerials Won,36.5%,57
