--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.05,7
Assists,0.25,70
Non-Penalty Goals,0.05,8
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.00,97
Red Cards,0.00,56
,,
xG,0.09,5
npxG,0.09,7
xA,0.21,66
npxG+xA,0.31,26
Goals,0.05,7
Shots Total,1.23,7
Shots on target,0.44,14
Shots on target %,36.0%,51
Goals/Shot,0.04,13
Goals/Shot on target,0.11,10
Average Shot Distance,20.00,20
Shots from free kicks,0.05,57
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.09,5
npxG,0.09,7
npxG/Sh,0.08,25
Goals - xG,-0.04,31
Non-Penalty Goals - npxG,-0.04,29
Passes Completed,25.09,35
Passes Attempted,35.65,44
Pass Completion %,70.4%,22
Total Passing Distance,421.82,40
Progressive Passing Distance,127.22,55
,,
Passes Completed (Short),12.96,34
Passes Attempted (Short),15.61,33
Pass Completion % (Short),83.0%,31
,,
Passes Completed (Medium),8.84,41
Passes Attempted (Medium),12.62,53
Pass Completion % (Medium),70.0%,14
,,
Passes Completed (Long),2.41,41
Passes Attempted (Long),5.60,58
Pass Completion % (Long),43.0%,16
Assists,0.25,70
xA,0.21,66
Key Passes,1.67,60
Passes into Final Third,1.52,38
Passes into Penalty Area,2.16,90
Crosses into Penalty Area,0.69,92
Progressive Passes,3.83,65
Passes Attempted,35.65,44
,,
Live-ball passes,33.78,47
Dead-ball passes,1.87,44
Passes from Free Kicks,0.10,21
Through Balls,0.20,78
Passes Under Pressure,7.61,66
Switches,0.59,22
Crosses,2.50,75
Corner Kicks,0.64,48
,,
Inswinging Corner Kicks,0.25,49
Outswinging Corner Kicks,0.34,61
Straight Corner Kicks,0.00,26
,,
Ground passes,23.22,36
Low Passes,5.20,64
High Passes,7.22,68
,,
Passes Attempted (Left),3.09,17
Passes Attempted (Right),30.20,68
Passes Attempted (Head),1.42,81
Throw-Ins taken,0.15,7
Passes Attempted (Other),0.10,14
,,
Passes Completed,25.09,35
Passes Offside,0.10,78
Passes Out of Bounds,0.54,60
Passes Intercepted,1.77,36
Passes Blocked,1.08,87
Shot-Creating Actions,3.24,50
,,
SCA (PassLive),2.60,73
SCA (PassDead),0.20,49
SCA (Drib),0.10,13
SCA (Sh),0.20,60
SCA (Fld),0.10,23
SCA (Def),0.05,39
,,
Goal-Creating Actions,0.39,46
,,
GCA (PassLive),0.29,59
GCA (PassDead),0.05,75
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.05,77
GCA (Def),0.00,40
Tackles,0.98,22
Tackles Won,0.64,23
Tackles (Def 3rd),0.29,23
Tackles (Mid 3rd),0.49,34
Tackles (Att 3rd),0.20,23
,,
Dribblers Tackled,0.25,16
Dribbles Contested,1.08,25
% of dribblers tackled,22.7%,17
Dribbled Past,0.83,62
,,
Pressures,17.87,60
Successful Pressures,4.91,59
Successful Pressure %,27.5%,49
Pressures (Def 3rd),4.42,72
Pressures (Mid 3rd),7.07,47
Pressures (Att 3rd),6.38,70
,,
Blocks,1.67,84
Shots Blocked,0.10,60
Shots Saved,0.00,49
Passes Blocked,1.57,85
,,
Interceptions,1.03,56
Tkl+Int,2.01,31
Clearances,0.88,90
Errors,0.00,57
Touches,44.98,26
Touches (Def Pen),1.28,83
Touches (Def 3rd),6.73,57
Touches (Mid 3rd),19.59,29
Touches (Att 3rd),22.05,34
Touches (Att Pen),2.50,11
Touches (Live-Ball),43.06,28
,,
Dribbles Completed,1.08,25
Dribbles Attempted,1.91,20
Successful Dribble %,56.4%,71
Players Dribbled Past,1.23,27
Nutmegs,0.15,48
,,
Carries,30.74,22
Total Carrying Distance,190.65,38
Progressive Carrying Distance,106.45,35
Progressive Carries,5.74,43
Carries into Final Third,2.36,73
Carries into Penalty Area,0.74,35
Miscontrols,1.18,96
Dispossessed,0.93,96
,,
Pass Targets,41.19,20
Passes Received,30.64,26
Passes Received %,74.4%,33
Progressive Passes Rec,4.66,20
Yellow Cards,0.00,97
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.83,77
Fouls Drawn,0.98,14
Offsides,0.15,77
Crosses,2.50,75
,,
Interceptions,1.03,56
Tackles Won,0.64,23
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,6.97,74
,,
Aerials won,0.79,62
Aerials lost,2.31,15
% of Aerials Won,25.4%,20
