--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.23,94
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.28,32
Red Cards,0.00,61
,,
xG,0.01,2
npxG,0.01,2
xA,0.10,72
npxG+xA,0.11,35
Goals,0.00,11
Shots Total,0.40,7
Shots on target,0.06,6
Shots on target %,14.3%,11
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,23.60,20
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.01,2
npxG,0.01,2
npxG/Sh,0.03,4
Goals - xG,-0.01,45
Non-Penalty Goals - npxG,-0.01,45
Passes Completed,57.74,90
Passes Attempted,66.28,90
Pass Completion %,87.1%,79
Total Passing Distance,1128.81,90
Progressive Passing Distance,318.07,94
,,
Passes Completed (Short),22.76,84
Passes Attempted (Short),25.66,84
Pass Completion % (Short),88.7%,55
,,
Passes Completed (Medium),25.03,89
Passes Attempted (Medium),27.53,91
Pass Completion % (Medium),90.9%,80
,,
Passes Completed (Long),8.87,87
Passes Attempted (Long),10.70,74
Pass Completion % (Long),83.0%,93
Assists,0.23,94
xA,0.10,72
Key Passes,0.74,39
Passes into Final Third,6.37,91
Passes into Penalty Area,0.51,31
Crosses into Penalty Area,0.06,32
Progressive Passes,5.52,85
Passes Attempted,66.28,90
,,
Live-ball passes,64.23,90
Dead-ball passes,2.05,56
Passes from Free Kicks,1.71,68
Through Balls,0.23,87
Passes Under Pressure,10.30,85
Switches,1.93,67
Crosses,0.28,28
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,52.00,89
Low Passes,6.20,77
High Passes,8.08,58
,,
Passes Attempted (Left),52.05,99
Passes Attempted (Right),9.90,14
Passes Attempted (Head),2.33,69
Throw-Ins taken,0.34,77
Passes Attempted (Other),0.23,51
,,
Passes Completed,57.74,90
Passes Offside,0.23,27
Passes Out of Bounds,0.34,96
Passes Intercepted,1.93,16
Passes Blocked,1.25,20
Shot-Creating Actions,1.65,35
,,
SCA (PassLive),1.48,49
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.00,9
SCA (Fld),0.06,43
SCA (Def),0.11,83
,,
Goal-Creating Actions,0.28,73
,,
GCA (PassLive),0.28,85
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.16,45
Tackles Won,1.76,75
Tackles (Def 3rd),1.25,82
Tackles (Mid 3rd),0.85,29
Tackles (Att 3rd),0.06,3
,,
Dribblers Tackled,0.63,34
Dribbles Contested,1.71,33
% of dribblers tackled,36.7%,48
Dribbled Past,1.08,62
,,
Pressures,14.73,13
Successful Pressures,4.49,18
Successful Pressure %,30.5%,51
Pressures (Def 3rd),6.43,60
Pressures (Mid 3rd),7.17,12
Pressures (Att 3rd),1.14,1
,,
Blocks,1.99,84
Shots Blocked,0.34,63
Shots Saved,0.00,45
Passes Blocked,1.65,84
,,
Interceptions,2.10,77
Tkl+Int,4.27,60
Clearances,2.22,91
Errors,0.06,10
Touches,77.48,90
Touches (Def Pen),4.32,94
Touches (Def 3rd),25.43,97
Touches (Mid 3rd),46.88,88
Touches (Att 3rd),11.89,40
Touches (Att Pen),0.46,10
Touches (Live-Ball),75.78,91
,,
Dribbles Completed,0.63,43
Dribbles Attempted,0.74,25
Successful Dribble %,84.6%,98
Players Dribbled Past,0.63,38
Nutmegs,0.00,17
,,
Carries,51.26,84
Total Carrying Distance,315.28,96
Progressive Carrying Distance,193.54,99
Progressive Carries,7.68,96
Carries into Final Third,1.99,86
Carries into Penalty Area,0.11,46
Miscontrols,1.14,32
Dispossessed,0.97,52
,,
Pass Targets,55.92,81
Passes Received,53.99,85
Passes Received %,96.5%,96
Progressive Passes Rec,0.46,4
Yellow Cards,0.28,32
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.93,29
Fouls Drawn,0.63,8
Offsides,0.00,77
Crosses,0.28,28
,,
Interceptions,2.10,77
Tackles Won,1.76,75
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.87,76
,,
Aerials won,2.10,80
Aerials lost,1.25,45
% of Aerials Won,62.7%,87
