--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,80
Assists,0.26,94
Non-Penalty Goals,0.09,80
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.34,10
Red Cards,0.00,60
,,
xG,0.06,76
npxG,0.06,77
xA,0.14,81
npxG+xA,0.19,77
Goals,0.09,80
Shots Total,0.86,74
Shots on target,0.17,53
Shots on target %,20.0%,26
Goals/Shot,0.10,72
Goals/Shot on target,0.50,86
Average Shot Distance,16.30,77
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.06,76
npxG,0.06,77
npxG/Sh,0.07,59
Goals - xG,+0.03,77
Non-Penalty Goals - npxG,+0.03,76
Passes Completed,48.65,79
Passes Attempted,60.40,77
Pass Completion %,80.5%,70
Total Passing Distance,749.94,59
Progressive Passing Distance,258.85,36
,,
Passes Completed (Short),28.14,91
Passes Attempted (Short),30.97,92
Pass Completion % (Short),90.9%,78
,,
Passes Completed (Medium),17.67,58
Passes Attempted (Medium),21.02,55
Pass Completion % (Medium),84.1%,69
,,
Passes Completed (Long),2.40,5
Passes Attempted (Long),5.49,13
Pass Completion % (Long),43.8%,19
Assists,0.26,94
xA,0.14,81
Key Passes,0.94,60
Passes into Final Third,1.54,7
Passes into Penalty Area,1.46,83
Crosses into Penalty Area,0.26,20
Progressive Passes,3.69,53
Passes Attempted,60.40,77
,,
Live-ball passes,50.62,79
Dead-ball passes,9.78,52
Passes from Free Kicks,0.26,5
Through Balls,0.00,18
Passes Under Pressure,8.06,93
Switches,0.60,16
Crosses,1.54,22
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,37.66,77
Low Passes,12.18,73
High Passes,10.55,44
,,
Passes Attempted (Left),6.95,45
Passes Attempted (Right),41.44,84
Passes Attempted (Head),1.46,25
Throw-Ins taken,9.52,73
Passes Attempted (Other),0.00,3
,,
Passes Completed,48.65,79
Passes Offside,0.00,98
Passes Out of Bounds,0.43,95
Passes Intercepted,2.06,30
Passes Blocked,2.75,2
Shot-Creating Actions,2.32,78
,,
SCA (PassLive),1.97,88
SCA (PassDead),0.00,6
SCA (Drib),0.26,98
SCA (Sh),0.00,15
SCA (Fld),0.00,10
SCA (Def),0.09,85
,,
Goal-Creating Actions,0.51,98
,,
GCA (PassLive),0.34,95
GCA (PassDead),0.00,37
GCA (Drib),0.09,98
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.09,99
Tackles,4.29,99
Tackles Won,2.40,99
Tackles (Def 3rd),2.40,99
Tackles (Mid 3rd),1.37,98
Tackles (Att 3rd),0.51,97
,,
Dribblers Tackled,1.80,98
Dribbles Contested,3.43,97
% of dribblers tackled,52.5%,65
Dribbled Past,1.63,8
,,
Pressures,18.79,95
Successful Pressures,6.09,97
Successful Pressure %,32.4%,67
Pressures (Def 3rd),7.64,83
Pressures (Mid 3rd),7.72,96
Pressures (Att 3rd),3.43,88
,,
Blocks,2.49,90
Shots Blocked,0.34,68
Shots Saved,0.00,41
Passes Blocked,2.14,90
,,
Interceptions,2.14,73
Tkl+Int,6.43,98
Clearances,2.83,90
Errors,0.00,70
Touches,74.39,83
Touches (Def Pen),3.43,53
Touches (Def 3rd),22.48,77
Touches (Mid 3rd),36.63,86
Touches (Att 3rd),19.22,57
Touches (Att Pen),1.80,65
Touches (Live-Ball),65.03,85
,,
Dribbles Completed,0.94,68
Dribbles Attempted,1.54,57
Successful Dribble %,61.1%,80
Players Dribbled Past,0.94,60
Nutmegs,0.17,84
,,
Carries,44.87,78
Total Carrying Distance,174.51,36
Progressive Carrying Distance,108.45,51
Progressive Carries,5.66,74
Carries into Final Third,1.63,58
Carries into Penalty Area,0.34,61
Miscontrols,0.86,54
Dispossessed,0.69,64
,,
Pass Targets,48.82,78
Passes Received,44.01,77
Passes Received %,90.2%,42
Progressive Passes Rec,1.37,21
Yellow Cards,0.34,10
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.94,70
Fouls Drawn,1.80,88
Offsides,0.00,89
Crosses,1.54,22
,,
Interceptions,2.14,73
Tackles Won,2.40,99
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,7.46,36
,,
Aerials won,1.97,87
Aerials lost,0.94,69
% of Aerials Won,67.6%,97
