--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,64
Assists,0.12,99
Non-Penalty Goals,0.06,64
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.15,70
Red Cards,0.00,64
,,
xG,0.08,85
npxG,0.08,85
xA,0.08,99
npxG+xA,0.16,99
Goals,0.06,64
Shots Total,0.65,74
Shots on target,0.15,56
Shots on target %,22.7%,39
Goals/Shot,0.09,54
Goals/Shot on target,0.40,60
Average Shot Distance,11.20,50
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.08,85
npxG,0.08,85
npxG/Sh,0.12,74
Goals - xG,-0.02,31
Non-Penalty Goals - npxG,-0.02,31
Passes Completed,74.12,98
Passes Attempted,79.17,97
Pass Completion %,93.6%,98
Total Passing Distance,1589.03,98
Progressive Passing Distance,415.48,86
,,
Passes Completed (Short),20.75,93
Passes Attempted (Short),21.90,92
Pass Completion % (Short),94.8%,93
,,
Passes Completed (Medium),41.07,98
Passes Attempted (Medium),42.56,98
Pass Completion % (Medium),96.5%,97
,,
Passes Completed (Long),12.06,90
Passes Attempted (Long),14.03,78
Pass Completion % (Long),86.0%,97
Assists,0.12,99
xA,0.08,99
Key Passes,0.41,93
Passes into Final Third,6.46,97
Passes into Penalty Area,0.15,48
Crosses into Penalty Area,0.00,29
Progressive Passes,3.79,86
Passes Attempted,79.17,97
,,
Live-ball passes,77.41,98
Dead-ball passes,1.76,30
Passes from Free Kicks,1.29,31
Through Balls,0.09,91
Passes Under Pressure,6.25,72
Switches,1.82,72
Crosses,0.15,61
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,67.63,98
Low Passes,3.76,33
High Passes,7.78,30
,,
Passes Attempted (Left),12.15,65
Passes Attempted (Right),62.79,97
Passes Attempted (Head),2.38,39
Throw-Ins taken,0.44,67
Passes Attempted (Other),0.21,67
,,
Passes Completed,74.12,98
Passes Offside,0.06,78
Passes Out of Bounds,0.47,90
Passes Intercepted,0.65,78
Passes Blocked,0.38,71
Shot-Creating Actions,1.06,93
,,
SCA (PassLive),0.88,91
SCA (PassDead),0.00,32
SCA (Drib),0.03,86
SCA (Sh),0.12,91
SCA (Fld),0.00,36
SCA (Def),0.03,63
,,
Goal-Creating Actions,0.29,99
,,
GCA (PassLive),0.21,99
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.09,99
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.29,31
Tackles Won,0.88,45
Tackles (Def 3rd),0.53,7
Tackles (Mid 3rd),0.62,68
Tackles (Att 3rd),0.15,83
,,
Dribblers Tackled,0.38,17
Dribbles Contested,0.73,17
% of dribblers tackled,52.0%,45
Dribbled Past,0.35,78
,,
Pressures,5.81,10
Successful Pressures,2.35,18
Successful Pressure %,40.4%,87
Pressures (Def 3rd),2.23,1
Pressures (Mid 3rd),2.96,34
Pressures (Att 3rd),0.62,68
,,
Blocks,1.14,5
Shots Blocked,0.47,11
Shots Saved,0.00,32
Passes Blocked,0.68,20
,,
Interceptions,1.41,10
Tkl+Int,2.70,17
Clearances,2.79,8
Errors,0.03,59
Touches,86.45,96
Touches (Def Pen),7.02,18
Touches (Def 3rd),32.70,46
Touches (Mid 3rd),56.92,99
Touches (Att 3rd),3.67,71
Touches (Att Pen),1.06,72
Touches (Live-Ball),84.80,97
,,
Dribbles Completed,0.09,23
Dribbles Attempted,0.18,30
Successful Dribble %,50.0%,19
Players Dribbled Past,0.09,20
Nutmegs,0.03,80
,,
Carries,62.79,98
Total Carrying Distance,374.30,97
Progressive Carrying Distance,230.40,98
Progressive Carries,8.01,99
Carries into Final Third,0.76,80
Carries into Penalty Area,0.00,31
Miscontrols,0.15,78
Dispossessed,0.06,93
,,
Pass Targets,69.72,98
Passes Received,68.69,98
Passes Received %,98.5%,75
Progressive Passes Rec,0.26,71
Yellow Cards,0.15,70
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.12,45
Fouls Drawn,0.32,17
Offsides,0.06,26
Crosses,0.15,61
,,
Interceptions,1.41,10
Tackles Won,0.88,45
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.03,46
Own Goals,0.00,60
Ball Recoveries,8.10,24
,,
Aerials won,1.82,17
Aerials lost,1.20,74
% of Aerials Won,60.2%,37
