--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.48,90
Assists,0.16,44
Non-Penalty Goals,0.48,93
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.16,45
Red Cards,0.00,56
,,
xG,0.49,96
npxG,0.49,98
xA,0.11,17
npxG+xA,0.59,87
Goals,0.48,90
Shots Total,3.03,89
Shots on target,1.59,99
Shots on target %,52.6%,96
Goals/Shot,0.16,79
Goals/Shot on target,0.30,44
Average Shot Distance,15.90,72
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.49,96
npxG,0.49,98
npxG/Sh,0.16,91
Goals - xG,-0.02,38
Non-Penalty Goals - npxG,-0.02,40
Passes Completed,23.58,32
Passes Attempted,28.35,17
Pass Completion %,83.1%,88
Total Passing Distance,327.50,16
Progressive Passing Distance,66.90,4
,,
Passes Completed (Short),14.97,51
Passes Attempted (Short),16.25,42
Pass Completion % (Short),92.2%,98
,,
Passes Completed (Medium),6.37,14
Passes Attempted (Medium),7.96,7
Pass Completion % (Medium),80.0%,56
,,
Passes Completed (Long),0.96,4
Passes Attempted (Long),1.75,4
Pass Completion % (Long),54.5%,52
Assists,0.16,44
xA,0.11,17
Key Passes,1.27,29
Passes into Final Third,1.27,28
Passes into Penalty Area,1.59,66
Crosses into Penalty Area,0.00,1
Progressive Passes,2.39,30
Passes Attempted,28.35,17
,,
Live-ball passes,27.24,20
Dead-ball passes,1.12,29
Passes from Free Kicks,0.16,28
Through Balls,0.16,69
Passes Under Pressure,5.10,9
Switches,0.32,8
Crosses,0.96,15
Corner Kicks,0.16,29
,,
Inswinging Corner Kicks,0.16,43
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,26
,,
Ground passes,22.30,33
Low Passes,3.03,2
High Passes,3.03,9
,,
Passes Attempted (Left),1.27,1
Passes Attempted (Right),25.17,51
Passes Attempted (Head),0.80,34
Throw-Ins taken,0.80,83
Passes Attempted (Other),0.16,32
,,
Passes Completed,23.58,32
Passes Offside,0.00,98
Passes Out of Bounds,0.48,69
Passes Intercepted,1.59,51
Passes Blocked,0.96,92
Shot-Creating Actions,3.19,47
,,
SCA (PassLive),2.39,66
SCA (PassDead),0.16,46
SCA (Drib),0.32,68
SCA (Sh),0.16,46
SCA (Fld),0.16,44
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.48,67
,,
GCA (PassLive),0.16,25
GCA (PassDead),0.00,30
GCA (Drib),0.16,98
GCA (Sh),0.00,22
GCA (Fld),0.16,99
GCA (Def),0.00,40
Tackles,0.80,8
Tackles Won,0.64,23
Tackles (Def 3rd),0.32,27
Tackles (Mid 3rd),0.16,2
Tackles (Att 3rd),0.32,56
,,
Dribblers Tackled,0.16,6
Dribbles Contested,1.12,28
% of dribblers tackled,14.3%,1
Dribbled Past,0.96,48
,,
Pressures,13.38,22
Successful Pressures,2.55,2
Successful Pressure %,19.0%,1
Pressures (Def 3rd),2.39,19
Pressures (Mid 3rd),5.42,16
Pressures (Att 3rd),5.58,51
,,
Blocks,0.64,10
Shots Blocked,0.00,6
Shots Saved,0.00,49
Passes Blocked,0.64,11
,,
Interceptions,0.64,17
Tkl+Int,1.43,5
Clearances,1.43,99
Errors,0.00,57
Touches,43.65,22
Touches (Def Pen),0.96,63
Touches (Def 3rd),6.53,52
Touches (Mid 3rd),17.52,15
Touches (Att 3rd),25.65,56
Touches (Att Pen),7.17,95
Touches (Live-Ball),42.69,28
,,
Dribbles Completed,1.59,52
Dribbles Attempted,2.87,44
Successful Dribble %,55.6%,69
Players Dribbled Past,1.75,52
Nutmegs,0.00,3
,,
Carries,32.65,30
Total Carrying Distance,200.23,46
Progressive Carrying Distance,136.99,76
Progressive Carries,5.73,43
Carries into Final Third,2.87,90
Carries into Penalty Area,1.43,75
Miscontrols,2.23,44
Dispossessed,3.35,4
,,
Pass Targets,50.34,60
Passes Received,33.29,32
Passes Received %,66.1%,7
Progressive Passes Rec,10.19,97
Yellow Cards,0.16,45
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.43,32
Fouls Drawn,1.91,65
Offsides,0.16,73
Crosses,0.96,15
,,
Interceptions,0.64,17
Tackles Won,0.64,23
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,4.78,11
,,
Aerials won,0.16,5
Aerials lost,0.96,77
% of Aerials Won,14.3%,4
