--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.47,67
Assists,0.18,76
Non-Penalty Goals,0.47,81
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.06,82
Red Cards,0.00,55
,,
xG,0.58,88
npxG,0.58,96
xA,0.11,51
npxG+xA,0.69,91
Goals,0.47,67
Shots Total,3.24,83
Shots on target,1.24,80
Shots on target %,38.2%,50
Goals/Shot,0.15,64
Goals/Shot on target,0.38,56
Average Shot Distance,13.00,72
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.58,88
npxG,0.58,96
npxG/Sh,0.18,90
Goals - xG,-0.11,16
Non-Penalty Goals - npxG,-0.11,17
Passes Completed,21.25,80
Passes Attempted,28.02,75
Pass Completion %,75.8%,80
Total Passing Distance,290.31,69
Progressive Passing Distance,43.44,43
,,
Passes Completed (Short),13.07,86
Passes Attempted (Short),15.36,82
Pass Completion % (Short),85.1%,90
,,
Passes Completed (Medium),6.53,78
Passes Attempted (Medium),8.54,76
Pass Completion % (Medium),76.6%,74
,,
Passes Completed (Long),0.71,17
Passes Attempted (Long),1.47,28
Pass Completion % (Long),48.0%,15
Assists,0.18,76
xA,0.11,51
Key Passes,0.77,24
Passes into Final Third,0.53,13
Passes into Penalty Area,1.06,85
Crosses into Penalty Area,0.12,57
Progressive Passes,1.47,47
Passes Attempted,28.02,75
,,
Live-ball passes,26.96,77
Dead-ball passes,1.06,29
Passes from Free Kicks,0.00,20
Through Balls,0.06,46
Passes Under Pressure,5.65,31
Switches,0.12,7
Crosses,1.82,92
Corner Kicks,0.06,80
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,22.01,86
Low Passes,4.18,42
High Passes,1.82,6
,,
Passes Attempted (Left),3.65,58
Passes Attempted (Right),22.43,87
Passes Attempted (Head),0.88,32
Throw-Ins taken,0.35,89
Passes Attempted (Other),0.18,5
,,
Passes Completed,21.25,80
Passes Offside,0.12,36
Passes Out of Bounds,0.41,53
Passes Intercepted,0.88,82
Passes Blocked,1.71,6
Shot-Creating Actions,2.00,31
,,
SCA (PassLive),1.47,40
SCA (PassDead),0.00,36
SCA (Drib),0.35,88
SCA (Sh),0.18,37
SCA (Fld),0.00,1
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.47,77
,,
GCA (PassLive),0.29,79
GCA (PassDead),0.00,46
GCA (Drib),0.12,96
GCA (Sh),0.06,70
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,0.53,35
Tackles Won,0.35,36
Tackles (Def 3rd),0.06,21
Tackles (Mid 3rd),0.18,26
Tackles (Att 3rd),0.29,69
,,
Dribblers Tackled,0.00,3
Dribbles Contested,1.30,93
% of dribblers tackled,0.0%,3
Dribbled Past,1.30,1
,,
Pressures,17.25,74
Successful Pressures,4.53,69
Successful Pressure %,26.3%,41
Pressures (Def 3rd),2.47,89
Pressures (Mid 3rd),5.89,44
Pressures (Att 3rd),8.89,81
,,
Blocks,0.65,32
Shots Blocked,0.06,22
Shots Saved,0.00,48
Passes Blocked,0.59,47
,,
Interceptions,0.29,28
Tkl+Int,0.82,29
Clearances,0.24,12
Errors,0.00,53
Touches,39.91,73
Touches (Def Pen),0.18,3
Touches (Def 3rd),2.12,17
Touches (Mid 3rd),14.42,26
Touches (Att 3rd),25.84,91
Touches (Att Pen),8.12,98
Touches (Live-Ball),38.85,75
,,
Dribbles Completed,1.18,72
Dribbles Attempted,2.59,77
Successful Dribble %,45.5%,38
Players Dribbled Past,1.35,75
Nutmegs,0.18,87
,,
Carries,30.90,85
Total Carrying Distance,159.22,88
Progressive Carrying Distance,83.82,83
Progressive Carries,4.53,84
Carries into Final Third,1.00,58
Carries into Penalty Area,1.47,92
Miscontrols,2.00,85
Dispossessed,2.30,23
,,
Pass Targets,48.33,69
Passes Received,31.02,76
Passes Received %,64.2%,76
Progressive Passes Rec,9.54,91
Yellow Cards,0.06,82
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,0.77,87
Fouls Drawn,1.12,23
Offsides,0.71,33
Crosses,1.82,92
,,
Interceptions,0.29,28
Tackles Won,0.35,36
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,5.30,90
,,
Aerials won,0.65,11
Aerials lost,1.71,85
% of Aerials Won,27.5%,20
