--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.03,35
Assists,0.00,31
Non-Penalty Goals,0.03,35
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.18,57
Red Cards,0.00,64
,,
xG,0.04,46
npxG,0.04,46
xA,0.00,11
npxG+xA,0.05,30
Goals,0.03,35
Shots Total,0.27,18
Shots on target,0.03,12
Shots on target %,11.1%,13
Goals/Shot,0.11,63
Goals/Shot on target,1.00,91
Average Shot Distance,11.40,48
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.04,46
npxG,0.04,46
npxG/Sh,0.16,91
Goals - xG,-0.01,40
Non-Penalty Goals - npxG,-0.01,40
Passes Completed,58.24,82
Passes Attempted,67.59,85
Pass Completion %,86.2%,57
Total Passing Distance,1172.89,77
Progressive Passing Distance,364.87,71
,,
Passes Completed (Short),18.89,87
Passes Attempted (Short),20.45,87
Pass Completion % (Short),92.4%,70
,,
Passes Completed (Medium),31.67,82
Passes Attempted (Medium),33.93,84
Pass Completion % (Medium),93.4%,70
,,
Passes Completed (Long),7.16,39
Passes Attempted (Long),12.06,55
Pass Completion % (Long),59.4%,14
Assists,0.00,31
xA,0.00,11
Key Passes,0.09,21
Passes into Final Third,3.01,65
Passes into Penalty Area,0.12,41
Crosses into Penalty Area,0.06,82
Progressive Passes,2.50,49
Passes Attempted,67.59,85
,,
Live-ball passes,65.82,87
Dead-ball passes,1.77,30
Passes from Free Kicks,1.47,45
Through Balls,0.03,58
Passes Under Pressure,6.95,84
Switches,1.74,70
Crosses,0.27,79
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,51.98,83
Low Passes,4.90,75
High Passes,10.71,75
,,
Passes Attempted (Left),15.73,70
Passes Attempted (Right),46.11,79
Passes Attempted (Head),2.95,68
Throw-Ins taken,0.21,44
Passes Attempted (Other),0.27,82
,,
Passes Completed,58.24,82
Passes Offside,0.15,32
Passes Out of Bounds,1.08,22
Passes Intercepted,0.99,42
Passes Blocked,0.66,29
Shot-Creating Actions,0.39,26
,,
SCA (PassLive),0.39,42
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.93,69
Tackles Won,1.05,57
Tackles (Def 3rd),1.14,60
Tackles (Mid 3rd),0.66,75
Tackles (Att 3rd),0.12,76
,,
Dribblers Tackled,0.84,77
Dribbles Contested,1.47,73
% of dribblers tackled,57.1%,66
Dribbled Past,0.63,36
,,
Pressures,9.45,56
Successful Pressures,3.43,59
Successful Pressure %,36.3%,54
Pressures (Def 3rd),5.05,50
Pressures (Mid 3rd),4.06,71
Pressures (Att 3rd),0.33,31
,,
Blocks,1.90,69
Shots Blocked,0.99,77
Shots Saved,0.00,32
Passes Blocked,0.90,50
,,
Interceptions,1.71,28
Tkl+Int,3.64,47
Clearances,4.96,73
Errors,0.03,59
Touches,78.54,87
Touches (Def Pen),10.50,78
Touches (Def 3rd),41.69,89
Touches (Mid 3rd),38.77,85
Touches (Att 3rd),2.86,57
Touches (Att Pen),0.57,26
Touches (Live-Ball),76.85,87
,,
Dribbles Completed,0.18,49
Dribbles Attempted,0.27,49
Successful Dribble %,66.7%,47
Players Dribbled Past,0.18,45
Nutmegs,0.00,37
,,
Carries,50.63,84
Total Carrying Distance,269.19,80
Progressive Carrying Distance,130.82,71
Progressive Carries,2.86,68
Carries into Final Third,0.69,76
Carries into Penalty Area,0.00,31
Miscontrols,0.27,39
Dispossessed,0.15,65
,,
Pass Targets,54.63,83
Passes Received,53.84,83
Passes Received %,98.6%,81
Progressive Passes Rec,0.09,24
Yellow Cards,0.18,57
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.14,43
Fouls Drawn,0.48,39
Offsides,0.03,52
Crosses,0.27,79
,,
Interceptions,1.71,28
Tackles Won,1.05,57
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.06,16
Own Goals,0.00,60
Ball Recoveries,11.07,85
,,
Aerials won,3.85,88
Aerials lost,1.83,26
% of Aerials Won,67.7%,74
