--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.21,40
Assists,0.62,99
Non-Penalty Goals,0.21,46
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.00,97
Red Cards,0.00,56
,,
xG,0.17,28
npxG,0.17,34
xA,0.36,96
npxG+xA,0.53,81
Goals,0.21,40
Shots Total,1.56,22
Shots on target,0.42,12
Shots on target %,26.7%,10
Goals/Shot,0.13,62
Goals/Shot on target,0.50,91
Average Shot Distance,16.90,58
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.17,28
npxG,0.17,34
npxG/Sh,0.11,58
Goals - xG,+0.04,65
Non-Penalty Goals - npxG,+0.04,66
Passes Completed,37.31,78
Passes Attempted,45.42,74
Pass Completion %,82.2%,85
Total Passing Distance,597.58,73
Progressive Passing Distance,148.51,68
,,
Passes Completed (Short),19.64,78
Passes Attempted (Short),22.45,80
Pass Completion % (Short),87.5%,71
,,
Passes Completed (Medium),12.89,81
Passes Attempted (Medium),15.17,76
Pass Completion % (Medium),84.9%,81
,,
Passes Completed (Long),2.91,54
Passes Attempted (Long),4.78,46
Pass Completion % (Long),60.9%,73
Assists,0.62,99
xA,0.36,96
Key Passes,2.49,90
Passes into Final Third,2.91,74
Passes into Penalty Area,2.49,96
Crosses into Penalty Area,0.10,11
Progressive Passes,5.20,90
Passes Attempted,45.42,74
,,
Live-ball passes,43.75,80
Dead-ball passes,1.66,41
Passes from Free Kicks,0.42,47
Through Balls,0.21,78
Passes Under Pressure,11.95,99
Switches,1.46,65
Crosses,1.14,20
Corner Kicks,0.94,55
,,
Inswinging Corner Kicks,0.52,60
Outswinging Corner Kicks,0.31,60
Straight Corner Kicks,0.00,26
,,
Ground passes,34.82,80
Low Passes,5.30,67
High Passes,5.30,44
,,
Passes Attempted (Left),34.30,89
Passes Attempted (Right),8.31,27
Passes Attempted (Head),1.04,55
Throw-Ins taken,0.31,37
Passes Attempted (Other),0.52,97
,,
Passes Completed,37.31,78
Passes Offside,0.31,13
Passes Out of Bounds,0.42,77
Passes Intercepted,1.25,80
Passes Blocked,1.35,63
Shot-Creating Actions,4.36,85
,,
SCA (PassLive),3.33,92
SCA (PassDead),0.31,57
SCA (Drib),0.21,46
SCA (Sh),0.21,64
SCA (Fld),0.31,84
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.94,99
,,
GCA (PassLive),0.83,99
GCA (PassDead),0.00,30
GCA (Drib),0.10,93
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.14,32
Tackles Won,0.62,23
Tackles (Def 3rd),0.42,43
Tackles (Mid 3rd),0.52,38
Tackles (Att 3rd),0.21,28
,,
Dribblers Tackled,0.42,46
Dribbles Contested,0.62,2
% of dribblers tackled,66.7%,99
Dribbled Past,0.21,99
,,
Pressures,19.12,69
Successful Pressures,5.09,65
Successful Pressure %,26.6%,35
Pressures (Def 3rd),2.81,28
Pressures (Mid 3rd),7.59,55
Pressures (Att 3rd),8.73,96
,,
Blocks,1.04,40
Shots Blocked,0.00,6
Shots Saved,0.00,49
Passes Blocked,1.04,46
,,
Interceptions,0.42,1
Tkl+Int,1.56,10
Clearances,0.62,72
Errors,0.00,57
Touches,61.11,82
Touches (Def Pen),0.94,62
Touches (Def 3rd),6.13,46
Touches (Mid 3rd),26.19,63
Touches (Att 3rd),32.94,89
Touches (Att Pen),5.61,84
Touches (Live-Ball),59.55,89
,,
Dribbles Completed,1.97,72
Dribbles Attempted,3.64,66
Successful Dribble %,54.3%,65
Players Dribbled Past,2.18,74
Nutmegs,0.00,3
,,
Carries,47.60,86
Total Carrying Distance,256.18,86
Progressive Carrying Distance,123.88,62
Progressive Carries,7.69,80
Carries into Final Third,1.87,48
Carries into Penalty Area,1.14,64
Miscontrols,3.22,3
Dispossessed,2.81,12
,,
Pass Targets,58.93,90
Passes Received,47.39,83
Passes Received %,80.4%,61
Progressive Passes Rec,9.77,95
Yellow Cards,0.00,97
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,2.08,9
Fouls Drawn,2.91,91
Offsides,0.31,41
Crosses,1.14,20
,,
Interceptions,0.42,1
Tackles Won,0.62,23
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,7.59,90
,,
Aerials won,1.14,81
Aerials lost,2.18,19
% of Aerials Won,34.4%,50
