--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.14,92
Assists,0.00,10
Non-Penalty Goals,0.14,93
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.14,63
Red Cards,0.00,60
,,
xG,0.06,75
npxG,0.06,75
xA,0.10,61
npxG+xA,0.16,68
Goals,0.14,92
Shots Total,1.81,98
Shots on target,0.43,93
Shots on target %,24.0%,37
Goals/Shot,0.08,64
Goals/Shot on target,0.33,69
Average Shot Distance,24.40,8
Shots from free kicks,0.14,91
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.06,75
npxG,0.06,75
npxG/Sh,0.03,9
Goals - xG,+0.09,95
Non-Penalty Goals - npxG,+0.09,96
Passes Completed,49.05,80
Passes Attempted,61.13,78
Pass Completion %,80.2%,69
Total Passing Distance,987.40,88
Progressive Passing Distance,342.35,81
,,
Passes Completed (Short),17.44,44
Passes Attempted (Short),18.81,36
Pass Completion % (Short),92.7%,93
,,
Passes Completed (Medium),22.43,85
Passes Attempted (Medium),25.03,80
Pass Completion % (Medium),89.6%,95
,,
Passes Completed (Long),7.96,95
Passes Attempted (Long),14.54,97
Pass Completion % (Long),54.7%,60
Assists,0.00,10
xA,0.10,61
Key Passes,0.94,60
Passes into Final Third,4.27,93
Passes into Penalty Area,2.10,95
Crosses into Penalty Area,0.58,70
Progressive Passes,4.92,84
Passes Attempted,61.13,78
,,
Live-ball passes,52.09,82
Dead-ball passes,9.04,38
Passes from Free Kicks,1.74,90
Through Balls,0.07,75
Passes Under Pressure,5.06,19
Switches,2.75,94
Crosses,2.32,56
Corner Kicks,1.23,87
,,
Inswinging Corner Kicks,0.58,90
Outswinging Corner Kicks,0.36,85
Straight Corner Kicks,0.07,92
,,
Ground passes,34.00,63
Low Passes,12.44,78
High Passes,14.69,80
,,
Passes Attempted (Left),3.26,13
Passes Attempted (Right),49.27,93
Passes Attempted (Head),1.23,15
Throw-Ins taken,6.08,7
Passes Attempted (Other),0.43,99
,,
Passes Completed,49.05,80
Passes Offside,0.29,17
Passes Out of Bounds,0.87,49
Passes Intercepted,1.30,88
Passes Blocked,1.37,81
Shot-Creating Actions,2.46,83
,,
SCA (PassLive),1.88,84
SCA (PassDead),0.43,83
SCA (Drib),0.00,15
SCA (Sh),0.00,15
SCA (Fld),0.07,64
SCA (Def),0.07,80
,,
Goal-Creating Actions,0.07,16
,,
GCA (PassLive),0.07,25
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.17,50
Tackles Won,1.23,55
Tackles (Def 3rd),0.94,28
Tackles (Mid 3rd),0.72,60
Tackles (Att 3rd),0.51,96
,,
Dribblers Tackled,0.65,26
Dribbles Contested,2.39,83
% of dribblers tackled,27.3%,2
Dribbled Past,1.74,6
,,
Pressures,14.32,68
Successful Pressures,4.41,66
Successful Pressure %,30.8%,49
Pressures (Def 3rd),5.72,54
Pressures (Mid 3rd),6.37,83
Pressures (Att 3rd),2.24,49
,,
Blocks,1.23,5
Shots Blocked,0.14,15
Shots Saved,0.00,41
Passes Blocked,1.09,9
,,
Interceptions,2.53,91
Tkl+Int,4.70,77
Clearances,1.37,20
Errors,0.14,1
Touches,70.47,74
Touches (Def Pen),3.04,39
Touches (Def 3rd),20.47,60
Touches (Mid 3rd),36.97,88
Touches (Att 3rd),17.65,46
Touches (Att Pen),1.52,58
Touches (Live-Ball),61.50,78
,,
Dribbles Completed,0.51,25
Dribbles Attempted,0.80,15
Successful Dribble %,63.6%,84
Players Dribbled Past,0.58,28
Nutmegs,0.07,52
,,
Carries,42.76,72
Total Carrying Distance,213.14,70
Progressive Carrying Distance,123.28,69
Progressive Carries,5.43,71
Carries into Final Third,1.66,60
Carries into Penalty Area,0.29,51
Miscontrols,0.43,94
Dispossessed,0.29,97
,,
Pass Targets,48.55,78
Passes Received,44.20,77
Passes Received %,91.1%,55
Progressive Passes Rec,2.24,52
Yellow Cards,0.14,63
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.87,78
Fouls Drawn,0.72,28
Offsides,0.22,10
Crosses,2.32,56
,,
Interceptions,2.53,91
Tackles Won,1.23,55
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,9.04,78
,,
Aerials won,1.01,40
Aerials lost,1.23,40
% of Aerials Won,45.2%,35
