--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,4
Assists,0.12,27
Non-Penalty Goals,0.04,6
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.12,60
Red Cards,0.00,56
,,
xG,0.14,12
npxG,0.14,16
xA,0.14,34
npxG+xA,0.28,17
Goals,0.04,4
Shots Total,1.68,27
Shots on target,0.51,21
Shots on target %,30.2%,23
Goals/Shot,0.02,6
Goals/Shot on target,0.08,7
Average Shot Distance,19.90,21
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.14,12
npxG,0.14,16
npxG/Sh,0.08,25
Goals - xG,-0.10,7
Non-Penalty Goals - npxG,-0.10,8
Passes Completed,31.74,60
Passes Attempted,40.36,58
Pass Completion %,78.6%,66
Total Passing Distance,478.66,51
Progressive Passing Distance,119.48,49
,,
Passes Completed (Short),18.17,72
Passes Attempted (Short),21.25,73
Pass Completion % (Short),85.5%,53
,,
Passes Completed (Medium),10.06,52
Passes Attempted (Medium),12.60,53
Pass Completion % (Medium),79.9%,55
,,
Passes Completed (Long),2.18,33
Passes Attempted (Long),3.67,30
Pass Completion % (Long),59.6%,69
Assists,0.12,27
xA,0.14,34
Key Passes,1.48,48
Passes into Final Third,1.75,49
Passes into Penalty Area,1.09,33
Crosses into Penalty Area,0.39,69
Progressive Passes,3.08,46
Passes Attempted,40.36,58
,,
Live-ball passes,38.92,65
Dead-ball passes,1.44,36
Passes from Free Kicks,0.31,42
Through Balls,0.04,23
Passes Under Pressure,7.37,63
Switches,0.51,17
Crosses,2.11,58
Corner Kicks,0.35,37
,,
Inswinging Corner Kicks,0.04,31
Outswinging Corner Kicks,0.04,36
Straight Corner Kicks,0.00,26
,,
Ground passes,31.39,69
Low Passes,4.84,53
High Passes,4.13,27
,,
Passes Attempted (Left),7.25,60
Passes Attempted (Right),31.00,70
Passes Attempted (Head),0.78,29
Throw-Ins taken,0.66,72
Passes Attempted (Other),0.16,30
,,
Passes Completed,31.74,60
Passes Offside,0.16,60
Passes Out of Bounds,0.47,70
Passes Intercepted,2.03,24
Passes Blocked,1.40,60
Shot-Creating Actions,3.12,45
,,
SCA (PassLive),2.42,67
SCA (PassDead),0.00,13
SCA (Drib),0.35,72
SCA (Sh),0.12,28
SCA (Fld),0.20,59
SCA (Def),0.04,27
,,
Goal-Creating Actions,0.39,44
,,
GCA (PassLive),0.23,46
GCA (PassDead),0.00,30
GCA (Drib),0.08,83
GCA (Sh),0.00,22
GCA (Fld),0.08,88
GCA (Def),0.00,40
Tackles,2.14,91
Tackles Won,1.33,90
Tackles (Def 3rd),0.78,86
Tackles (Mid 3rd),0.74,72
Tackles (Att 3rd),0.62,97
,,
Dribblers Tackled,0.82,95
Dribbles Contested,2.30,93
% of dribblers tackled,35.6%,73
Dribbled Past,1.48,15
,,
Pressures,20.28,78
Successful Pressures,5.46,74
Successful Pressure %,26.9%,40
Pressures (Def 3rd),4.99,84
Pressures (Mid 3rd),8.70,70
Pressures (Att 3rd),6.59,73
,,
Blocks,1.25,58
Shots Blocked,0.04,23
Shots Saved,0.00,49
Passes Blocked,1.21,63
,,
Interceptions,1.64,93
Tkl+Int,3.78,94
Clearances,0.35,44
Errors,0.00,57
Touches,54.55,64
Touches (Def Pen),0.86,54
Touches (Def 3rd),7.02,63
Touches (Mid 3rd),26.24,64
Touches (Att 3rd),25.66,56
Touches (Att Pen),3.08,25
Touches (Live-Ball),53.31,71
,,
Dribbles Completed,2.34,82
Dribbles Attempted,4.37,81
Successful Dribble %,53.6%,60
Players Dribbled Past,2.50,82
Nutmegs,0.47,94
,,
Carries,40.79,69
Total Carrying Distance,229.02,70
Progressive Carrying Distance,123.96,62
Progressive Carries,7.06,69
Carries into Final Third,2.07,60
Carries into Penalty Area,0.55,20
Miscontrols,2.14,51
Dispossessed,1.75,60
,,
Pass Targets,47.11,47
Passes Received,39.42,58
Passes Received %,83.7%,80
Progressive Passes Rec,5.85,42
Yellow Cards,0.12,60
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.72,24
Fouls Drawn,2.14,74
Offsides,0.04,97
Crosses,2.11,58
,,
Interceptions,1.64,93
Tackles Won,1.33,90
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,7.18,80
,,
Aerials won,0.66,46
Aerials lost,0.78,87
% of Aerials Won,45.9%,89
