--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.16,84
Assists,0.00,11
Non-Penalty Goals,0.16,87
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.16,71
Red Cards,0.00,61
,,
xG,0.05,31
npxG,0.05,33
xA,0.09,66
npxG+xA,0.13,40
Goals,0.16,84
Shots Total,0.32,4
Shots on target,0.16,24
Shots on target %,50.0%,99
Goals/Shot,0.50,99
Goals/Shot on target,1.00,98
Average Shot Distance,10.50,99
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.05,31
npxG,0.05,33
npxG/Sh,0.13,94
Goals - xG,+0.11,97
Non-Penalty Goals - npxG,+0.11,97
Passes Completed,32.00,20
Passes Attempted,38.30,16
Pass Completion %,83.5%,55
Total Passing Distance,672.24,32
Progressive Passing Distance,221.30,61
,,
Passes Completed (Short),11.82,12
Passes Attempted (Short),13.40,9
Pass Completion % (Short),88.2%,49
,,
Passes Completed (Medium),13.24,23
Passes Attempted (Medium),14.03,13
Pass Completion % (Medium),94.4%,97
,,
Passes Completed (Long),6.30,65
Passes Attempted (Long),9.77,67
Pass Completion % (Long),64.5%,34
Assists,0.00,11
xA,0.09,66
Key Passes,1.58,89
Passes into Final Third,2.99,30
Passes into Penalty Area,0.63,45
Crosses into Penalty Area,0.00,8
Progressive Passes,2.68,19
Passes Attempted,38.30,16
,,
Live-ball passes,32.63,8
Dead-ball passes,5.67,90
Passes from Free Kicks,2.36,86
Through Balls,0.00,11
Passes Under Pressure,3.31,1
Switches,2.68,81
Crosses,0.95,75
Corner Kicks,2.99,93
,,
Inswinging Corner Kicks,0.47,81
Outswinging Corner Kicks,1.89,98
Straight Corner Kicks,0.47,99
,,
Ground passes,25.85,17
Low Passes,3.63,8
High Passes,8.83,65
,,
Passes Attempted (Left),3.15,9
Passes Attempted (Right),32.63,38
Passes Attempted (Head),1.73,43
Throw-Ins taken,0.16,52
Passes Attempted (Other),0.00,1
,,
Passes Completed,32.00,20
Passes Offside,0.16,53
Passes Out of Bounds,0.47,87
Passes Intercepted,0.47,99
Passes Blocked,0.79,73
Shot-Creating Actions,2.21,62
,,
SCA (PassLive),0.79,9
SCA (PassDead),1.42,98
SCA (Drib),0.00,15
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.00,3
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.89,27
Tackles Won,1.10,23
Tackles (Def 3rd),0.63,20
Tackles (Mid 3rd),1.26,73
Tackles (Att 3rd),0.00,1
,,
Dribblers Tackled,1.26,95
Dribbles Contested,3.94,99
% of dribblers tackled,32.0%,29
Dribbled Past,2.68,1
,,
Pressures,21.44,75
Successful Pressures,4.41,15
Successful Pressure %,20.6%,1
Pressures (Def 3rd),5.83,49
Pressures (Mid 3rd),12.61,90
Pressures (Att 3rd),2.99,54
,,
Blocks,2.52,98
Shots Blocked,0.47,84
Shots Saved,0.00,45
Passes Blocked,2.05,98
,,
Interceptions,1.89,64
Tkl+Int,3.78,43
Clearances,2.21,91
Errors,0.00,67
Touches,48.39,13
Touches (Def Pen),3.31,76
Touches (Def 3rd),12.92,36
Touches (Mid 3rd),27.74,18
Touches (Att 3rd),10.56,30
Touches (Att Pen),1.73,74
Touches (Live-Ball),42.71,7
,,
Dribbles Completed,0.16,1
Dribbles Attempted,0.16,1
Successful Dribble %,100.0%,99
Players Dribbled Past,0.16,1
Nutmegs,0.00,17
,,
Carries,25.38,6
Total Carrying Distance,127.99,12
Progressive Carrying Distance,54.69,10
Progressive Carries,2.84,29
Carries into Final Third,0.79,25
Carries into Penalty Area,0.16,60
Miscontrols,1.10,34
Dispossessed,0.32,99
,,
Pass Targets,29.00,7
Passes Received,26.01,9
Passes Received %,89.7%,36
Progressive Passes Rec,1.26,31
Yellow Cards,0.16,71
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.89,32
Fouls Drawn,0.79,14
Offsides,0.00,77
Crosses,0.95,75
,,
Interceptions,1.89,64
Tackles Won,1.10,23
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,6.78,7
,,
Aerials won,0.79,30
Aerials lost,0.63,92
% of Aerials Won,55.6%,71
