--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.16,84
Assists,0.23,94
Non-Penalty Goals,0.16,87
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.31,24
Red Cards,0.00,61
,,
xG,0.18,92
npxG,0.18,95
xA,0.25,98
npxG+xA,0.43,98
Goals,0.16,84
Shots Total,1.64,89
Shots on target,0.86,99
Shots on target %,52.4%,99
Goals/Shot,0.10,72
Goals/Shot on target,0.18,37
Average Shot Distance,15.40,88
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.18,92
npxG,0.18,95
npxG/Sh,0.11,88
Goals - xG,-0.02,34
Non-Penalty Goals - npxG,-0.02,34
Passes Completed,57.47,89
Passes Attempted,66.31,90
Pass Completion %,86.7%,77
Total Passing Distance,992.89,79
Progressive Passing Distance,268.28,83
,,
Passes Completed (Short),29.09,95
Passes Attempted (Short),31.51,95
Pass Completion % (Short),92.3%,86
,,
Passes Completed (Medium),19.94,69
Passes Attempted (Medium),22.44,69
Pass Completion % (Medium),88.9%,59
,,
Passes Completed (Long),6.72,70
Passes Attempted (Long),9.54,66
Pass Completion % (Long),70.5%,54
Assists,0.23,94
xA,0.25,98
Key Passes,1.56,89
Passes into Final Third,5.40,82
Passes into Penalty Area,1.64,95
Crosses into Penalty Area,0.31,93
Progressive Passes,6.10,92
Passes Attempted,66.31,90
,,
Live-ball passes,64.74,90
Dead-ball passes,1.56,45
Passes from Free Kicks,0.94,40
Through Balls,0.16,77
Passes Under Pressure,9.15,70
Switches,1.33,46
Crosses,0.63,57
Corner Kicks,0.16,63
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,50.36,87
Low Passes,6.65,83
High Passes,9.31,69
,,
Passes Attempted (Left),11.89,80
Passes Attempted (Right),49.42,78
Passes Attempted (Head),2.81,85
Throw-Ins taken,0.47,86
Passes Attempted (Other),0.47,94
,,
Passes Completed,57.47,89
Passes Offside,0.16,53
Passes Out of Bounds,0.86,27
Passes Intercepted,1.64,32
Passes Blocked,1.02,43
Shot-Creating Actions,3.28,92
,,
SCA (PassLive),2.81,97
SCA (PassDead),0.00,23
SCA (Drib),0.08,67
SCA (Sh),0.23,95
SCA (Fld),0.08,57
SCA (Def),0.08,63
,,
Goal-Creating Actions,0.47,94
,,
GCA (PassLive),0.47,99
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,4.54,99
Tackles Won,2.81,99
Tackles (Def 3rd),2.27,99
Tackles (Mid 3rd),1.88,98
Tackles (Att 3rd),0.39,84
,,
Dribblers Tackled,1.09,88
Dribbles Contested,2.89,89
% of dribblers tackled,37.8%,56
Dribbled Past,1.80,12
,,
Pressures,21.82,77
Successful Pressures,6.88,82
Successful Pressure %,31.5%,64
Pressures (Def 3rd),9.70,96
Pressures (Mid 3rd),9.15,44
Pressures (Att 3rd),2.97,53
,,
Blocks,1.41,37
Shots Blocked,0.47,83
Shots Saved,0.00,45
Passes Blocked,0.94,20
,,
Interceptions,0.86,4
Tkl+Int,5.40,89
Clearances,1.09,40
Errors,0.00,67
Touches,78.27,90
Touches (Def Pen),2.97,69
Touches (Def 3rd),19.55,86
Touches (Mid 3rd),43.32,78
Touches (Att 3rd),19.63,85
Touches (Att Pen),3.44,97
Touches (Live-Ball),76.79,92
,,
Dribbles Completed,0.86,61
Dribbles Attempted,1.09,43
Successful Dribble %,78.6%,95
Players Dribbled Past,0.86,56
Nutmegs,0.08,70
,,
Carries,51.06,84
Total Carrying Distance,213.00,65
Progressive Carrying Distance,119.09,77
Progressive Carries,4.61,72
Carries into Final Third,1.49,70
Carries into Penalty Area,0.23,71
Miscontrols,0.94,44
Dispossessed,0.94,54
,,
Pass Targets,60.36,87
Passes Received,55.83,88
Passes Received %,92.5%,58
Progressive Passes Rec,3.91,90
Yellow Cards,0.31,24
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.42,11
Fouls Drawn,1.49,57
Offsides,0.08,22
Crosses,0.63,57
,,
Interceptions,0.86,4
Tackles Won,2.81,99
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.18,80
,,
Aerials won,1.72,71
Aerials lost,1.72,18
% of Aerials Won,50.0%,52
