--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.09,55
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.37,8
Red Cards,0.00,60
,,
xG,0.02,26
npxG,0.02,26
xA,0.03,9
npxG+xA,0.06,8
Goals,0.00,20
Shots Total,0.18,5
Shots on target,0.03,5
Shots on target %,16.7%,19
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,14.30,89
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.02,26
npxG,0.02,26
npxG/Sh,0.11,90
Goals - xG,-0.02,28
Non-Penalty Goals - npxG,-0.02,28
Passes Completed,39.26,47
Passes Attempted,50.25,44
Pass Completion %,78.1%,55
Total Passing Distance,637.12,33
Progressive Passing Distance,274.52,48
,,
Passes Completed (Short),20.10,61
Passes Attempted (Short),22.79,62
Pass Completion % (Short),88.2%,43
,,
Passes Completed (Medium),14.45,28
Passes Attempted (Medium),17.78,24
Pass Completion % (Medium),81.3%,51
,,
Passes Completed (Long),3.33,28
Passes Attempted (Long),6.57,28
Pass Completion % (Long),50.7%,44
Assists,0.09,55
xA,0.03,9
Key Passes,0.61,20
Passes into Final Third,2.35,40
Passes into Penalty Area,0.98,46
Crosses into Penalty Area,0.40,44
Progressive Passes,3.18,34
Passes Attempted,50.25,44
,,
Live-ball passes,41.49,47
Dead-ball passes,8.77,33
Passes from Free Kicks,1.37,80
Through Balls,0.00,18
Passes Under Pressure,6.63,63
Switches,0.76,29
Crosses,1.50,21
Corner Kicks,0.03,44
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,30.89,56
Low Passes,9.75,30
High Passes,9.62,34
,,
Passes Attempted (Left),3.54,17
Passes Attempted (Right),36.35,74
Passes Attempted (Head),1.89,53
Throw-Ins taken,7.36,22
Passes Attempted (Other),0.15,57
,,
Passes Completed,39.26,47
Passes Offside,0.12,63
Passes Out of Bounds,0.61,82
Passes Intercepted,1.83,49
Passes Blocked,1.89,36
Shot-Creating Actions,1.37,26
,,
SCA (PassLive),1.07,26
SCA (PassDead),0.09,49
SCA (Drib),0.09,71
SCA (Sh),0.06,68
SCA (Fld),0.06,52
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.21,60
,,
GCA (PassLive),0.12,44
GCA (PassDead),0.06,91
GCA (Drib),0.03,89
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.17,50
Tackles Won,1.16,47
Tackles (Def 3rd),1.13,46
Tackles (Mid 3rd),0.67,51
Tackles (Att 3rd),0.37,79
,,
Dribblers Tackled,0.86,48
Dribbles Contested,2.05,69
% of dribblers tackled,41.8%,25
Dribbled Past,1.19,23
,,
Pressures,14.66,69
Successful Pressures,4.86,78
Successful Pressure %,33.1%,73
Pressures (Def 3rd),5.56,50
Pressures (Mid 3rd),6.42,83
Pressures (Att 3rd),2.69,68
,,
Blocks,2.29,80
Shots Blocked,0.40,74
Shots Saved,0.00,41
Passes Blocked,1.89,78
,,
Interceptions,1.74,44
Tkl+Int,3.91,48
Clearances,1.80,41
Errors,0.09,4
Touches,60.37,38
Touches (Def Pen),3.94,67
Touches (Def 3rd),22.52,78
Touches (Mid 3rd),26.49,29
Touches (Att 3rd),14.76,19
Touches (Att Pen),1.01,30
Touches (Live-Ball),51.87,43
,,
Dribbles Completed,0.86,61
Dribbles Attempted,1.56,58
Successful Dribble %,54.9%,62
Players Dribbled Past,0.92,58
Nutmegs,0.09,60
,,
Carries,36.75,49
Total Carrying Distance,174.93,36
Progressive Carrying Distance,89.27,29
Progressive Carries,3.42,25
Carries into Final Third,1.31,34
Carries into Penalty Area,0.21,41
Miscontrols,1.01,39
Dispossessed,0.79,51
,,
Pass Targets,37.91,41
Passes Received,34.06,40
Passes Received %,89.8%,40
Progressive Passes Rec,1.77,35
Yellow Cards,0.37,8
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.31,34
Fouls Drawn,1.31,70
Offsides,0.00,89
Crosses,1.50,21
,,
Interceptions,1.74,44
Tackles Won,1.16,47
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,8.89,75
,,
Aerials won,1.47,71
Aerials lost,0.70,89
% of Aerials Won,67.6%,97
