--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.47,69
Assists,0.08,29
Non-Penalty Goals,0.39,68
Penalty Kicks Made,0.08,61
Penalty Kicks Attempted,0.08,55
Yellow Cards,0.24,24
Red Cards,0.00,55
,,
xG,0.22,1
npxG,0.17,1
xA,0.09,29
npxG+xA,0.25,1
Goals,0.47,69
Shots Total,1.34,1
Shots on target,0.47,1
Shots on target %,35.3%,32
Goals/Shot,0.29,99
Goals/Shot on target,0.83,99
Average Shot Distance,15.70,30
Shots from free kicks,0.00,30
Penalty Kicks Made,0.08,61
Penalty Kicks Attempted,0.08,55
,,
xG,0.22,1
npxG,0.17,1
npxG/Sh,0.12,32
Goals - xG,+0.25,99
Non-Penalty Goals - npxG,+0.23,96
Passes Completed,17.61,63
Passes Attempted,22.97,50
Pass Completion %,76.6%,82
Total Passing Distance,267.47,64
Progressive Passing Distance,45.95,53
,,
Passes Completed (Short),10.50,67
Passes Attempted (Short),12.39,55
Pass Completion % (Short),84.7%,89
,,
Passes Completed (Medium),4.18,28
Passes Attempted (Medium),5.76,26
Pass Completion % (Medium),72.6%,51
,,
Passes Completed (Long),1.89,80
Passes Attempted (Long),2.53,69
Pass Completion % (Long),75.0%,94
Assists,0.08,29
xA,0.09,29
Key Passes,0.95,45
Passes into Final Third,0.87,36
Passes into Penalty Area,0.47,27
Crosses into Penalty Area,0.24,84
Progressive Passes,1.18,29
Passes Attempted,22.97,50
,,
Live-ball passes,21.87,52
Dead-ball passes,1.11,31
Passes from Free Kicks,0.08,71
Through Balls,0.08,52
Passes Under Pressure,7.42,70
Switches,0.63,73
Crosses,0.63,41
Corner Kicks,0.08,82
,,
Inswinging Corner Kicks,0.08,85
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,16.42,67
Low Passes,2.92,8
High Passes,3.63,50
,,
Passes Attempted (Left),3.63,58
Passes Attempted (Right),16.26,65
Passes Attempted (Head),1.34,60
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.16,4
,,
Passes Completed,17.61,63
Passes Offside,0.00,94
Passes Out of Bounds,0.08,99
Passes Intercepted,0.71,93
Passes Blocked,0.79,74
Shot-Creating Actions,2.21,42
,,
SCA (PassLive),1.89,72
SCA (PassDead),0.00,36
SCA (Drib),0.16,50
SCA (Sh),0.16,30
SCA (Fld),0.00,1
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.47,78
,,
GCA (PassLive),0.32,82
GCA (PassDead),0.00,46
GCA (Drib),0.08,86
GCA (Sh),0.08,83
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,0.63,44
Tackles Won,0.39,41
Tackles (Def 3rd),0.08,30
Tackles (Mid 3rd),0.39,61
Tackles (Att 3rd),0.16,26
,,
Dribblers Tackled,0.24,78
Dribbles Contested,0.24,4
% of dribblers tackled,100.0%,99
Dribbled Past,0.00,99
,,
Pressures,13.34,33
Successful Pressures,3.16,23
Successful Pressure %,23.7%,18
Pressures (Def 3rd),1.26,49
Pressures (Mid 3rd),5.61,37
Pressures (Att 3rd),6.47,36
,,
Blocks,1.18,88
Shots Blocked,0.39,99
Shots Saved,0.00,48
Passes Blocked,0.79,66
,,
Interceptions,0.71,90
Tkl+Int,1.34,69
Clearances,0.24,12
Errors,0.00,53
Touches,34.03,41
Touches (Def Pen),0.63,31
Touches (Def 3rd),2.76,45
Touches (Mid 3rd),17.76,61
Touches (Att 3rd),15.39,26
Touches (Att Pen),4.34,20
Touches (Live-Ball),32.92,42
,,
Dribbles Completed,1.18,73
Dribbles Attempted,2.68,80
Successful Dribble %,44.1%,30
Players Dribbled Past,1.26,70
Nutmegs,0.08,50
,,
Carries,23.37,58
Total Carrying Distance,99.95,50
Progressive Carrying Distance,44.53,45
Progressive Carries,2.37,42
Carries into Final Third,0.71,34
Carries into Penalty Area,0.47,31
Miscontrols,2.53,57
Dispossessed,1.66,55
,,
Pass Targets,39.79,14
Passes Received,24.24,33
Passes Received %,60.9%,58
Progressive Passes Rec,6.32,34
Yellow Cards,0.24,24
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.03,70
Fouls Drawn,1.89,73
Offsides,0.32,85
Crosses,0.63,41
,,
Interceptions,0.71,90
Tackles Won,0.39,41
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.97,85
,,
Aerials won,1.82,44
Aerials lost,3.32,45
% of Aerials Won,35.4%,37
