--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.09,54
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.39,5
Red Cards,0.00,60
,,
xG,0.06,78
npxG,0.06,79
xA,0.08,47
npxG+xA,0.15,63
Goals,0.00,20
Shots Total,0.43,29
Shots on target,0.04,10
Shots on target %,10.0%,8
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,16.70,74
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.06,78
npxG,0.06,79
npxG/Sh,0.15,98
Goals - xG,-0.06,3
Non-Penalty Goals - npxG,-0.06,3
Passes Completed,26.12,2
Passes Attempted,36.63,1
Pass Completion %,71.3%,16
Total Passing Distance,528.80,8
Progressive Passing Distance,195.44,6
,,
Passes Completed (Short),9.56,1
Passes Attempted (Short),11.72,1
Pass Completion % (Short),81.5%,4
,,
Passes Completed (Medium),11.55,6
Passes Attempted (Medium),15.09,7
Pass Completion % (Medium),76.5%,20
,,
Passes Completed (Long),4.50,59
Passes Attempted (Long),8.17,53
Pass Completion % (Long),55.0%,63
Assists,0.09,54
xA,0.08,47
Key Passes,1.25,77
Passes into Final Third,1.64,11
Passes into Penalty Area,0.87,34
Crosses into Penalty Area,0.48,56
Progressive Passes,2.55,14
Passes Attempted,36.63,1
,,
Live-ball passes,28.11,1
Dead-ball passes,8.52,26
Passes from Free Kicks,0.69,34
Through Balls,0.04,56
Passes Under Pressure,4.93,15
Switches,1.38,70
Crosses,2.21,49
Corner Kicks,0.56,80
,,
Inswinging Corner Kicks,0.13,80
Outswinging Corner Kicks,0.17,81
Straight Corner Kicks,0.00,42
,,
Ground passes,17.65,2
Low Passes,7.09,3
High Passes,11.89,59
,,
Passes Attempted (Left),23.83,61
Passes Attempted (Right),2.90,8
Passes Attempted (Head),1.25,16
Throw-Ins taken,7.27,21
Passes Attempted (Other),0.35,96
,,
Passes Completed,26.12,2
Passes Offside,0.09,76
Passes Out of Bounds,0.48,92
Passes Intercepted,2.25,19
Passes Blocked,1.56,66
Shot-Creating Actions,2.16,72
,,
SCA (PassLive),1.47,60
SCA (PassDead),0.52,86
SCA (Drib),0.04,45
SCA (Sh),0.04,48
SCA (Fld),0.04,37
SCA (Def),0.04,60
,,
Goal-Creating Actions,0.17,49
,,
GCA (PassLive),0.09,32
GCA (PassDead),0.04,84
GCA (Drib),0.00,43
GCA (Sh),0.04,90
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.25,56
Tackles Won,1.21,53
Tackles (Def 3rd),1.21,52
Tackles (Mid 3rd),0.78,68
Tackles (Att 3rd),0.26,55
,,
Dribblers Tackled,0.26,1
Dribbles Contested,1.25,14
% of dribblers tackled,20.7%,1
Dribbled Past,0.99,40
,,
Pressures,18.16,93
Successful Pressures,4.76,75
Successful Pressure %,26.2%,11
Pressures (Def 3rd),6.18,68
Pressures (Mid 3rd),8.09,98
Pressures (Att 3rd),3.89,94
,,
Blocks,2.12,71
Shots Blocked,0.30,54
Shots Saved,0.00,41
Passes Blocked,1.82,70
,,
Interceptions,1.43,22
Tkl+Int,3.68,37
Clearances,1.30,17
Errors,0.00,70
Touches,47.66,1
Touches (Def Pen),2.34,14
Touches (Def 3rd),11.24,1
Touches (Mid 3rd),22.49,10
Touches (Att 3rd),16.30,34
Touches (Att Pen),1.21,41
Touches (Live-Ball),39.23,1
,,
Dribbles Completed,0.52,27
Dribbles Attempted,1.12,36
Successful Dribble %,46.2%,27
Players Dribbled Past,0.56,27
Nutmegs,0.00,9
,,
Carries,23.96,1
Total Carrying Distance,108.64,4
Progressive Carrying Distance,62.71,8
Progressive Carries,3.29,22
Carries into Final Third,0.95,12
Carries into Penalty Area,0.13,24
Miscontrols,1.34,17
Dispossessed,1.12,25
,,
Pass Targets,29.75,10
Passes Received,23.53,2
Passes Received %,79.1%,1
Progressive Passes Rec,2.85,74
Yellow Cards,0.39,5
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.90,4
Fouls Drawn,1.25,65
Offsides,0.17,16
Crosses,2.21,49
,,
Interceptions,1.43,22
Tackles Won,1.21,53
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.09,1
Own Goals,0.00,57
Ball Recoveries,7.01,23
,,
Aerials won,1.64,79
Aerials lost,1.86,6
% of Aerials Won,46.9%,40
