--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.12,74
Assists,0.12,70
Non-Penalty Goals,0.12,77
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.59,1
Red Cards,0.12,1
,,
xG,0.04,17
npxG,0.04,18
xA,0.09,65
npxG+xA,0.14,50
Goals,0.12,74
Shots Total,1.17,63
Shots on target,0.23,42
Shots on target %,20.0%,26
Goals/Shot,0.10,72
Goals/Shot on target,0.50,86
Average Shot Distance,24.30,12
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.04,17
npxG,0.04,18
npxG/Sh,0.03,4
Goals - xG,+0.08,94
Non-Penalty Goals - npxG,+0.08,95
Passes Completed,45.59,65
Passes Attempted,56.48,68
Pass Completion %,80.7%,36
Total Passing Distance,772.15,51
Progressive Passing Distance,237.19,70
,,
Passes Completed (Short),21.80,80
Passes Attempted (Short),25.31,83
Pass Completion % (Short),86.1%,28
,,
Passes Completed (Medium),17.23,51
Passes Attempted (Medium),19.69,49
Pass Completion % (Medium),87.5%,46
,,
Passes Completed (Long),4.57,33
Passes Attempted (Long),8.09,51
Pass Completion % (Long),56.5%,12
Assists,0.12,70
xA,0.09,65
Key Passes,1.29,78
Passes into Final Third,4.22,58
Passes into Penalty Area,1.64,95
Crosses into Penalty Area,0.00,8
Progressive Passes,5.98,91
Passes Attempted,56.48,68
,,
Live-ball passes,53.67,68
Dead-ball passes,2.81,74
Passes from Free Kicks,1.52,63
Through Balls,0.12,64
Passes Under Pressure,11.37,94
Switches,1.64,58
Crosses,1.29,86
Corner Kicks,0.94,78
,,
Inswinging Corner Kicks,0.35,78
Outswinging Corner Kicks,0.47,83
Straight Corner Kicks,0.00,38
,,
Ground passes,42.30,69
Low Passes,6.09,76
High Passes,8.09,58
,,
Passes Attempted (Left),1.99,2
Passes Attempted (Right),50.98,81
Passes Attempted (Head),1.52,32
Throw-Ins taken,0.35,77
Passes Attempted (Other),0.59,97
,,
Passes Completed,45.59,65
Passes Offside,0.23,25
Passes Out of Bounds,0.94,22
Passes Intercepted,1.88,19
Passes Blocked,1.41,13
Shot-Creating Actions,2.46,72
,,
SCA (PassLive),2.23,86
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.12,70
SCA (Fld),0.00,11
SCA (Def),0.12,85
,,
Goal-Creating Actions,0.35,82
,,
GCA (PassLive),0.35,92
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.64,18
Tackles Won,1.29,40
Tackles (Def 3rd),0.59,15
Tackles (Mid 3rd),0.82,26
Tackles (Att 3rd),0.23,43
,,
Dribblers Tackled,0.47,14
Dribbles Contested,1.29,8
% of dribblers tackled,36.4%,46
Dribbled Past,0.82,88
,,
Pressures,18.16,46
Successful Pressures,6.09,64
Successful Pressure %,33.5%,82
Pressures (Def 3rd),4.45,17
Pressures (Mid 3rd),10.20,64
Pressures (Att 3rd),3.52,68
,,
Blocks,2.11,89
Shots Blocked,0.35,65
Shots Saved,0.00,45
Passes Blocked,1.76,90
,,
Interceptions,1.17,16
Tkl+Int,2.81,13
Clearances,1.64,74
Errors,0.00,67
Touches,67.97,71
Touches (Def Pen),2.70,59
Touches (Def 3rd),13.36,40
Touches (Mid 3rd),38.67,62
Touches (Att 3rd),21.33,87
Touches (Att Pen),1.52,67
Touches (Live-Ball),65.27,71
,,
Dribbles Completed,0.94,65
Dribbles Attempted,1.17,50
Successful Dribble %,80.0%,96
Players Dribbled Past,0.94,60
Nutmegs,0.00,17
,,
Carries,49.92,80
Total Carrying Distance,292.97,91
Progressive Carrying Distance,153.75,92
Progressive Carries,7.62,96
Carries into Final Third,2.46,95
Carries into Penalty Area,0.70,98
Miscontrols,0.70,65
Dispossessed,2.11,3
,,
Pass Targets,51.56,70
Passes Received,46.41,69
Passes Received %,90.0%,37
Progressive Passes Rec,4.92,96
Yellow Cards,0.59,1
Red Cards,0.12,1
Second Yellow Card,0.12,1
Fouls Committed,2.70,4
Fouls Drawn,1.52,59
Offsides,0.23,2
Crosses,1.29,86
,,
Interceptions,1.17,16
Tackles Won,1.29,40
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.90,77
,,
Aerials won,1.29,55
Aerials lost,1.52,27
% of Aerials Won,45.8%,35
