--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.11,99
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.33,14
Red Cards,0.00,64
,,
xG,0.06,62
npxG,0.06,62
xA,0.04,91
npxG+xA,0.09,76
Goals,0.00,16
Shots Total,0.77,86
Shots on target,0.00,5
Shots on target %,0.0%,5
Goals/Shot,0.00,16
Average Shot Distance,10.00,63
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.06,62
npxG,0.06,62
npxG/Sh,0.07,31
Goals - xG,-0.06,3
Non-Penalty Goals - npxG,-0.06,3
Passes Completed,43.24,49
Passes Attempted,47.75,41
Pass Completion %,90.6%,88
Total Passing Distance,997.15,58
Progressive Passing Distance,300.15,45
,,
Passes Completed (Short),10.67,37
Passes Attempted (Short),11.66,36
Pass Completion % (Short),91.5%,59
,,
Passes Completed (Medium),21.01,42
Passes Attempted (Medium),22.45,39
Pass Completion % (Medium),93.6%,74
,,
Passes Completed (Long),10.89,84
Passes Attempted (Long),12.87,67
Pass Completion % (Long),84.6%,94
Assists,0.11,99
xA,0.04,91
Key Passes,0.33,86
Passes into Final Third,2.86,60
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,1.32,7
Passes Attempted,47.75,41
,,
Live-ball passes,45.77,42
Dead-ball passes,1.98,42
Passes from Free Kicks,1.76,62
Through Balls,0.11,96
Passes Under Pressure,3.30,2
Switches,0.99,26
Crosses,0.33,85
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,36.09,48
Low Passes,4.07,45
High Passes,7.59,27
,,
Passes Attempted (Left),7.81,48
Passes Attempted (Right),36.75,60
Passes Attempted (Head),1.65,6
Throw-Ins taken,0.00,1
Passes Attempted (Other),0.33,90
,,
Passes Completed,43.24,49
Passes Offside,0.11,50
Passes Out of Bounds,0.11,99
Passes Intercepted,0.55,87
Passes Blocked,0.11,99
Shot-Creating Actions,0.77,78
,,
SCA (PassLive),0.55,68
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.22,99
,,
Goal-Creating Actions,0.22,99
,,
GCA (PassLive),0.11,91
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.11,99
Tackles,2.20,84
Tackles Won,1.43,89
Tackles (Def 3rd),1.76,96
Tackles (Mid 3rd),0.22,9
Tackles (Att 3rd),0.22,94
,,
Dribblers Tackled,0.88,79
Dribbles Contested,1.65,81
% of dribblers tackled,53.3%,51
Dribbled Past,0.77,20
,,
Pressures,12.54,89
Successful Pressures,4.62,89
Successful Pressure %,36.8%,59
Pressures (Def 3rd),8.14,96
Pressures (Mid 3rd),3.96,69
Pressures (Att 3rd),0.44,47
,,
Blocks,1.43,24
Shots Blocked,0.55,21
Shots Saved,0.00,32
Passes Blocked,0.88,47
,,
Interceptions,1.87,37
Tkl+Int,4.07,63
Clearances,5.17,80
Errors,0.00,83
Touches,59.52,43
Touches (Def Pen),11.33,86
Touches (Def 3rd),36.20,66
Touches (Mid 3rd),23.66,27
Touches (Att 3rd),2.64,53
Touches (Att Pen),1.65,97
Touches (Live-Ball),57.76,47
,,
Dribbles Completed,0.99,99
Dribbles Attempted,1.10,99
Successful Dribble %,90.0%,88
Players Dribbled Past,0.99,99
Nutmegs,0.00,37
,,
Carries,34.00,44
Total Carrying Distance,164.49,30
Progressive Carrying Distance,79.44,29
Progressive Carries,2.20,48
Carries into Final Third,0.22,31
Carries into Penalty Area,0.11,96
Miscontrols,0.22,54
Dispossessed,0.11,79
,,
Pass Targets,37.19,45
Passes Received,36.64,46
Passes Received %,98.5%,75
Progressive Passes Rec,0.22,63
Yellow Cards,0.33,14
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.54,13
Fouls Drawn,0.33,19
Offsides,0.00,79
Crosses,0.33,85
,,
Interceptions,1.87,37
Tackles Won,1.43,89
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.11,2
Own Goals,0.00,60
Ball Recoveries,9.46,58
,,
Aerials won,2.97,65
Aerials lost,1.21,74
% of Aerials Won,71.1%,86
