--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.67,88
Assists,0.06,18
Non-Penalty Goals,0.56,87
Penalty Kicks Made,0.11,80
Penalty Kicks Attempted,0.11,69
Yellow Cards,0.11,61
Red Cards,0.00,55
,,
xG,0.36,40
npxG,0.27,23
xA,0.16,74
npxG+xA,0.42,41
Goals,0.67,88
Shots Total,2.94,74
Shots on target,1.22,77
Shots on target %,41.5%,68
Goals/Shot,0.19,87
Goals/Shot on target,0.45,84
Average Shot Distance,17.90,9
Shots from free kicks,0.28,93
Penalty Kicks Made,0.11,80
Penalty Kicks Attempted,0.11,69
,,
xG,0.36,40
npxG,0.27,23
npxG/Sh,0.09,7
Goals - xG,+0.31,99
Non-Penalty Goals - npxG,+0.28,99
Passes Completed,27.06,92
Passes Attempted,36.00,93
Pass Completion %,75.2%,75
Total Passing Distance,461.22,95
Progressive Passing Distance,109.39,93
,,
Passes Completed (Short),14.06,90
Passes Attempted (Short),16.83,88
Pass Completion % (Short),83.5%,82
,,
Passes Completed (Medium),9.39,96
Passes Attempted (Medium),11.67,95
Pass Completion % (Medium),80.5%,85
,,
Passes Completed (Long),2.89,92
Passes Attempted (Long),5.44,95
Pass Completion % (Long),53.1%,31
Assists,0.06,18
xA,0.16,74
Key Passes,2.06,97
Passes into Final Third,2.56,97
Passes into Penalty Area,1.28,89
Crosses into Penalty Area,0.28,91
Progressive Passes,3.39,95
Passes Attempted,36.00,93
,,
Live-ball passes,34.33,95
Dead-ball passes,1.67,58
Passes from Free Kicks,0.17,83
Through Balls,0.22,92
Passes Under Pressure,6.28,45
Switches,1.06,86
Crosses,1.11,74
Corner Kicks,0.94,93
,,
Inswinging Corner Kicks,0.17,86
Outswinging Corner Kicks,0.56,95
Straight Corner Kicks,0.06,94
,,
Ground passes,24.61,91
Low Passes,4.78,63
High Passes,6.61,88
,,
Passes Attempted (Left),2.33,31
Passes Attempted (Right),31.50,96
Passes Attempted (Head),1.17,50
Throw-Ins taken,0.11,50
Passes Attempted (Other),0.67,71
,,
Passes Completed,27.06,92
Passes Offside,0.22,11
Passes Out of Bounds,0.44,47
Passes Intercepted,1.67,11
Passes Blocked,1.39,19
Shot-Creating Actions,4.00,95
,,
SCA (PassLive),3.00,98
SCA (PassDead),0.22,91
SCA (Drib),0.17,55
SCA (Sh),0.22,54
SCA (Fld),0.28,78
SCA (Def),0.11,85
,,
Goal-Creating Actions,0.56,91
,,
GCA (PassLive),0.28,76
GCA (PassDead),0.00,46
GCA (Drib),0.06,77
GCA (Sh),0.11,93
GCA (Fld),0.06,72
GCA (Def),0.06,97
Tackles,0.89,66
Tackles Won,0.72,81
Tackles (Def 3rd),0.06,21
Tackles (Mid 3rd),0.56,83
Tackles (Att 3rd),0.28,65
,,
Dribblers Tackled,0.11,35
Dribbles Contested,1.06,88
% of dribblers tackled,10.5%,14
Dribbled Past,0.94,5
,,
Pressures,19.83,89
Successful Pressures,6.06,96
Successful Pressure %,30.5%,91
Pressures (Def 3rd),1.50,66
Pressures (Mid 3rd),8.22,85
Pressures (Att 3rd),10.11,93
,,
Blocks,0.33,3
Shots Blocked,0.11,46
Shots Saved,0.00,48
Passes Blocked,0.22,3
,,
Interceptions,0.44,61
Tkl+Int,1.33,68
Clearances,0.22,11
Errors,0.00,53
Touches,45.78,90
Touches (Def Pen),0.39,15
Touches (Def 3rd),3.83,79
Touches (Mid 3rd),20.06,80
Touches (Att 3rd),23.72,88
Touches (Att Pen),6.56,83
Touches (Live-Ball),43.72,91
,,
Dribbles Completed,0.72,40
Dribbles Attempted,1.28,27
Successful Dribble %,56.5%,82
Players Dribbled Past,0.78,37
Nutmegs,0.11,66
,,
Carries,30.44,85
Total Carrying Distance,125.28,72
Progressive Carrying Distance,71.89,74
Progressive Carries,4.72,85
Carries into Final Third,1.06,60
Carries into Penalty Area,1.39,89
Miscontrols,1.33,98
Dispossessed,1.22,83
,,
Pass Targets,49.00,71
Passes Received,36.83,93
Passes Received %,75.2%,97
Progressive Passes Rec,6.89,45
Yellow Cards,0.11,61
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.83,25
Fouls Drawn,1.50,47
Offsides,0.39,80
Crosses,1.11,74
,,
Interceptions,0.44,61
Tackles Won,0.72,81
Penalty Kicks Won,0.11,95
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.83,42
,,
Aerials won,0.28,4
Aerials lost,1.17,94
% of Aerials Won,19.2%,5
