--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.11,86
Assists,0.11,64
Non-Penalty Goals,0.11,86
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.44,2
Red Cards,0.00,60
,,
xG,0.07,79
npxG,0.07,80
xA,0.03,8
npxG+xA,0.10,33
Goals,0.11,86
Shots Total,0.99,83
Shots on target,0.44,93
Shots on target %,44.4%,91
Goals/Shot,0.11,76
Goals/Shot on target,0.25,56
Average Shot Distance,15.80,80
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.07,79
npxG,0.07,80
npxG/Sh,0.06,47
Goals - xG,+0.04,88
Non-Penalty Goals - npxG,+0.04,88
Passes Completed,22.64,1
Passes Attempted,35.67,1
Pass Completion %,63.5%,2
Total Passing Distance,404.06,1
Progressive Passing Distance,208.49,10
,,
Passes Completed (Short),11.04,3
Passes Attempted (Short),13.91,5
Pass Completion % (Short),79.4%,1
,,
Passes Completed (Medium),8.72,1
Passes Attempted (Medium),11.60,1
Pass Completion % (Medium),75.2%,12
,,
Passes Completed (Long),2.54,8
Passes Attempted (Long),7.18,38
Pass Completion % (Long),35.4%,4
Assists,0.11,64
xA,0.03,8
Key Passes,0.44,7
Passes into Final Third,1.88,23
Passes into Penalty Area,1.66,89
Crosses into Penalty Area,0.55,67
Progressive Passes,3.75,55
Passes Attempted,35.67,1
,,
Live-ball passes,28.60,1
Dead-ball passes,7.07,6
Passes from Free Kicks,0.22,4
Through Balls,0.00,18
Passes Under Pressure,4.97,16
Switches,1.10,53
Crosses,3.09,84
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,14.25,1
Low Passes,10.60,48
High Passes,10.82,48
,,
Passes Attempted (Left),2.21,4
Passes Attempted (Right),24.29,46
Passes Attempted (Head),1.33,20
Throw-Ins taken,6.85,17
Passes Attempted (Other),0.22,76
,,
Passes Completed,22.64,1
Passes Offside,0.33,11
Passes Out of Bounds,1.21,13
Passes Intercepted,2.21,21
Passes Blocked,2.87,1
Shot-Creating Actions,1.21,16
,,
SCA (PassLive),0.99,21
SCA (PassDead),0.11,54
SCA (Drib),0.00,15
SCA (Sh),0.00,15
SCA (Fld),0.11,81
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.11,28
,,
GCA (PassLive),0.11,40
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,1.66,25
Tackles Won,0.55,3
Tackles (Def 3rd),0.88,25
Tackles (Mid 3rd),0.55,30
Tackles (Att 3rd),0.22,43
,,
Dribblers Tackled,0.22,1
Dribbles Contested,1.10,8
% of dribblers tackled,20.0%,1
Dribbled Past,0.88,53
,,
Pressures,17.89,91
Successful Pressures,4.53,69
Successful Pressure %,25.3%,5
Pressures (Def 3rd),5.96,61
Pressures (Mid 3rd),7.95,98
Pressures (Att 3rd),3.98,96
,,
Blocks,1.88,52
Shots Blocked,0.33,65
Shots Saved,0.00,41
Passes Blocked,1.55,52
,,
Interceptions,1.33,14
Tkl+Int,2.98,16
Clearances,2.21,63
Errors,0.00,70
Touches,46.71,1
Touches (Def Pen),2.54,19
Touches (Def 3rd),9.94,1
Touches (Mid 3rd),20.65,3
Touches (Att 3rd),19.66,59
Touches (Att Pen),2.10,78
Touches (Live-Ball),39.98,2
,,
Dribbles Completed,1.10,78
Dribbles Attempted,1.77,66
Successful Dribble %,62.5%,82
Players Dribbled Past,1.33,81
Nutmegs,0.11,69
,,
Carries,25.62,5
Total Carrying Distance,121.69,8
Progressive Carrying Distance,69.90,10
Progressive Carries,3.53,28
Carries into Final Third,1.77,68
Carries into Penalty Area,0.22,41
Miscontrols,0.77,63
Dispossessed,0.77,54
,,
Pass Targets,29.48,8
Passes Received,24.52,4
Passes Received %,83.1%,5
Progressive Passes Rec,1.77,35
Yellow Cards,0.44,2
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,3.20,1
Fouls Drawn,1.21,64
Offsides,0.44,1
Crosses,3.09,84
,,
Interceptions,1.33,14
Tackles Won,0.55,3
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,7.29,30
,,
Aerials won,1.10,46
Aerials lost,1.66,10
% of Aerials Won,40.0%,22
