--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.03,33
Assists,0.00,31
Non-Penalty Goals,0.03,33
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.17,61
Red Cards,0.00,64
,,
xG,0.08,85
npxG,0.08,86
xA,0.00,10
npxG+xA,0.08,68
Goals,0.03,33
Shots Total,0.40,39
Shots on target,0.11,42
Shots on target %,28.6%,57
Goals/Shot,0.07,45
Goals/Shot on target,0.25,40
Average Shot Distance,11.30,49
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.08,85
npxG,0.08,86
npxG/Sh,0.19,96
Goals - xG,-0.05,5
Non-Penalty Goals - npxG,-0.05,5
Passes Completed,48.29,62
Passes Attempted,54.72,57
Pass Completion %,88.2%,70
Total Passing Distance,1049.57,64
Progressive Passing Distance,326.56,59
,,
Passes Completed (Short),11.60,45
Passes Attempted (Short),12.57,43
Pass Completion % (Short),92.2%,68
,,
Passes Completed (Medium),27.39,72
Passes Attempted (Medium),29.22,72
Pass Completion % (Medium),93.7%,75
,,
Passes Completed (Long),8.64,62
Passes Attempted (Long),11.86,51
Pass Completion % (Long),72.9%,67
Assists,0.00,31
xA,0.00,10
Key Passes,0.09,20
Passes into Final Third,2.18,33
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,2.12,32
Passes Attempted,54.72,57
,,
Live-ball passes,51.76,56
Dead-ball passes,2.96,75
Passes from Free Kicks,1.69,58
Through Balls,0.03,55
Passes Under Pressure,3.96,9
Switches,1.12,32
Crosses,0.03,16
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,43.67,65
Low Passes,3.50,22
High Passes,7.55,26
,,
Passes Attempted (Left),15.85,70
Passes Attempted (Right),35.68,58
Passes Attempted (Head),2.04,21
Throw-Ins taken,0.17,41
Passes Attempted (Other),0.09,22
,,
Passes Completed,48.29,62
Passes Offside,0.17,24
Passes Out of Bounds,0.43,93
Passes Intercepted,0.69,73
Passes Blocked,0.46,57
Shot-Creating Actions,0.52,47
,,
SCA (PassLive),0.52,62
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.03,27
,,
GCA (PassLive),0.03,37
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.41,88
Tackles Won,1.55,94
Tackles (Def 3rd),1.29,73
Tackles (Mid 3rd),1.06,95
Tackles (Att 3rd),0.06,44
,,
Dribblers Tackled,0.55,39
Dribbles Contested,1.00,38
% of dribblers tackled,54.3%,54
Dribbled Past,0.46,62
,,
Pressures,13.09,92
Successful Pressures,4.71,90
Successful Pressure %,36.0%,51
Pressures (Def 3rd),6.37,77
Pressures (Mid 3rd),6.11,94
Pressures (Att 3rd),0.60,66
,,
Blocks,2.18,87
Shots Blocked,1.03,82
Shots Saved,0.00,32
Passes Blocked,1.15,77
,,
Interceptions,2.58,80
Tkl+Int,5.00,89
Clearances,3.39,23
Errors,0.03,61
Touches,65.00,57
Touches (Def Pen),9.16,56
Touches (Def 3rd),37.92,78
Touches (Mid 3rd),29.11,51
Touches (Att 3rd),1.98,30
Touches (Att Pen),0.57,27
Touches (Live-Ball),62.18,56
,,
Dribbles Completed,0.23,61
Dribbles Attempted,0.40,66
Successful Dribble %,57.1%,28
Players Dribbled Past,0.29,69
Nutmegs,0.03,79
,,
Carries,40.16,59
Total Carrying Distance,205.72,52
Progressive Carrying Distance,107.00,54
Progressive Carries,1.32,19
Carries into Final Third,0.29,40
Carries into Penalty Area,0.03,68
Miscontrols,0.17,69
Dispossessed,0.14,67
,,
Pass Targets,42.83,58
Passes Received,42.17,58
Passes Received %,98.5%,75
Progressive Passes Rec,0.17,53
Yellow Cards,0.17,61
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.89,64
Fouls Drawn,0.37,23
Offsides,0.00,79
Crosses,0.03,16
,,
Interceptions,2.58,80
Tackles Won,1.55,94
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.03,19
Ball Recoveries,8.12,24
,,
Aerials won,1.78,16
Aerials lost,1.69,37
% of Aerials Won,51.2%,9
