--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.33,68
Assists,0.13,34
Non-Penalty Goals,0.33,76
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.30,12
Red Cards,0.03,10
,,
xG,0.24,54
npxG,0.24,61
xA,0.12,25
npxG+xA,0.37,43
Goals,0.33,68
Shots Total,2.37,64
Shots on target,0.82,61
Shots on target %,34.7%,41
Goals/Shot,0.14,68
Goals/Shot on target,0.40,77
Average Shot Distance,17.10,55
Shots from free kicks,0.10,68
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.24,54
npxG,0.24,61
npxG/Sh,0.10,47
Goals - xG,+0.09,79
Non-Penalty Goals - npxG,+0.09,81
Passes Completed,27.76,46
Passes Attempted,35.34,42
Pass Completion %,78.5%,65
Total Passing Distance,481.50,52
Progressive Passing Distance,81.59,16
,,
Passes Completed (Short),14.26,46
Passes Attempted (Short),16.09,41
Pass Completion % (Short),88.6%,81
,,
Passes Completed (Medium),9.49,49
Passes Attempted (Medium),11.53,43
Pass Completion % (Medium),82.3%,67
,,
Passes Completed (Long),3.35,65
Passes Attempted (Long),5.62,58
Pass Completion % (Long),59.6%,69
Assists,0.13,34
xA,0.12,25
Key Passes,1.51,50
Passes into Final Third,1.22,24
Passes into Penalty Area,1.15,36
Crosses into Penalty Area,0.07,7
Progressive Passes,2.33,28
Passes Attempted,35.34,42
,,
Live-ball passes,32.49,39
Dead-ball passes,2.86,60
Passes from Free Kicks,0.85,67
Through Balls,0.07,35
Passes Under Pressure,7.85,72
Switches,1.31,61
Crosses,0.89,11
Corner Kicks,1.31,61
,,
Inswinging Corner Kicks,0.59,63
Outswinging Corner Kicks,0.36,63
Straight Corner Kicks,0.13,87
,,
Ground passes,25.98,46
Low Passes,4.60,42
High Passes,4.76,38
,,
Passes Attempted (Left),10.25,67
Passes Attempted (Right),23.85,49
Passes Attempted (Head),0.46,4
Throw-Ins taken,0.20,15
Passes Attempted (Other),0.39,83
,,
Passes Completed,27.76,46
Passes Offside,0.20,44
Passes Out of Bounds,0.53,63
Passes Intercepted,1.54,55
Passes Blocked,1.25,72
Shot-Creating Actions,3.28,51
,,
SCA (PassLive),2.23,54
SCA (PassDead),0.33,59
SCA (Drib),0.16,33
SCA (Sh),0.13,36
SCA (Fld),0.30,83
SCA (Def),0.13,86
,,
Goal-Creating Actions,0.39,46
,,
GCA (PassLive),0.26,52
GCA (PassDead),0.00,30
GCA (Drib),0.03,54
GCA (Sh),0.00,22
GCA (Fld),0.07,86
GCA (Def),0.03,88
Tackles,1.12,30
Tackles Won,0.82,44
Tackles (Def 3rd),0.20,10
Tackles (Mid 3rd),0.56,45
Tackles (Att 3rd),0.36,66
,,
Dribblers Tackled,0.23,12
Dribbles Contested,0.89,16
% of dribblers tackled,25.9%,27
Dribbled Past,0.66,79
,,
Pressures,13.99,24
Successful Pressures,3.84,24
Successful Pressure %,27.5%,49
Pressures (Def 3rd),2.53,21
Pressures (Mid 3rd),6.44,34
Pressures (Att 3rd),5.03,37
,,
Blocks,0.89,23
Shots Blocked,0.13,75
Shots Saved,0.00,49
Passes Blocked,0.76,20
,,
Interceptions,0.76,31
Tkl+Int,1.87,23
Clearances,0.39,48
Errors,0.03,9
Touches,46.61,33
Touches (Def Pen),0.66,34
Touches (Def 3rd),6.87,60
Touches (Mid 3rd),21.74,43
Touches (Att 3rd),21.28,27
Touches (Att Pen),4.34,55
Touches (Live-Ball),43.78,31
,,
Dribbles Completed,0.89,12
Dribbles Attempted,1.64,10
Successful Dribble %,54.0%,63
Players Dribbled Past,1.02,17
Nutmegs,0.03,7
,,
Carries,34.03,32
Total Carrying Distance,168.11,19
Progressive Carrying Distance,68.42,6
Progressive Carries,3.81,8
Carries into Final Third,1.28,15
Carries into Penalty Area,0.79,39
Miscontrols,2.27,43
Dispossessed,2.17,36
,,
Pass Targets,43.16,31
Passes Received,34.62,39
Passes Received %,80.2%,60
Progressive Passes Rec,8.01,84
Yellow Cards,0.30,12
Red Cards,0.03,10
Second Yellow Card,0.03,5
Fouls Committed,0.95,70
Fouls Drawn,1.28,27
Offsides,0.16,72
Crosses,0.89,11
,,
Interceptions,0.76,31
Tackles Won,0.82,44
Penalty Kicks Won,0.03,70
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,5.22,23
,,
Aerials won,0.26,12
Aerials lost,0.92,78
% of Aerials Won,22.2%,14
