--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.03,40
Assists,0.13,69
Non-Penalty Goals,0.03,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.13,74
Red Cards,0.00,60
,,
xG,0.04,54
npxG,0.04,54
xA,0.10,59
npxG+xA,0.14,58
Goals,0.03,40
Shots Total,0.63,53
Shots on target,0.15,46
Shots on target %,24.0%,37
Goals/Shot,0.04,45
Goals/Shot on target,0.17,45
Average Shot Distance,11.70,96
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.04,54
npxG,0.04,54
npxG/Sh,0.06,47
Goals - xG,-0.02,37
Non-Penalty Goals - npxG,-0.02,37
Passes Completed,61.79,94
Passes Attempted,70.57,91
Pass Completion %,87.6%,96
Total Passing Distance,1042.86,91
Progressive Passing Distance,380.44,90
,,
Passes Completed (Short),30.34,94
Passes Attempted (Short),32.85,94
Pass Completion % (Short),92.4%,90
,,
Passes Completed (Medium),25.60,93
Passes Attempted (Medium),28.36,91
Pass Completion % (Medium),90.3%,96
,,
Passes Completed (Long),4.86,67
Passes Attempted (Long),6.62,29
Pass Completion % (Long),73.5%,97
Assists,0.13,69
xA,0.10,59
Key Passes,0.98,61
Passes into Final Third,4.41,94
Passes into Penalty Area,1.43,81
Crosses into Penalty Area,0.35,35
Progressive Passes,4.81,83
Passes Attempted,70.57,91
,,
Live-ball passes,59.61,91
Dead-ball passes,10.96,76
Passes from Free Kicks,1.76,90
Through Balls,0.03,37
Passes Under Pressure,7.77,87
Switches,1.28,64
Crosses,1.63,24
Corner Kicks,0.03,42
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,49.30,93
Low Passes,13.97,95
High Passes,7.30,12
,,
Passes Attempted (Left),9.75,54
Passes Attempted (Right),48.85,93
Passes Attempted (Head),1.60,35
Throw-Ins taken,9.18,64
Passes Attempted (Other),0.15,56
,,
Passes Completed,61.79,94
Passes Offside,0.10,70
Passes Out of Bounds,0.58,84
Passes Intercepted,1.66,61
Passes Blocked,1.88,38
Shot-Creating Actions,1.96,64
,,
SCA (PassLive),1.71,76
SCA (PassDead),0.05,26
SCA (Drib),0.08,63
SCA (Sh),0.08,73
SCA (Fld),0.05,45
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.25,71
,,
GCA (PassLive),0.18,64
GCA (PassDead),0.03,74
GCA (Drib),0.00,43
GCA (Sh),0.05,93
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.33,62
Tackles Won,1.43,71
Tackles (Def 3rd),1.45,72
Tackles (Mid 3rd),0.68,51
Tackles (Att 3rd),0.20,36
,,
Dribblers Tackled,1.10,73
Dribbles Contested,1.96,60
% of dribblers tackled,56.4%,78
Dribbled Past,0.85,56
,,
Pressures,12.26,43
Successful Pressures,4.14,58
Successful Pressure %,33.7%,81
Pressures (Def 3rd),5.52,49
Pressures (Mid 3rd),4.41,39
Pressures (Att 3rd),2.33,52
,,
Blocks,1.68,36
Shots Blocked,0.35,69
Shots Saved,0.03,83
Passes Blocked,1.33,27
,,
Interceptions,1.33,14
Tkl+Int,3.66,36
Clearances,1.25,14
Errors,0.03,39
Touches,79.92,91
Touches (Def Pen),3.74,61
Touches (Def 3rd),23.85,88
Touches (Mid 3rd),39.19,90
Touches (Att 3rd),22.24,78
Touches (Att Pen),2.86,90
Touches (Live-Ball),69.44,91
,,
Dribbles Completed,0.55,31
Dribbles Attempted,1.20,39
Successful Dribble %,45.8%,25
Players Dribbled Past,0.55,26
Nutmegs,0.05,36
,,
Carries,52.74,93
Total Carrying Distance,257.86,87
Progressive Carrying Distance,137.97,79
Progressive Carries,6.17,81
Carries into Final Third,2.41,92
Carries into Penalty Area,0.38,64
Miscontrols,0.75,64
Dispossessed,0.80,49
,,
Pass Targets,57.85,92
Passes Received,54.69,93
Passes Received %,94.5%,91
Progressive Passes Rec,2.91,75
Yellow Cards,0.13,74
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.35,32
Fouls Drawn,1.68,86
Offsides,0.23,10
Crosses,1.63,24
,,
Interceptions,1.33,14
Tackles Won,1.43,71
Penalty Kicks Won,0.03,85
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,6.85,20
,,
Aerials won,1.66,79
Aerials lost,0.90,76
% of Aerials Won,64.7%,92
