--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,50
Assists,0.10,64
Non-Penalty Goals,0.06,53
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.29,32
Red Cards,0.00,61
,,
xG,0.11,74
npxG,0.11,79
xA,0.09,63
npxG+xA,0.19,69
Goals,0.06,50
Shots Total,1.34,77
Shots on target,0.26,46
Shots on target %,19.0%,22
Goals/Shot,0.05,39
Goals/Shot on target,0.25,54
Average Shot Distance,20.90,42
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.11,74
npxG,0.11,79
npxG/Sh,0.08,67
Goals - xG,-0.04,19
Non-Penalty Goals - npxG,-0.04,20
Passes Completed,27.49,12
Passes Attempted,36.36,12
Pass Completion %,75.6%,11
Total Passing Distance,492.78,11
Progressive Passing Distance,142.52,18
,,
Passes Completed (Short),12.52,16
Passes Attempted (Short),15.23,20
Pass Completion % (Short),82.2%,7
,,
Passes Completed (Medium),11.56,14
Passes Attempted (Medium),13.86,12
Pass Completion % (Medium),83.4%,24
,,
Passes Completed (Long),2.84,10
Passes Attempted (Long),5.62,20
Pass Completion % (Long),50.6%,5
Assists,0.10,64
xA,0.09,63
Key Passes,1.09,70
Passes into Final Third,2.46,16
Passes into Penalty Area,0.83,64
Crosses into Penalty Area,0.03,18
Progressive Passes,3.45,38
Passes Attempted,36.36,12
,,
Live-ball passes,35.82,16
Dead-ball passes,0.54,6
Passes from Free Kicks,0.26,4
Through Balls,0.26,91
Passes Under Pressure,6.23,13
Switches,0.70,15
Crosses,0.45,45
Corner Kicks,0.06,58
,,
Inswinging Corner Kicks,0.06,67
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,23.85,11
Low Passes,5.27,50
High Passes,7.25,45
,,
Passes Attempted (Left),4.92,33
Passes Attempted (Right),28.83,27
Passes Attempted (Head),1.21,17
Throw-Ins taken,0.06,21
Passes Attempted (Other),0.45,91
,,
Passes Completed,27.49,12
Passes Offside,0.16,52
Passes Out of Bounds,0.86,27
Passes Intercepted,1.76,26
Passes Blocked,1.18,25
Shot-Creating Actions,2.33,67
,,
SCA (PassLive),1.82,70
SCA (PassDead),0.03,50
SCA (Drib),0.19,90
SCA (Sh),0.10,61
SCA (Fld),0.19,88
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.13,33
,,
GCA (PassLive),0.13,50
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.01,36
Tackles Won,1.34,45
Tackles (Def 3rd),0.86,43
Tackles (Mid 3rd),1.02,48
Tackles (Att 3rd),0.13,13
,,
Dribblers Tackled,0.80,59
Dribbles Contested,2.04,57
% of dribblers tackled,39.1%,60
Dribbled Past,1.25,47
,,
Pressures,20.59,70
Successful Pressures,5.62,51
Successful Pressure %,27.3%,22
Pressures (Def 3rd),5.84,50
Pressures (Mid 3rd),10.47,66
Pressures (Att 3rd),4.28,84
,,
Blocks,1.40,36
Shots Blocked,0.19,30
Shots Saved,0.03,94
Passes Blocked,1.21,45
,,
Interceptions,1.53,36
Tkl+Int,3.54,33
Clearances,1.02,34
Errors,0.00,67
Touches,48.37,13
Touches (Def Pen),2.01,32
Touches (Def 3rd),12.55,31
Touches (Mid 3rd),27.07,15
Touches (Att 3rd),12.20,42
Touches (Att Pen),1.72,74
Touches (Live-Ball),47.89,17
,,
Dribbles Completed,0.57,39
Dribbles Attempted,1.37,58
Successful Dribble %,41.9%,4
Players Dribbled Past,0.67,43
Nutmegs,0.10,76
,,
Carries,32.18,24
Total Carrying Distance,143.92,20
Progressive Carrying Distance,77.29,34
Progressive Carries,2.81,29
Carries into Final Third,1.47,70
Carries into Penalty Area,0.26,74
Miscontrols,1.63,9
Dispossessed,1.34,26
,,
Pass Targets,36.33,25
Passes Received,31.54,25
Passes Received %,86.8%,19
Progressive Passes Rec,2.14,63
Yellow Cards,0.29,32
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.43,10
Fouls Drawn,2.43,93
Offsides,0.03,49
Crosses,0.45,45
,,
Interceptions,1.53,36
Tackles Won,1.34,45
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.03,17
Own Goals,0.00,53
Ball Recoveries,9.13,38
,,
Aerials won,1.09,47
Aerials lost,1.53,27
% of Aerials Won,41.5%,22
