--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.11,43
Non-Penalty Goals,0.00,1
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.11,64
Red Cards,0.00,55
,,
xG,0.06,1
npxG,0.06,1
xA,0.14,66
npxG+xA,0.20,1
Goals,0.00,1
Shots Total,0.75,1
Shots on target,0.43,1
Shots on target %,57.1%,99
Goals/Shot,0.00,1
Goals/Shot on target,0.00,1
Average Shot Distance,14.70,48
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.06,1
npxG,0.06,1
npxG/Sh,0.09,7
Goals - xG,-0.06,25
Non-Penalty Goals - npxG,-0.06,25
Passes Completed,19.54,74
Passes Attempted,26.58,71
Pass Completion %,73.5%,64
Total Passing Distance,291.03,69
Progressive Passing Distance,77.08,82
,,
Passes Completed (Short),10.25,66
Passes Attempted (Short),13.67,70
Pass Completion % (Short),75.0%,25
,,
Passes Completed (Medium),6.51,77
Passes Attempted (Medium),8.22,71
Pass Completion % (Medium),79.2%,81
,,
Passes Completed (Long),1.39,64
Passes Attempted (Long),2.14,62
Pass Completion % (Long),65.0%,70
Assists,0.11,43
xA,0.14,66
Key Passes,0.96,46
Passes into Final Third,1.17,62
Passes into Penalty Area,0.64,47
Crosses into Penalty Area,0.00,7
Progressive Passes,2.14,77
Passes Attempted,26.58,71
,,
Live-ball passes,25.52,74
Dead-ball passes,1.07,30
Passes from Free Kicks,0.00,20
Through Balls,0.11,66
Passes Under Pressure,7.58,72
Switches,0.00,1
Crosses,0.32,12
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,19.96,82
Low Passes,4.48,54
High Passes,2.14,13
,,
Passes Attempted (Left),19.11,93
Passes Attempted (Right),5.55,15
Passes Attempted (Head),1.07,42
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.21,9
,,
Passes Completed,19.54,74
Passes Offside,0.21,12
Passes Out of Bounds,0.21,84
Passes Intercepted,1.92,4
Passes Blocked,0.75,78
Shot-Creating Actions,2.14,38
,,
SCA (PassLive),1.49,42
SCA (PassDead),0.00,36
SCA (Drib),0.11,37
SCA (Sh),0.11,12
SCA (Fld),0.43,93
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.21,29
,,
GCA (PassLive),0.21,61
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.00,18
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,0.43,23
Tackles Won,0.32,31
Tackles (Def 3rd),0.11,44
Tackles (Mid 3rd),0.00,1
Tackles (Att 3rd),0.32,78
,,
Dribblers Tackled,0.00,3
Dribbles Contested,0.64,51
% of dribblers tackled,0.0%,3
Dribbled Past,0.64,23
,,
Pressures,11.21,18
Successful Pressures,3.84,45
Successful Pressure %,34.3%,99
Pressures (Def 3rd),0.96,34
Pressures (Mid 3rd),4.48,18
Pressures (Att 3rd),5.77,19
,,
Blocks,0.64,31
Shots Blocked,0.32,94
Shots Saved,0.00,48
Passes Blocked,0.32,7
,,
Interceptions,0.53,75
Tkl+Int,0.96,36
Clearances,0.00,1
Errors,0.00,53
Touches,38.65,63
Touches (Def Pen),0.11,1
Touches (Def 3rd),3.42,67
Touches (Mid 3rd),19.96,79
Touches (Att 3rd),16.55,32
Touches (Att Pen),3.31,2
Touches (Live-Ball),37.58,67
,,
Dribbles Completed,0.96,57
Dribbles Attempted,2.03,61
Successful Dribble %,47.4%,43
Players Dribbled Past,1.07,58
Nutmegs,0.32,96
,,
Carries,30.11,85
Total Carrying Distance,103.45,53
Progressive Carrying Distance,36.09,26
Progressive Carries,1.92,23
Carries into Final Third,0.43,13
Carries into Penalty Area,0.43,26
Miscontrols,3.20,24
Dispossessed,2.35,20
,,
Pass Targets,47.62,66
Passes Received,30.85,75
Passes Received %,64.8%,77
Progressive Passes Rec,8.65,80
Yellow Cards,0.11,64
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,0.53,96
Fouls Drawn,4.16,99
Offsides,0.64,36
Crosses,0.32,12
,,
Interceptions,0.53,75
Tackles Won,0.32,31
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.48,67
,,
Aerials won,0.75,16
Aerials lost,2.35,72
% of Aerials Won,24.1%,12
