--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,69
Assists,0.05,37
Non-Penalty Goals,0.09,71
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.38,17
Red Cards,0.00,61
,,
xG,0.04,24
npxG,0.04,26
xA,0.10,70
npxG+xA,0.14,50
Goals,0.09,69
Shots Total,0.85,38
Shots on target,0.33,63
Shots on target %,38.9%,88
Goals/Shot,0.11,75
Goals/Shot on target,0.29,60
Average Shot Distance,22.70,27
Shots from free kicks,0.14,91
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.04,24
npxG,0.04,26
npxG/Sh,0.05,25
Goals - xG,+0.05,86
Non-Penalty Goals - npxG,+0.05,87
Passes Completed,52.82,82
Passes Attempted,61.53,81
Pass Completion %,85.8%,71
Total Passing Distance,1041.11,83
Progressive Passing Distance,293.68,88
,,
Passes Completed (Short),21.84,80
Passes Attempted (Short),23.73,77
Pass Completion % (Short),92.0%,85
,,
Passes Completed (Medium),21.41,75
Passes Attempted (Medium),24.02,76
Pass Completion % (Medium),89.2%,61
,,
Passes Completed (Long),8.43,84
Passes Attempted (Long),12.03,83
Pass Completion % (Long),70.1%,51
Assists,0.05,37
xA,0.10,70
Key Passes,1.04,66
Passes into Final Third,4.88,73
Passes into Penalty Area,1.04,76
Crosses into Penalty Area,0.19,79
Progressive Passes,5.97,91
Passes Attempted,61.53,81
,,
Live-ball passes,57.51,78
Dead-ball passes,4.03,83
Passes from Free Kicks,2.98,91
Through Balls,0.28,93
Passes Under Pressure,9.71,79
Switches,2.98,85
Crosses,0.90,71
Corner Kicks,0.85,77
,,
Inswinging Corner Kicks,0.24,74
Outswinging Corner Kicks,0.28,76
Straight Corner Kicks,0.05,82
,,
Ground passes,46.33,78
Low Passes,4.64,32
High Passes,10.56,80
,,
Passes Attempted (Left),52.48,99
Passes Attempted (Right),6.11,7
Passes Attempted (Head),1.94,51
Throw-Ins taken,0.19,59
Passes Attempted (Other),0.05,3
,,
Passes Completed,52.82,82
Passes Offside,0.33,7
Passes Out of Bounds,0.85,29
Passes Intercepted,1.56,40
Passes Blocked,0.43,98
Shot-Creating Actions,2.56,75
,,
SCA (PassLive),1.61,60
SCA (PassDead),0.38,80
SCA (Drib),0.14,84
SCA (Sh),0.09,60
SCA (Fld),0.24,95
SCA (Def),0.09,74
,,
Goal-Creating Actions,0.09,23
,,
GCA (PassLive),0.09,35
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,3.32,93
Tackles Won,2.32,95
Tackles (Def 3rd),1.47,90
Tackles (Mid 3rd),1.56,91
Tackles (Att 3rd),0.28,59
,,
Dribblers Tackled,1.33,97
Dribbles Contested,2.94,89
% of dribblers tackled,45.2%,83
Dribbled Past,1.61,20
,,
Pressures,23.87,88
Successful Pressures,7.82,94
Successful Pressure %,32.7%,75
Pressures (Def 3rd),7.77,84
Pressures (Mid 3rd),12.51,89
Pressures (Att 3rd),3.60,70
,,
Blocks,1.18,19
Shots Blocked,0.28,51
Shots Saved,0.00,45
Passes Blocked,0.90,16
,,
Interceptions,2.65,94
Tkl+Int,5.97,96
Clearances,1.04,35
Errors,0.00,67
Touches,73.94,84
Touches (Def Pen),3.03,69
Touches (Def 3rd),18.85,83
Touches (Mid 3rd),45.52,85
Touches (Att 3rd),15.96,70
Touches (Att Pen),0.81,31
Touches (Live-Ball),70.67,85
,,
Dribbles Completed,2.08,99
Dribbles Attempted,2.61,94
Successful Dribble %,80.0%,96
Players Dribbled Past,2.13,99
Nutmegs,0.05,55
,,
Carries,54.62,88
Total Carrying Distance,332.05,98
Progressive Carrying Distance,147.17,88
Progressive Carries,5.78,85
Carries into Final Third,1.80,80
Carries into Penalty Area,0.09,41
Miscontrols,1.52,13
Dispossessed,1.71,10
,,
Pass Targets,53.95,75
Passes Received,49.41,76
Passes Received %,91.6%,48
Progressive Passes Rec,1.75,52
Yellow Cards,0.38,17
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.85,34
Fouls Drawn,2.98,98
Offsides,0.00,77
Crosses,0.90,71
,,
Interceptions,2.65,94
Tackles Won,2.32,95
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.05,6
Own Goals,0.00,53
Ball Recoveries,11.04,77
,,
Aerials won,1.04,46
Aerials lost,1.28,42
% of Aerials Won,44.9%,33
