--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,51
Assists,0.06,51
Non-Penalty Goals,0.06,53
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.26,38
Red Cards,0.06,4
,,
xG,0.01,3
npxG,0.01,3
xA,0.04,25
npxG+xA,0.05,7
Goals,0.06,51
Shots Total,0.39,7
Shots on target,0.06,8
Shots on target %,16.7%,17
Goals/Shot,0.17,93
Goals/Shot on target,1.00,98
Average Shot Distance,22.70,27
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.01,3
npxG,0.01,3
npxG/Sh,0.03,4
Goals - xG,+0.05,85
Non-Penalty Goals - npxG,+0.05,86
Passes Completed,43.64,59
Passes Attempted,51.79,57
Pass Completion %,84.3%,62
Total Passing Distance,781.62,52
Progressive Passing Distance,241.10,72
,,
Passes Completed (Short),19.33,66
Passes Attempted (Short),21.79,66
Pass Completion % (Short),88.7%,55
,,
Passes Completed (Medium),18.94,64
Passes Attempted (Medium),22.44,69
Pass Completion % (Medium),84.4%,29
,,
Passes Completed (Long),4.53,33
Passes Attempted (Long),5.50,18
Pass Completion % (Long),82.4%,92
Assists,0.06,51
xA,0.04,25
Key Passes,0.84,49
Passes into Final Third,4.85,71
Passes into Penalty Area,0.84,65
Crosses into Penalty Area,0.00,8
Progressive Passes,4.72,74
Passes Attempted,51.79,57
,,
Live-ball passes,50.88,61
Dead-ball passes,0.91,19
Passes from Free Kicks,0.58,18
Through Balls,0.00,11
Passes Under Pressure,9.70,78
Switches,0.97,30
Crosses,0.06,4
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,39.25,60
Low Passes,5.24,49
High Passes,7.31,46
,,
Passes Attempted (Left),4.53,26
Passes Attempted (Right),41.90,63
Passes Attempted (Head),3.23,94
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.26,61
,,
Passes Completed,43.64,59
Passes Offside,0.32,8
Passes Out of Bounds,0.71,48
Passes Intercepted,1.75,26
Passes Blocked,0.91,57
Shot-Creating Actions,2.33,66
,,
SCA (PassLive),2.07,82
SCA (PassDead),0.00,23
SCA (Drib),0.06,62
SCA (Sh),0.00,9
SCA (Fld),0.13,76
SCA (Def),0.06,51
,,
Goal-Creating Actions,0.26,70
,,
GCA (PassLive),0.19,66
GCA (PassDead),0.00,39
GCA (Drib),0.06,99
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.00,35
Tackles Won,1.16,30
Tackles (Def 3rd),0.84,40
Tackles (Mid 3rd),0.84,28
Tackles (Att 3rd),0.32,67
,,
Dribblers Tackled,0.39,7
Dribbles Contested,1.29,8
% of dribblers tackled,30.0%,19
Dribbled Past,0.91,82
,,
Pressures,16.23,26
Successful Pressures,6.01,61
Successful Pressure %,37.1%,97
Pressures (Def 3rd),7.11,74
Pressures (Mid 3rd),7.37,14
Pressures (Att 3rd),1.75,13
,,
Blocks,2.07,87
Shots Blocked,0.45,81
Shots Saved,0.00,45
Passes Blocked,1.62,82
,,
Interceptions,2.65,94
Tkl+Int,4.66,73
Clearances,1.94,84
Errors,0.00,67
Touches,62.97,58
Touches (Def Pen),4.46,94
Touches (Def 3rd),19.53,86
Touches (Mid 3rd),35.50,47
Touches (Att 3rd),11.25,34
Touches (Att Pen),0.39,7
Touches (Live-Ball),62.07,61
,,
Dribbles Completed,1.68,95
Dribbles Attempted,1.88,81
Successful Dribble %,89.7%,99
Players Dribbled Past,1.75,95
Nutmegs,0.13,88
,,
Carries,38.21,47
Total Carrying Distance,162.16,30
Progressive Carrying Distance,64.27,18
Progressive Carries,2.26,16
Carries into Final Third,0.97,39
Carries into Penalty Area,0.00,7
Miscontrols,1.49,14
Dispossessed,0.71,75
,,
Pass Targets,42.16,46
Passes Received,39.89,50
Passes Received %,94.6%,78
Progressive Passes Rec,1.23,29
Yellow Cards,0.26,38
Red Cards,0.06,4
Second Yellow Card,0.06,3
Fouls Committed,1.29,75
Fouls Drawn,0.58,6
Offsides,0.00,77
Crosses,0.06,4
,,
Interceptions,2.65,94
Tackles Won,1.16,30
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.57,85
,,
Aerials won,1.94,75
Aerials lost,1.55,25
% of Aerials Won,55.6%,71
