--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.35,41
Assists,0.11,45
Non-Penalty Goals,0.27,35
Penalty Kicks Made,0.08,62
Penalty Kicks Attempted,0.11,69
Yellow Cards,0.24,22
Red Cards,0.00,55
,,
xG,0.35,39
npxG,0.27,21
xA,0.08,25
npxG+xA,0.35,19
Goals,0.35,41
Shots Total,2.36,38
Shots on target,0.89,43
Shots on target %,37.9%,48
Goals/Shot,0.11,31
Goals/Shot on target,0.30,29
Average Shot Distance,14.30,51
Shots from free kicks,0.05,68
Penalty Kicks Made,0.08,62
Penalty Kicks Attempted,0.11,69
,,
xG,0.35,39
npxG,0.27,21
npxG/Sh,0.11,22
Goals - xG,0.00,53
Non-Penalty Goals - npxG,0.00,52
Passes Completed,14.16,28
Passes Attempted,19.93,25
Pass Completion %,71.1%,47
Total Passing Distance,262.20,62
Progressive Passing Distance,45.80,51
,,
Passes Completed (Short),5.93,3
Passes Attempted (Short),7.56,4
Pass Completion % (Short),78.5%,53
,,
Passes Completed (Medium),5.93,72
Passes Attempted (Medium),7.96,68
Pass Completion % (Medium),74.5%,63
,,
Passes Completed (Long),1.87,78
Passes Attempted (Long),2.84,76
Pass Completion % (Long),65.7%,73
Assists,0.11,45
xA,0.08,25
Key Passes,0.73,19
Passes into Final Third,0.62,19
Passes into Penalty Area,0.62,45
Crosses into Penalty Area,0.08,45
Progressive Passes,1.46,46
Passes Attempted,19.93,25
,,
Live-ball passes,17.69,21
Dead-ball passes,2.25,83
Passes from Free Kicks,0.11,78
Through Balls,0.03,22
Passes Under Pressure,4.74,13
Switches,0.87,84
Crosses,0.57,36
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,11.97,25
Low Passes,3.74,30
High Passes,4.23,62
,,
Passes Attempted (Left),2.36,32
Passes Attempted (Right),13.84,43
Passes Attempted (Head),1.73,76
Throw-Ins taken,0.11,49
Passes Attempted (Other),0.51,55
,,
Passes Completed,14.16,28
Passes Offside,0.03,87
Passes Out of Bounds,0.54,33
Passes Intercepted,0.70,94
Passes Blocked,0.73,81
Shot-Creating Actions,2.17,39
,,
SCA (PassLive),1.38,35
SCA (PassDead),0.00,36
SCA (Drib),0.11,38
SCA (Sh),0.38,92
SCA (Fld),0.19,55
SCA (Def),0.11,85
,,
Goal-Creating Actions,0.19,18
,,
GCA (PassLive),0.14,33
GCA (PassDead),0.00,46
GCA (Drib),0.03,51
GCA (Sh),0.00,18
GCA (Fld),0.03,39
GCA (Def),0.00,40
Tackles,0.60,42
Tackles Won,0.46,51
Tackles (Def 3rd),0.11,45
Tackles (Mid 3rd),0.30,48
Tackles (Att 3rd),0.19,32
,,
Dribblers Tackled,0.14,44
Dribbles Contested,0.41,22
% of dribblers tackled,33.3%,70
Dribbled Past,0.27,80
,,
Pressures,13.05,30
Successful Pressures,3.17,24
Successful Pressure %,24.3%,23
Pressures (Def 3rd),1.41,62
Pressures (Mid 3rd),5.77,42
Pressures (Att 3rd),5.88,22
,,
Blocks,0.62,30
Shots Blocked,0.16,65
Shots Saved,0.00,48
Passes Blocked,0.46,23
,,
Interceptions,0.35,43
Tkl+Int,0.95,35
Clearances,0.62,46
Errors,0.00,53
Touches,31.50,24
Touches (Def Pen),0.79,47
Touches (Def 3rd),2.60,37
Touches (Mid 3rd),15.74,38
Touches (Att 3rd),14.76,19
Touches (Att Pen),4.47,22
Touches (Live-Ball),29.22,22
,,
Dribbles Completed,0.87,52
Dribbles Attempted,1.76,51
Successful Dribble %,49.2%,54
Players Dribbled Past,0.98,53
Nutmegs,0.14,72
,,
Carries,19.55,34
Total Carrying Distance,100.70,51
Progressive Carrying Distance,45.80,47
Progressive Carries,2.38,43
Carries into Final Third,0.87,50
Carries into Penalty Area,0.38,22
Miscontrols,2.41,65
Dispossessed,1.73,48
,,
Pass Targets,40.52,18
Passes Received,22.21,21
Passes Received %,54.8%,32
Progressive Passes Rec,6.01,24
Yellow Cards,0.24,22
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.09,14
Fouls Drawn,2.46,89
Offsides,0.84,24
Crosses,0.57,36
,,
Interceptions,0.35,43
Tackles Won,0.46,51
Penalty Kicks Won,0.03,46
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.12,52
,,
Aerials won,2.25,57
Aerials lost,3.82,36
% of Aerials Won,37.1%,42
