--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,11
Assists,0.13,35
Non-Penalty Goals,0.09,13
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.18,40
Red Cards,0.00,56
,,
xG,0.11,7
npxG,0.11,10
xA,0.15,40
npxG+xA,0.26,15
Goals,0.09,11
Shots Total,1.87,39
Shots on target,0.67,43
Shots on target %,35.7%,49
Goals/Shot,0.05,15
Goals/Shot on target,0.13,12
Average Shot Distance,20.60,14
Shots from free kicks,0.09,65
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.11,7
npxG,0.11,10
npxG/Sh,0.06,7
Goals - xG,-0.02,36
Non-Penalty Goals - npxG,-0.02,37
Passes Completed,26.78,43
Passes Attempted,37.92,51
Pass Completion %,70.6%,22
Total Passing Distance,465.82,49
Progressive Passing Distance,163.20,71
,,
Passes Completed (Short),12.03,26
Passes Attempted (Short),14.52,26
Pass Completion % (Short),82.8%,29
,,
Passes Completed (Medium),11.18,63
Passes Attempted (Medium),14.84,72
Pass Completion % (Medium),75.4%,30
,,
Passes Completed (Long),2.76,51
Passes Attempted (Long),5.88,60
Pass Completion % (Long),47.0%,20
Assists,0.13,35
xA,0.15,40
Key Passes,1.87,69
Passes into Final Third,2.45,66
Passes into Penalty Area,1.16,37
Crosses into Penalty Area,0.36,62
Progressive Passes,3.43,53
Passes Attempted,37.92,51
,,
Live-ball passes,34.62,50
Dead-ball passes,3.30,65
Passes from Free Kicks,0.76,62
Through Balls,0.00,8
Passes Under Pressure,6.46,35
Switches,0.98,43
Crosses,2.67,78
Corner Kicks,1.29,60
,,
Inswinging Corner Kicks,0.13,40
Outswinging Corner Kicks,0.67,73
Straight Corner Kicks,0.13,88
,,
Ground passes,25.17,42
Low Passes,6.15,82
High Passes,6.59,62
,,
Passes Attempted (Left),4.41,34
Passes Attempted (Right),30.83,69
Passes Attempted (Head),1.38,79
Throw-Ins taken,0.58,67
Passes Attempted (Other),0.27,55
,,
Passes Completed,26.78,43
Passes Offside,0.22,36
Passes Out of Bounds,0.94,13
Passes Intercepted,1.92,26
Passes Blocked,1.96,10
Shot-Creating Actions,3.30,51
,,
SCA (PassLive),2.50,71
SCA (PassDead),0.53,71
SCA (Drib),0.00,1
SCA (Sh),0.13,36
SCA (Fld),0.13,38
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.45,60
,,
GCA (PassLive),0.27,53
GCA (PassDead),0.04,72
GCA (Drib),0.00,25
GCA (Sh),0.04,71
GCA (Fld),0.09,92
GCA (Def),0.00,40
Tackles,1.02,23
Tackles Won,0.62,23
Tackles (Def 3rd),0.40,41
Tackles (Mid 3rd),0.45,25
Tackles (Att 3rd),0.18,19
,,
Dribblers Tackled,0.22,11
Dribbles Contested,0.85,14
% of dribblers tackled,26.3%,29
Dribbled Past,0.62,84
,,
Pressures,21.16,87
Successful Pressures,3.83,23
Successful Pressure %,18.1%,1
Pressures (Def 3rd),5.93,96
Pressures (Mid 3rd),9.80,81
Pressures (Att 3rd),5.44,48
,,
Blocks,1.11,44
Shots Blocked,0.27,99
Shots Saved,0.00,49
Passes Blocked,0.85,28
,,
Interceptions,0.40,1
Tkl+Int,1.43,5
Clearances,0.76,81
Errors,0.00,57
Touches,45.76,30
Touches (Def Pen),1.56,92
Touches (Def 3rd),6.91,60
Touches (Mid 3rd),19.83,31
Touches (Att 3rd),22.10,34
Touches (Att Pen),3.39,35
Touches (Live-Ball),42.51,28
,,
Dribbles Completed,0.13,1
Dribbles Attempted,0.45,1
Successful Dribble %,30.0%,1
Players Dribbled Past,0.18,1
Nutmegs,0.09,25
,,
Carries,28.78,13
Total Carrying Distance,147.07,9
Progressive Carrying Distance,67.05,5
Progressive Carries,3.74,7
Carries into Final Third,1.20,11
Carries into Penalty Area,0.31,4
Miscontrols,0.85,99
Dispossessed,0.89,98
,,
Pass Targets,38.85,13
Passes Received,30.83,27
Passes Received %,79.4%,58
Progressive Passes Rec,5.70,40
Yellow Cards,0.18,40
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,2.67,2
Fouls Drawn,1.16,19
Offsides,0.13,80
Crosses,2.67,78
,,
Interceptions,0.40,1
Tackles Won,0.62,23
Penalty Kicks Won,0.09,96
Penalty Kicks Conceded,0.04,5
Own Goals,0.00,51
Ball Recoveries,7.53,88
,,
Aerials won,0.71,53
Aerials lost,0.94,78
% of Aerials Won,43.2%,85
